arm,seed,lag1,lag2,lag3,lag4,lag10plus,radial,PR,PR_late,rel_disp
LR_abab (Adam abab),4,-0.3842301368695505,0.23858232650465402,-0.27795864483871086,0.2527317735071523,0.020480160500281293,0.002994993613749891,11.611496798254864,9.600386584277912,0.1498500508280194
LR_abab (Adam abab),5,-0.40445044203580705,0.2610869033239801,-0.3002436095064811,0.2751716716892344,0.02229133683974499,0.0012273542075799287,10.416902500346207,8.587766191442917,0.15319195999365084
LR_abab (Adam abab),6,-0.40107194623123793,0.2547158538922208,-0.290716794239461,0.27048813380399234,0.0230838160273828,0.002755215805010775,10.701867331459397,8.70619473796102,0.15450093493391054
LR_abab (Adam abab),7,-0.39452308435794176,0.24781040440564953,-0.2892390461108004,0.26857899828221227,0.021310256585044395,0.0011921659044444389,10.701004626883375,8.897922873502996,0.15388210062964533
LR_abab (Adam abab),8,-0.40110965027265316,0.2594184959330391,-0.2983637564709735,0.275856196368792,0.02215467663541828,0.0036314175873314288,10.864185765734236,8.596983427487197,0.15003241140500087
LR_abab (Adam abab),9,-0.4037984390768437,0.2639118586044132,-0.29742021762459964,0.2707573837475497,0.022097615192192124,0.001253010531827263,10.298778889905355,8.608898524462491,0.15178675180390977
SA_abab (SGD abab),0,-0.9272183196423637,0.91170042061364,-0.9068312712733618,0.9049334511302399,0.061043061808405366,-0.042722673693091594,1.8634795343596062,1.2622292204603895,0.1548489420397317
SA_abab (SGD abab),1,-0.9253256492579842,0.9094468983853445,-0.9047400037329715,0.9033823420187194,0.06090506395561623,-0.04056030748808553,1.8562864846110674,1.2730381987268737,0.15315604849919584
SA_abab (SGD abab),2,-0.9287312208737065,0.9127944525825424,-0.9083424035018239,0.9067015587737647,0.06129052641287981,-0.04276420208864035,1.8829192420732281,1.2584147409122486,0.15441244717428063
SA_abab (SGD abab),3,-0.9245920428568694,0.9087943486395641,-0.903582490248063,0.9024764152634293,0.06075861742456654,-0.039311711490352244,1.886679652351797,1.287828139042532,0.15072941633160075
SA_abab (SGD abab),4,-0.9319591471102443,0.9182978881903855,-0.9128212839555622,0.9106805049688411,0.06113457770227864,-0.04510647881012789,1.8587900515732239,1.2577133025227392,0.1579052658375121
SA_abab (SGD abab),5,-0.9291346973749114,0.9146011607244041,-0.9099917247831901,0.9085070520114092,0.06111325422772811,-0.04266101838127016,1.852928985874661,1.266511600549924,0.1547290990656434
SA_abab (SGD abab),6,-0.9256202868822384,0.9089614130480458,-0.9043654784163209,0.9027540960012511,0.060635640668717274,-0.04140893503040072,1.8783507134016952,1.2762055455298287,0.15260810764752075
SA_abab (SGD abab),7,-0.9302478414311414,0.9161402710967681,-0.9112231238633567,0.9102228537138914,0.061267142204874635,-0.04213314339524054,1.8116586119058853,1.262893081375742,0.15631624675457173
SA_abab (SGD abab),8,-0.9300755919450276,0.9156642444650215,-0.9106809158853904,0.9092573932963933,0.06140353681863976,-0.04118037826536571,1.8192251071847,1.253097027655492,0.15348408567849542
SA_abab (SGD abab),9,-0.9253581988194496,0.9090268448584665,-0.903282029643903,0.9008859609733355,0.060525589690223064,-0.040971438831542625,1.8769901491380678,1.284615863642941,0.15275880944559594
