arm,seed,t,band,N
S_lo,0,1,top,82.8882729202119
S_lo,0,1,mid1,309.0079976341816
S_lo,0,1,mid2,217.47284045452636
S_lo,0,1,low,49.6952087877357
S_lo,0,1,mu,0.014195131466555454
S_lo,0,1,comp,20.710056791884313
S_lo,0,1,all,679.7885717200064
S_lo,0,25,top,402.65745270985457
S_lo,0,25,mid1,3960.946099035246
S_lo,0,25,mid2,4560.874827746793
S_lo,0,25,low,1132.608714437018
S_lo,0,25,mu,3.0057622894436484
S_lo,0,25,comp,32.90181843359278
S_lo,0,25,all,10092.994674651947
S_lo,0,50,top,501.708397103666
S_lo,0,50,mid1,5686.329679866508
S_lo,0,50,mid2,8110.426857601923
S_lo,0,50,low,2199.636346434563
S_lo,0,50,mu,12.499838115774851
S_lo,0,50,comp,46.29051836353028
S_lo,0,50,all,16556.891637485965
S_mid,0,1,top,83.07509223737871
S_mid,0,1,mid1,309.3967992924727
S_mid,0,1,mid2,217.79366378086746
S_mid,0,1,low,49.78187335236264
S_mid,0,1,mu,0.014190214898683506
S_mid,0,1,comp,20.710059662531535
S_mid,0,1,all,680.7716785405116
S_mid,0,25,top,281.182071879131
S_mid,0,25,mid1,3167.660988571445
S_mid,0,25,mid2,3965.6263624673966
S_mid,0,25,low,1045.128523487104
S_mid,0,25,mu,3.227674705535237
S_mid,0,25,comp,32.30454721561364
S_mid,0,25,all,8495.130168326226
S_mid,0,50,top,286.5850749874963
S_mid,0,50,mid1,3926.5424841040312
S_mid,0,50,mid2,6305.621628637491
S_mid,0,50,low,1858.2845284126024
S_mid,0,50,mu,14.542205180225183
S_mid,0,50,comp,41.44017238205379
S_mid,0,50,all,12433.0160937039
S_hi,0,1,top,83.76830744244958
S_hi,0,1,mid1,310.7648625493458
S_hi,0,1,mid2,218.96378429944406
S_hi,0,1,low,50.10159395561324
S_hi,0,1,mu,0.014167394100708395
S_hi,0,1,comp,20.71005596165878
S_hi,0,1,all,684.3227716026122
S_hi,0,25,top,145.9437985112023
S_hi,0,25,mid1,1738.136437856947
S_hi,0,25,mid2,2406.237607246393
S_hi,0,25,low,695.3130909529864
S_hi,0,25,mu,3.843930769791816
S_hi,0,25,comp,28.32947681737369
S_hi,0,25,all,5017.8043421546945
S_hi,0,50,top,170.30796788461217
S_hi,0,50,mid1,2126.833520901435
S_hi,0,50,mid2,3561.0731051139464
S_hi,0,50,low,1175.2046909655307
S_hi,0,50,mu,16.600435164299327
S_hi,0,50,comp,35.42508224371704
S_hi,0,50,all,7085.4448022735405
A,1,1,top,129.17160995186543
A,1,1,mid1,564.7477707159633
A,1,1,mid2,459.2739061396012
A,1,1,low,98.8825709263982
A,1,1,mu,0.022973676907869417
A,1,1,comp,22.560278800695187
A,1,1,all,1274.6591102114312
A,1,25,top,2030.0487570325217
A,1,25,mid1,17319.53851992561
A,1,25,mid2,16902.830132558855
A,1,25,low,3855.0943921762255
A,1,25,mu,4.386654054550079
A,1,25,comp,124.08833568811679
A,1,25,all,40235.98679143588
A,1,50,top,3034.338274497087
A,1,50,mid1,30612.28490780117
A,1,50,mid2,35276.63839862458
A,1,50,low,8701.849811714204
A,1,50,mu,18.42998013460902
A,1,50,comp,216.92603138870618
A,1,50,all,77860.46740416036
AR,1,1,top,129.17160995186543
AR,1,1,mid1,564.7477707159633
AR,1,1,mid2,459.2739061396012
AR,1,1,low,98.8825709263982
AR,1,1,mu,0.022973676907869417
AR,1,1,comp,22.560278800695187
AR,1,1,all,1274.6591102114312
AR,1,25,top,2097.79013346756
AR,1,25,mid1,16389.967701411108
AR,1,25,mid2,16400.629940981366
AR,1,25,low,3995.818237226886
AR,1,25,mu,3.453222819071242
AR,1,25,comp,99.54467671956809
AR,1,25,all,38987.203912625555
AR,1,50,top,2713.4937537605147
AR,1,50,mid1,28663.364449756944
AR,1,50,mid2,35015.43158273874
AR,1,50,low,9182.930682753662
AR,1,50,mu,16.9736476817003
AR,1,50,comp,187.40628304699203
AR,1,50,all,75779.60039973856
F,1,1,top,73.17152950938143
F,1,1,mid1,287.61774931663206
F,1,1,mid2,221.70508104203387
F,1,1,low,48.08774499501146
F,1,1,mu,0.013911018875027487
F,1,1,comp,20.57706409082084
F,1,1,all,651.1730799727546
F,1,25,top,568.9771231714594
F,1,25,mid1,5001.47437724343
F,1,25,mid2,4843.418786563077
F,1,25,low,1033.1421310430778
F,1,25,mu,1.7955612644975592
F,1,25,comp,31.70437356419643
F,1,25,all,11480.512352849739
F,1,50,top,824.6766846778312
F,1,50,mid1,8136.887116254728
F,1,50,mid2,9227.583358969085
F,1,50,low,2125.755666475582
F,1,50,mu,6.680693167549308
F,1,50,comp,46.15087798739842
F,1,50,all,20367.734397532175
S_lo,1,1,top,73.34893425674775
S_lo,1,1,mid1,287.99384504084867
S_lo,1,1,mid2,222.0586687521036
S_lo,1,1,low,48.17354712165593
S_lo,1,1,mu,0.013915748170642015
S_lo,1,1,comp,20.577063024333142
S_lo,1,1,all,652.1659739438597
S_lo,1,25,top,432.6902066137178
S_lo,1,25,mid1,3997.9660130506977
S_lo,1,25,mid2,4339.9342891772285
S_lo,1,25,low,1052.7151373288875
S_lo,1,25,mu,2.4067609231901024
S_lo,1,25,comp,32.630925262486926
S_lo,1,25,all,9858.343332356208
S_lo,1,50,top,501.41147296019335
S_lo,1,50,mid1,5900.94770088477
S_lo,1,50,mid2,7712.807697262348
S_lo,1,50,low,2095.051915821608
S_lo,1,50,mu,10.585093482420692
S_lo,1,50,comp,45.21331862693296
S_lo,1,50,all,16266.017199038273
S_mid,1,1,top,73.54804297612594
S_mid,1,1,mid1,288.4102427320606
S_mid,1,1,mid2,222.45601170908327
S_mid,1,1,low,48.271746709244056
S_mid,1,1,mu,0.013918304208712819
S_mid,1,1,comp,20.577063000238127
S_mid,1,1,all,653.2770254309607
S_mid,1,25,top,269.91946824485956
S_mid,1,25,mid1,2804.2438068334795
S_mid,1,25,mid2,3613.5811873779876
S_mid,1,25,low,929.6746969692999
S_mid,1,25,mu,2.872628659805755
S_mid,1,25,comp,30.330492664546
S_mid,1,25,all,7650.622280749978
S_mid,1,50,top,337.935617471671
S_mid,1,50,mid1,4005.254008069507
S_mid,1,50,mid2,6069.637099983276
S_mid,1,50,low,1763.0819872949198
S_mid,1,50,mu,13.360297210695405
S_mid,1,50,comp,39.58868770680783
S_mid,1,50,all,12228.857697736876
S_hi,1,1,top,74.22931135307148
S_hi,1,1,mid1,289.809152431203
S_hi,1,1,mid2,223.81639818136637
S_hi,1,1,low,48.6155594422723
S_hi,1,1,mu,0.013921727272607164
S_hi,1,1,comp,20.57706393339481
S_hi,1,1,all,657.0614070685806
S_hi,1,25,top,167.3321081843098
S_hi,1,25,mid1,1696.1228003034803
S_hi,1,25,mid2,2274.13586947374
S_hi,1,25,low,642.9572344929188
S_hi,1,25,mu,3.019588890643377
S_hi,1,25,comp,27.573883578837922
S_hi,1,25,all,4811.14148492393
S_hi,1,50,top,186.98038053527748
S_hi,1,50,mid1,2316.7376951075203
S_hi,1,50,mid2,3607.5138571217044
S_hi,1,50,low,1169.5050970981104
S_hi,1,50,mu,14.942025495963126
S_hi,1,50,comp,34.84852178964775
S_hi,1,50,all,7330.527577148223
A,2,1,top,155.16682619895158
A,2,1,mid1,648.7066530795732
A,2,1,mid2,451.6459890329433
A,2,1,low,102.58421780381059
A,2,1,mu,0.03105966887966682
A,2,1,comp,22.746400813296304
A,2,1,all,1380.8811465974547
A,2,25,top,1978.715004330884
A,2,25,mid1,17444.931902165794
A,2,25,mid2,17489.76386397458
A,2,25,low,4051.677942656186
A,2,25,mu,5.184328827500173
A,2,25,comp,134.0753681509741
A,2,25,all,41104.34841010591
A,2,50,top,2803.382114374811
A,2,50,mid1,30672.139085514933
A,2,50,mid2,35469.01473299195
A,2,50,low,9105.909396316209
A,2,50,mu,21.465149267810826
A,2,50,comp,228.76106377063843
A,2,50,all,78300.67154223636
AR,2,1,top,155.16682619895158
AR,2,1,mid1,648.7066530795732
AR,2,1,mid2,451.6459890329433
AR,2,1,low,102.58421780381059
AR,2,1,mu,0.03105966887966682
AR,2,1,comp,22.746400813296304
AR,2,1,all,1380.8811465974547
AR,2,25,top,1917.0577983727762
AR,2,25,mid1,16420.49174240131
AR,2,25,mid2,15886.889900943534
AR,2,25,low,3993.913657226186
AR,2,25,mu,5.137496998200747
AR,2,25,comp,102.6278572371375
AR,2,25,all,38326.118453179144
AR,2,50,top,2441.6146740692816
AR,2,50,mid1,29274.82159574709
AR,2,50,mid2,34503.15535638963
AR,2,50,low,9211.362263724484
AR,2,50,mu,23.913727260794175
AR,2,50,comp,205.64587746902544
AR,2,50,all,75660.5134946603
F,2,1,top,85.18442513631416
F,2,1,mid1,343.3726824252417
F,2,1,mid2,236.51578757925125
F,2,1,low,54.45063904857544
F,2,1,mu,0.01781560219015533
F,2,1,comp,20.739163480150296
F,2,1,all,740.280513271723
F,2,25,top,665.7343803717133
F,2,25,mid1,5491.606512068243
F,2,25,mid2,5398.686300318997
F,2,25,low,1191.114021826669
F,2,25,mu,2.6318007229559695
F,2,25,comp,34.53014031434395
F,2,25,all,12784.303155622922
F,2,50,top,841.8985853264644
F,2,50,mid1,8843.768491197137
F,2,50,mid2,10181.69903541386
F,2,50,low,2349.07781523719
F,2,50,mu,9.404299840864285
F,2,50,comp,50.19610521373761
F,2,50,all,22276.044332229252
S_lo,2,1,top,85.29881933822628
S_lo,2,1,mid1,343.6171433111259
S_lo,2,1,mid2,236.73554622372896
S_lo,2,1,low,54.50929651107046
S_lo,2,1,mu,0.01782202520776849
S_lo,2,1,comp,20.73916013284429
S_lo,2,1,all,740.9177875422038
S_lo,2,25,top,489.12290645190717
S_lo,2,25,mid1,4487.0727830042015
S_lo,2,25,mid2,4867.031255612035
S_lo,2,25,low,1174.0380936228296
S_lo,2,25,mu,3.1866430615905723
S_lo,2,25,comp,35.25633151369766
S_lo,2,25,all,11055.708013266263
S_lo,2,50,top,567.6010025066525
S_lo,2,50,mid1,6346.2180082400155
S_lo,2,50,mid2,8491.332124505116
S_lo,2,50,low,2307.2298959337486
S_lo,2,50,mu,12.894895786693052
S_lo,2,50,comp,50.73310132365805
S_lo,2,50,all,17776.009028295884
S_mid,2,1,top,85.44536639608796
S_mid,2,1,mid1,343.91365386803164
S_mid,2,1,mid2,237.0028375669914
S_mid,2,1,low,54.5816273429425
S_mid,2,1,mu,0.017826925276941095
S_mid,2,1,comp,20.739166008918005
S_mid,2,1,all,741.7004781082485
S_mid,2,25,top,313.5060458425161
S_mid,2,25,mid1,3333.252490223829
S_mid,2,25,mid2,4084.0650950688023
S_mid,2,25,low,1059.412594092526
S_mid,2,25,mu,3.6011698554217952
S_mid,2,25,comp,33.697520315467045
S_mid,2,25,all,8827.53491539856
S_mid,2,50,top,387.1962259730849
S_mid,2,50,mid1,4739.968828687358
S_mid,2,50,mid2,6885.292795195963
S_mid,2,50,low,2014.790163977039
S_mid,2,50,mu,16.474353973794116
S_mid,2,50,comp,45.40663968777699
S_mid,2,50,all,14089.129007495016
S_hi,2,1,top,86.0454387346762
S_hi,2,1,mid1,345.0448502867109
S_hi,2,1,mid2,238.03572436274658
S_hi,2,1,low,54.866775781705364
S_hi,2,1,mu,0.017831771985763568
S_hi,2,1,comp,20.739165530975697
S_hi,2,1,all,744.7497864688005
S_hi,2,25,top,154.86925747544456
S_hi,2,25,mid1,1889.614797683987
S_hi,2,25,mid2,2447.7451139855257
S_hi,2,25,low,698.6500718254616
S_hi,2,25,mu,3.811982715063689
S_hi,2,25,comp,29.179651139281304
S_hi,2,25,all,5223.8708748247645
S_hi,2,50,top,191.07919790810752
S_hi,2,50,mid1,2641.354669640493
S_hi,2,50,mid2,4103.3840204856715
S_hi,2,50,low,1306.0739513621843
S_hi,2,50,mu,19.687731433631335
S_hi,2,50,comp,37.26926402568279
S_hi,2,50,all,8298.84883485577
A,3,1,top,159.9267642406419
A,3,1,mid1,638.0075776813176
A,3,1,mid2,442.3674137487069
A,3,1,low,100.23545999438892
A,3,1,mu,0.025457922025935924
A,3,1,comp,21.769922249166257
A,3,1,all,1362.3325958362475
A,3,25,top,2112.3425382358
A,3,25,mid1,17461.099665426198
A,3,25,mid2,17392.590069083733
A,3,25,low,3967.0698919464653
A,3,25,mu,4.510932269433686
A,3,25,comp,125.05720681753883
A,3,25,all,41062.67030377917
A,3,50,top,2830.123100770031
A,3,50,mid1,28822.76215131473
A,3,50,mid2,34439.381789084626
A,3,50,low,8517.750756212125
A,3,50,mu,19.185049093371802
A,3,50,comp,216.20571507704153
A,3,50,all,74845.40856155191
AR,3,1,top,159.9267642406419
AR,3,1,mid1,638.0075776813176
AR,3,1,mid2,442.3674137487069
AR,3,1,low,100.23545999438892
AR,3,1,mu,0.025457922025935924
AR,3,1,comp,21.769922249166257
AR,3,1,all,1362.3325958362475
AR,3,25,top,1873.957605051823
AR,3,25,mid1,15862.096897876105
AR,3,25,mid2,16257.204541095625
AR,3,25,low,3884.978283989136
AR,3,25,mu,5.165448582502688
AR,3,25,comp,103.08178514493193
AR,3,25,all,37986.48456174012
AR,3,50,top,2832.3924620401654
AR,3,50,mid1,28885.672482738453
AR,3,50,mid2,35035.449565557894
AR,3,50,low,9038.64004876441
AR,3,50,mu,25.028527538216938
AR,3,50,comp,200.05498852314486
AR,3,50,all,76017.23807516228
F,3,1,top,87.44838678146021
F,3,1,mid1,344.76460745850375
F,3,1,mid2,233.03574910572098
F,3,1,low,53.322769648046496
F,3,1,mu,0.015590523362674956
F,3,1,comp,20.63817524961098
F,3,1,all,739.2252787667051
F,3,25,top,613.6855071507725
F,3,25,mid1,5197.339488720258
F,3,25,mid2,4998.099586893588
F,3,25,low,1114.9934489704697
F,3,25,mu,2.125224013991826
F,3,25,comp,32.583876263001
F,3,25,all,11958.82713201208
F,3,50,top,844.5931766117052
F,3,50,mid1,8037.954665931065
F,3,50,mid2,9370.312110641778
F,3,50,low,2185.8670144577436
F,3,50,mu,7.9797794390156565
F,3,50,comp,45.67114157504693
F,3,50,all,20492.377888656352
S_lo,3,1,top,87.5844902451399
S_lo,3,1,mid1,345.08760354521405
S_lo,3,1,mid2,233.2840793157613
S_lo,3,1,low,53.392128565438334
S_lo,3,1,mu,0.01559474922317056
S_lo,3,1,comp,20.638175425392888
S_lo,3,1,all,740.0020718461698
S_lo,3,25,top,413.86755048823204
S_lo,3,25,mid1,3811.8680462262673
S_lo,3,25,mid2,4304.94427661093
S_lo,3,25,low,1056.2679911113792
S_lo,3,25,mu,2.8272307296668746
S_lo,3,25,comp,32.351084940484725
S_lo,3,25,all,9622.12618010696
S_lo,3,50,top,517.5198986949581
S_lo,3,50,mid1,5566.438337441026
S_lo,3,50,mid2,7923.4224243029175
S_lo,3,50,low,2112.657272782668
S_lo,3,50,mu,12.050054058418645
S_lo,3,50,comp,45.328941608917376
S_lo,3,50,all,16177.416928888906
S_mid,3,1,top,87.74613169345105
S_mid,3,1,mid1,345.47350846551933
S_mid,3,1,mid2,233.58562264728465
S_mid,3,1,low,53.47778212470769
S_mid,3,1,mu,0.01559676759748987
S_mid,3,1,comp,20.638175539147596
S_mid,3,1,all,740.9368172377078
S_mid,3,25,top,301.91934748520293
S_mid,3,25,mid1,3031.014137672011
S_mid,3,25,mid2,3717.987354060492
S_mid,3,25,low,963.1983781508845
S_mid,3,25,mu,3.4325470204698267
S_mid,3,25,comp,31.005342679478417
S_mid,3,25,all,8048.557107068538
S_mid,3,50,top,342.6443889564791
S_mid,3,50,mid1,4074.6019031952737
S_mid,3,50,mid2,6208.228536181961
S_mid,3,50,low,1822.6763534094168
S_mid,3,50,mu,15.54057648852744
S_mid,3,50,comp,40.80433316557719
S_mid,3,50,all,12504.496091397235
S_hi,3,1,top,88.35190912480894
S_hi,3,1,mid1,346.87132585864896
S_hi,3,1,mid2,234.7112168752929
S_hi,3,1,low,53.800648196440974
S_hi,3,1,mu,0.015598685223117114
S_hi,3,1,comp,20.638172420157957
S_hi,3,1,all,744.388871160573
S_hi,3,25,top,152.06791452428803
S_hi,3,25,mid1,1684.3849287141873
S_hi,3,25,mid2,2238.215959451098
S_hi,3,25,low,644.5883566049456
S_hi,3,25,mu,3.571231479104312
S_hi,3,25,comp,27.56615379395498
S_hi,3,25,all,4750.394544567578
S_hi,3,50,top,202.34926943182865
S_hi,3,50,mid1,2214.738041945202
S_hi,3,50,mid2,3606.391586401944
S_hi,3,50,low,1170.6359521354868
S_hi,3,50,mu,17.824369872342675
S_hi,3,50,comp,34.99002947743702
S_hi,3,50,all,7246.929249264242
A,4,1,top,140.63690346446953
A,4,1,mid1,610.1882440638024
A,4,1,mid2,442.71226521940355
A,4,1,low,102.41518994358063
A,4,1,mu,0.031752950979859446
A,4,1,comp,21.964833373186593
A,4,1,all,1317.9491890154222
A,4,25,top,1914.8050889105675
A,4,25,mid1,16325.688024807527
A,4,25,mid2,17171.737145199815
A,4,25,low,3988.7038157555507
A,4,25,mu,4.701317434088864
A,4,25,comp,117.23165623729437
A,4,25,all,39522.867048344844
A,4,50,top,2845.538478557367
A,4,50,mid1,31019.68523189332
A,4,50,mid2,35749.70693148757
A,4,50,low,8785.646759713049
A,4,50,mu,16.51715893710562
A,4,50,comp,210.9497536743147
A,4,50,all,78628.04431426273
AR,4,1,top,140.63690346446953
AR,4,1,mid1,610.1882440638024
AR,4,1,mid2,442.71226521940355
AR,4,1,low,102.41518994358063
AR,4,1,mu,0.031752950979859446
AR,4,1,comp,21.964833373186593
AR,4,1,all,1317.9491890154222
AR,4,25,top,1889.8619471269174
AR,4,25,mid1,16505.522175081092
AR,4,25,mid2,16159.439758640106
AR,4,25,low,4092.0125105151487
AR,4,25,mu,5.157144056369866
AR,4,25,comp,93.948325282101
AR,4,25,all,38745.94186070173
AR,4,50,top,2617.808320484559
AR,4,50,mid1,29258.736183168894
AR,4,50,mid2,35490.3522151956
AR,4,50,low,9407.825733643758
AR,4,50,mu,20.40818879800027
AR,4,50,comp,183.93629688759393
AR,4,50,all,76979.0669381784
F,4,1,top,76.22588204931617
F,4,1,mid1,291.97862295264895
F,4,1,mid2,202.5031186089358
F,4,1,low,47.400385337955086
F,4,1,mu,0.017178387387841
F,4,1,comp,20.51385665610826
F,4,1,all,638.6390439923521
F,4,25,top,653.595229705301
F,4,25,mid1,5730.083617892712
F,4,25,mid2,5486.853239023818
F,4,25,low,1250.54011692988
F,4,25,mu,2.8412125599993083
F,4,25,comp,33.09434040176711
F,4,25,all,13157.007756513478
F,4,50,top,823.2136730327996
F,4,50,mid1,8484.856493787844
F,4,50,mid2,10025.419957383692
F,4,50,low,2413.681214379904
F,4,50,mu,9.753809386083894
F,4,50,comp,45.783822991419584
F,4,50,all,21802.70897096174
S_lo,4,1,top,76.38929436302283
S_lo,4,1,mid1,292.36600222840434
S_lo,4,1,mid2,202.8107479481083
S_lo,4,1,low,47.484503782389815
S_lo,4,1,mu,0.01718458287388225
S_lo,4,1,comp,20.513856346461466
S_lo,4,1,all,639.5815892512607
S_lo,4,25,top,433.57528867967335
S_lo,4,25,mid1,4181.951335111995
S_lo,4,25,mid2,4722.776092201351
S_lo,4,25,low,1196.7734624696043
S_lo,4,25,mu,3.584065970763634
S_lo,4,25,comp,33.7667392750227
S_lo,4,25,all,10572.42698370841
S_lo,4,50,top,490.5244560725116
S_lo,4,50,mid1,6018.914039751154
S_lo,4,50,mid2,8412.313109734536
S_lo,4,50,low,2331.479624747429
S_lo,4,50,mu,14.435991944141982
S_lo,4,50,comp,47.68835089651475
S_lo,4,50,all,17315.355573146287
S_mid,4,1,top,76.58477776983776
S_mid,4,1,mid1,292.82109795460406
S_mid,4,1,mid2,203.18023396551516
S_mid,4,1,low,47.58706017907711
S_mid,4,1,mu,0.01718994238300029
S_mid,4,1,comp,20.513856515015732
S_mid,4,1,all,640.7042163264327
S_mid,4,25,top,294.57592248005506
S_mid,4,25,mid1,3222.569395303014
S_mid,4,25,mid2,4125.443627472969
S_mid,4,25,low,1103.5396910559714
S_mid,4,25,mu,4.00448639292383
S_mid,4,25,comp,32.03760975992009
S_mid,4,25,all,8782.170732464852
S_mid,4,50,top,358.48308415700797
S_mid,4,50,mid1,4189.109447527771
S_mid,4,50,mid2,6723.707834329229
S_mid,4,50,low,2013.84398358286
S_mid,4,50,mu,17.923963456369112
S_mid,4,50,comp,41.84413862617657
S_mid,4,50,all,13344.912451679415
S_hi,4,1,top,77.28236374289222
S_hi,4,1,mid1,294.41678573128695
S_hi,4,1,mid2,204.5160519429552
S_hi,4,1,low,47.96186412437933
S_hi,4,1,mu,0.017215021565068725
S_hi,4,1,comp,20.513858834967778
S_hi,4,1,all,644.7081393980466
S_hi,4,25,top,144.25702645492737
S_hi,4,25,mid1,1805.532304000185
S_hi,4,25,mid2,2528.0002290517036
S_hi,4,25,low,743.5903900403885
S_hi,4,25,mu,4.365094040068874
S_hi,4,25,comp,28.447903804833913
S_hi,4,25,all,5254.192947392106
S_hi,4,50,top,168.64455942738613
S_hi,4,50,mid1,2235.458794360651
S_hi,4,50,mid2,3780.5122283274395
S_hi,4,50,low,1272.3966762918592
S_hi,4,50,mu,19.60115998274016
S_hi,4,50,comp,35.27947308170769
S_hi,4,50,all,7511.8928914717835
A,5,1,top,135.6616057798447
A,5,1,mid1,564.7307452522616
A,5,1,mid2,413.7876925124848
A,5,1,low,93.7382833688741
A,5,1,mu,0.02273669400926622
A,5,1,comp,21.964047071614004
A,5,1,all,1229.9051106790885
A,5,25,top,1708.8797874008096
A,5,25,mid1,17195.1455090735
A,5,25,mid2,16892.274591332724
A,5,25,low,3876.4691368426825
A,5,25,mu,6.043893948196285
A,5,25,comp,120.72266772208968
A,5,25,all,39799.53558632
A,5,50,top,2469.2457896951055
A,5,50,mid1,27389.21212042775
A,5,50,mid2,32858.10986867829
A,5,50,low,8210.184736682782
A,5,50,mu,26.263050944451884
A,5,50,comp,209.47565078074695
A,5,50,all,71162.49121720914
AR,5,1,top,135.6616057798447
AR,5,1,mid1,564.7307452522616
AR,5,1,mid2,413.7876925124848
AR,5,1,low,93.7382833688741
AR,5,1,mu,0.02273669400926622
AR,5,1,comp,21.964047071614004
AR,5,1,all,1229.9051106790885
AR,5,25,top,1730.6737268370578
AR,5,25,mid1,15408.064283781956
AR,5,25,mid2,15695.950479163266
AR,5,25,low,3807.0681648097507
AR,5,25,mu,5.4169352530401715
AR,5,25,comp,103.92079028938315
AR,5,25,all,36751.094380134455
AR,5,50,top,2516.8439857179837
AR,5,50,mid1,28394.60602827445
AR,5,50,mid2,33564.260723263535
AR,5,50,low,8828.732674827777
AR,5,50,mu,23.443213415202575
AR,5,50,comp,194.16435024888779
AR,5,50,all,73522.05097574784
F,5,1,top,74.75131366850681
F,5,1,mid1,277.52718009226635
F,5,1,mid2,189.09304188281556
F,5,1,low,44.08947004021092
F,5,1,mu,0.011235568236900436
F,5,1,comp,20.52575763111315
F,5,1,all,605.9979988831496
F,5,25,top,609.4069085064934
F,5,25,mid1,5205.312319814274
F,5,25,mid2,5167.889841627934
F,5,25,low,1151.0585143180797
F,5,25,mu,2.47222122758759
F,5,25,comp,32.16978829513209
F,5,25,all,12168.309593789503
F,5,50,top,817.0570547439922
F,5,50,mid1,8256.179785378285
F,5,50,mid2,9538.827370250212
F,5,50,low,2238.0675594303666
F,5,50,mu,8.51661934686665
F,5,50,comp,45.58561943339009
F,5,50,all,20904.234008583113
S_lo,5,1,top,74.92903312029148
S_lo,5,1,mid1,277.9126523430248
S_lo,5,1,mid2,189.41909947574456
S_lo,5,1,low,44.173225823992155
S_lo,5,1,mu,0.011229509498998072
S_lo,5,1,comp,20.52575301413583
S_lo,5,1,all,606.9709932866879
S_lo,5,25,top,447.08773740876694
S_lo,5,25,mid1,4107.447073483136
S_lo,5,25,mid2,4554.713400513682
S_lo,5,25,low,1131.705085464234
S_lo,5,25,mu,3.2005297641131167
S_lo,5,25,comp,32.64286059310507
S_lo,5,25,all,10276.796687227037
S_lo,5,50,top,484.5978955424216
S_lo,5,50,mid1,5950.8738738026905
S_lo,5,50,mid2,8038.569229164953
S_lo,5,50,low,2185.81554489869
S_lo,5,50,mu,13.64159196507709
S_lo,5,50,comp,45.69447790224149
S_lo,5,50,all,16719.19261327607
S_mid,5,1,top,75.13618261523648
S_mid,5,1,mid1,278.3480436945616
S_mid,5,1,mid2,189.80487868920397
S_mid,5,1,low,44.27285246622894
S_mid,5,1,mu,0.011220163872578301
S_mid,5,1,comp,20.52575876484582
S_mid,5,1,all,608.0989363939495
S_mid,5,25,top,290.216119068722
S_mid,5,25,mid1,3181.9031500511674
S_mid,5,25,mid2,3892.2179991649846
S_mid,5,25,low,1009.404751308524
S_mid,5,25,mu,3.5251901882737546
S_mid,5,25,comp,30.983608753109365
S_mid,5,25,all,8408.25081853478
S_mid,5,50,top,280.87793169404983
S_mid,5,50,mid1,4079.2231843458612
S_mid,5,50,mid2,6362.416757749453
S_mid,5,50,low,1895.4730503469468
S_mid,5,50,mu,16.360607683695438
S_mid,5,50,comp,40.3587128627496
S_mid,5,50,all,12674.710244682756
S_hi,5,1,top,75.8708783640613
S_hi,5,1,mid1,279.80678932389566
S_hi,5,1,mid2,191.16271588750348
S_hi,5,1,low,44.62674710996292
S_hi,5,1,mu,0.011181961425589346
S_hi,5,1,comp,20.525754853191984
S_hi,5,1,all,612.004067500041
S_hi,5,25,top,159.87829575675676
S_hi,5,25,mid1,1883.8049330548681
S_hi,5,25,mid2,2569.597380660655
S_hi,5,25,low,739.805785585811
S_hi,5,25,mu,4.082665302375597
S_hi,5,25,comp,28.469187135781794
