arm,path,record,dtype,shape,nbytes,sha256
A1_hi,logs/unit_traj_A1_hi.npz,pre_pre_max,float64,10x100,8000,618b6064e2ed3bf926c259a4ab39efcc0f11e3adc50e6a024684f9ed494a5957
A1_hi,logs/unit_traj_A1_hi.npz,r,float64,311x10x100,2488000,ec1ab78f5d6c965c448db6b573fd67578308db9c1acaa63d14c1e2d7b77a8b8a
A1_hi,logs/unit_traj_A1_hi.npz,seed,int64,10,80,23c379d6c0f22ef64cdef873fd530df1f1419b4a3935e9323d5f1d82ca697b6a
A1_hi,logs/unit_traj_A1_hi.npz,step,int64,311,2488,d32c96e07e16e863a68df739bc3b32b75bf1bed5e7520d15393e7a3c52412338
A1_hi,logs/unit_traj_A1_hi.npz,strict_dead,bool,311x10x100,311000,08d547940750f05e4f6bf83dd06d22c7399e4ca48170b6c25188d6bb80afea0f
A1_hi,logs/unit_traj_A1_hi.npz,treated,bool,10x100,1000,1b07d4596047f99bbba65980cc10230ce6d280b9adee8dd64b90c97729789e0d
A1_hi,logs/unit_traj_A1_hi.npz,unit,int64,100,800,96bdba67cd0b5e6dc0f9e399f66b17eae627eac812d0620119e87687d789546a
A1_hi,logs/unit_traj_A1_hi.npz,utility_nmse,float64,311x10x100,2488000,6b3a8ddfbb1ae830b1fd4e6c3199f8d9a40ad4381bf84cbf850c902fb9246124
A1_hi,logs/unit_traj_A1_hi.npz,v,float64,311x10x100,2488000,d36745220f54d1efd52372e9b40b216c1ff666fcc10b55af6573d5d97c8c6a20
A1_hi,logs/unit_traj_A1_hi.npz,w_norm,float64,311x10x100,2488000,4997a1f3d9efd7fd698f98f4bb2353600063fdd5054344ea96afae6580888097
A1_hi,logs/unit_traj_A1_hi.npz,x,float64,311x10x100,2488000,21064a8339507bb30b4b920500103406d12645221b73eb15a4364e1c1e7b4b36
A1_lo,logs/unit_traj_A1_lo.npz,FILE,,,4500185,73a56021f2569954a5b0f56b5f91ee94856b911a45ed93466efdb155a86f55c7
A1_lo,logs/unit_traj_A1_lo.npz,arm,<U5,1,20,b5813c82a2f44ca7aae63b9e13d5d0eb88d3eeec2bad9078aa7a529b3069eea8
A1_lo,logs/unit_traj_A1_lo.npz,b,float64,311x10x100,2488000,52c73c644193093d2d0377fb2c9c6763c9da4e025ed73008fa025b372dfff6d1
A1_lo,logs/unit_traj_A1_lo.npz,eval_nmse,float64,311x10,24880,9485ed6d86c349cdb7b4ed49788135e43e7b3f48eb1310f99854b3ecd9592e36
A1_lo,logs/unit_traj_A1_lo.npz,is_task_head,bool,311,311,1bc805af1201b8b93d616d9d0033b673930f8af0312959328b79f3613986632b
A1_lo,logs/unit_traj_A1_lo.npz,is_traj,bool,311,311,65b1b8a283319a8ee30437553c8940a877ee312fe8974fd2da70241314abfc4d
A1_lo,logs/unit_traj_A1_lo.npz,p_count,float64,311x10x100,2488000,2993cffc5e8a23824e6f73211d36b670892713f2258bb181b23002bb3d177238
A1_lo,logs/unit_traj_A1_lo.npz,p_hat,float64,311x10x100,2488000,d6b386b455a09c2362ec19ecbbccb3185327e7340b3ce089140de7af0c11ea91
A1_lo,logs/unit_traj_A1_lo.npz,pre_max,float64,311x10x100,2488000,912066f1bf4541de22655983fa9b8b46932bfcdb6790688af187b25356fc5326
A1_lo,logs/unit_traj_A1_lo.npz,pre_p_hat,float64,10x100,8000,c10607fb074afe0f0db31b971f1a6b3b1afddb7d08d28c0bfbc706416a1f141e
A1_lo,logs/unit_traj_A1_lo.npz,pre_pre_max,float64,10x100,8000,618b6064e2ed3bf926c259a4ab39efcc0f11e3adc50e6a024684f9ed494a5957
A1_lo,logs/unit_traj_A1_lo.npz,r,float64,311x10x100,2488000,20ffd902b815ebc61852e25164e0f39f82a6a52a6d4defed12f5a4a179bdd9f6
A1_lo,logs/unit_traj_A1_lo.npz,seed,int64,10,80,23c379d6c0f22ef64cdef873fd530df1f1419b4a3935e9323d5f1d82ca697b6a
A1_lo,logs/unit_traj_A1_lo.npz,step,int64,311,2488,d32c96e07e16e863a68df739bc3b32b75bf1bed5e7520d15393e7a3c52412338
A1_lo,logs/unit_traj_A1_lo.npz,strict_dead,bool,311x10x100,311000,e444ee867cee2a4e461869ef6af89e64e0f9002b7293e706fe6ca84c6ec17f88
A1_lo,logs/unit_traj_A1_lo.npz,treated,bool,10x100,1000,1b07d4596047f99bbba65980cc10230ce6d280b9adee8dd64b90c97729789e0d
A1_lo,logs/unit_traj_A1_lo.npz,unit,int64,100,800,96bdba67cd0b5e6dc0f9e399f66b17eae627eac812d0620119e87687d789546a
A1_lo,logs/unit_traj_A1_lo.npz,utility_nmse,float64,311x10x100,2488000,b40a1fdb097039a783e55fb578f0f9397f5b842fee9721f9946d9f2d0a95ba02
A1_lo,logs/unit_traj_A1_lo.npz,v,float64,311x10x100,2488000,ce88da8b73c4948d0c3d88279e3e2865810707dfbaddfaed2808b1b292a6b1e3
A1_lo,logs/unit_traj_A1_lo.npz,w_norm,float64,311x10x100,2488000,077dc9a082cbad7d9af89e7776d8b118088c3b63dd54a068d9456042a6e42b7b
A1_lo,logs/unit_traj_A1_lo.npz,x,float64,311x10x100,2488000,1969ae1684fa454639fee76eab89bdb0336555475d3541c9f80568d0d8c2f31f
A2,logs/unit_traj_A2.npz,FILE,,,8156503,d8d5766b59394d0f6a8abf62758e89df811c7aecbd269f3eef28ff3ff126fb02
A2,logs/unit_traj_A2.npz,arm,<U2,1,8,2997c10c2cbe5b87704198c07dcbe79a222a87959c49c286c5cce8bab477c978
A2,logs/unit_traj_A2.npz,b,float64,311x10x100,2488000,82bec94e55b05363336cefa005b1f88df9d542d4bca964bd8da4057f951266da
A2,logs/unit_traj_A2.npz,eval_nmse,float64,311x10,24880,67e08fa3f53de127aff4548a0a927e3b77415f28072fbc3f1c542eddb7754f64
A2,logs/unit_traj_A2.npz,is_task_head,bool,311,311,1bc805af1201b8b93d616d9d0033b673930f8af0312959328b79f3613986632b
A2,logs/unit_traj_A2.npz,is_traj,bool,311,311,65b1b8a283319a8ee30437553c8940a877ee312fe8974fd2da70241314abfc4d
A2,logs/unit_traj_A2.npz,p_count,float64,311x10x100,2488000,aac9a341f6353849ddd7f9275897a4c9664add3767c14beaeb4c1b436efa35d0
A2,logs/unit_traj_A2.npz,p_hat,float64,311x10x100,2488000,e44eb65d787cc7e8bfb88e6792fd0ff374742e844ff76f2807209c33d59fe909
A2,logs/unit_traj_A2.npz,pre_max,float64,311x10x100,2488000,4bec06aeefb0ff19440bb8074995616b54bb8c492dbcb1b6bbff8e220246cbf7
A2,logs/unit_traj_A2.npz,pre_p_hat,float64,10x100,8000,c10607fb074afe0f0db31b971f1a6b3b1afddb7d08d28c0bfbc706416a1f141e
A2,logs/unit_traj_A2.npz,pre_pre_max,float64,10x100,8000,618b6064e2ed3bf926c259a4ab39efcc0f11e3adc50e6a024684f9ed494a5957
A2,logs/unit_traj_A2.npz,r,float64,311x10x100,2488000,5396cdf6d6655f55f413083d3e803ad671934634ee953a911502c38816e7f285
A2,logs/unit_traj_A2.npz,seed,int64,10,80,23c379d6c0f22ef64cdef873fd530df1f1419b4a3935e9323d5f1d82ca697b6a
A2,logs/unit_traj_A2.npz,step,int64,311,2488,d32c96e07e16e863a68df739bc3b32b75bf1bed5e7520d15393e7a3c52412338
A2,logs/unit_traj_A2.npz,strict_dead,bool,311x10x100,311000,7b8e37470be66dceb9d39ed80efbe3f5a2b265e624d5bfac5edf88b8a40d741c
A2,logs/unit_traj_A2.npz,treated,bool,10x100,1000,1b07d4596047f99bbba65980cc10230ce6d280b9adee8dd64b90c97729789e0d
A2,logs/unit_traj_A2.npz,unit,int64,100,800,96bdba67cd0b5e6dc0f9e399f66b17eae627eac812d0620119e87687d789546a
A2,logs/unit_traj_A2.npz,utility_nmse,float64,311x10x100,2488000,d131a04cd8fdd376e363443aee807b11cf274436d856334cad56a24d60a53d64
A2,logs/unit_traj_A2.npz,v,float64,311x10x100,2488000,84d233c3c4217429b5814c85b576bb86f6be95db6a05ec88ccba4005ad9b77e8
A2,logs/unit_traj_A2.npz,w_norm,float64,311x10x100,2488000,922fbb2a131a9d56ef081d10644772161d442e876aeb0c3d569739db13799a39
A2,logs/unit_traj_A2.npz,x,float64,311x10x100,2488000,5a3859c145233c73c7b1454b510da235fdedd11c270c945a66868c9d3445e9a3
A3,logs/unit_traj_A3.npz,FILE,,,2221892,f22ddfc548285c429fa3be34cc92347de1b48b57a21b3c79bdd650fdf9d4bb73
A3,logs/unit_traj_A3.npz,arm,<U2,1,8,287fcef5dba6117ba868d473b150e19c5c6fc493881dcb92d3c5ed89ca025461
A3,logs/unit_traj_A3.npz,b,float64,311x10x100,2488000,f8dbd0743f4bff2fb0cdb309a9ba0e12f62ee5c39743fa90b9f140f600911868
A3,logs/unit_traj_A3.npz,eval_nmse,float64,311x10,24880,eefa07538cefbbfd78073956b15bc804321e69f33693c2fabedc90a03b63b6a4
A3,logs/unit_traj_A3.npz,is_task_head,bool,311,311,1bc805af1201b8b93d616d9d0033b673930f8af0312959328b79f3613986632b
A3,logs/unit_traj_A3.npz,is_traj,bool,311,311,65b1b8a283319a8ee30437553c8940a877ee312fe8974fd2da70241314abfc4d
A3,logs/unit_traj_A3.npz,p_count,float64,311x10x100,2488000,21c1380d9baf56551c8b3f76d0c6af06480fd66c0a41f89c627a59fb96a686be
A3,logs/unit_traj_A3.npz,p_hat,float64,311x10x100,2488000,0ad313a45f3a5db2728edb0befd7e066efb26c7c90163f42caf5aea23da86a77
A3,logs/unit_traj_A3.npz,pre_max,float64,311x10x100,2488000,d06eb21fdb3314b06eeb5963f5f118896c14fbe610e3f5c4812f861686230f03
A3,logs/unit_traj_A3.npz,pre_p_hat,float64,10x100,8000,c10607fb074afe0f0db31b971f1a6b3b1afddb7d08d28c0bfbc706416a1f141e
A3,logs/unit_traj_A3.npz,pre_pre_max,float64,10x100,8000,618b6064e2ed3bf926c259a4ab39efcc0f11e3adc50e6a024684f9ed494a5957
A3,logs/unit_traj_A3.npz,r,float64,311x10x100,2488000,fc40d3a0826634849c89becbbb7a2fdf7bef89fdcc80c8c5ed09ead29ab8fd09
A3,logs/unit_traj_A3.npz,seed,int64,10,80,23c379d6c0f22ef64cdef873fd530df1f1419b4a3935e9323d5f1d82ca697b6a
A3,logs/unit_traj_A3.npz,step,int64,311,2488,d32c96e07e16e863a68df739bc3b32b75bf1bed5e7520d15393e7a3c52412338
A3,logs/unit_traj_A3.npz,strict_dead,bool,311x10x100,311000,1cc219af2da1eed1d46616d3b01e1182f950ed0101d3868999e0a2e0fad00745
A3,logs/unit_traj_A3.npz,treated,bool,10x100,1000,1b07d4596047f99bbba65980cc10230ce6d280b9adee8dd64b90c97729789e0d
A3,logs/unit_traj_A3.npz,unit,int64,100,800,96bdba67cd0b5e6dc0f9e399f66b17eae627eac812d0620119e87687d789546a
A3,logs/unit_traj_A3.npz,utility_nmse,float64,311x10x100,2488000,fa681a69c2cac0fd07a0bebe72ae1a56722672474aaa94662f83770608ba54d3
A3,logs/unit_traj_A3.npz,v,float64,311x10x100,2488000,aba463b0c802218461d0fa9fe8e242c57e42a16adc8703e066592e9f277fc34f
A3,logs/unit_traj_A3.npz,w_norm,float64,311x10x100,2488000,6a182c1e1b4055c4a6c122fc174408844e04912000689f0a52b00736fa2cf17a
A3,logs/unit_traj_A3.npz,x,float64,311x10x100,2488000,a0c7cf601784c45254ad85ccdf77494fe0aeb7d7b6a064699629a0aa71ffab99
