kind,arm,seed,state_key,state_sha256,n_dead,n_alive,bias_delta_l2,kappa,c_s,method_generator_before,method_generator_after
arm_seed,A2,0,,,85,15,5.0412152956038261,,,b2350a54b89aba0c0720ce0cd87851319a57b8aa87bbec780b8f66541533cdee,4112b7467d1caa3ff0cdcc108ddf76244ad81ab3eacf800b14879dd948e17324
arm_seed,A2,1,,,98,2,7.5494925140937239,,,b2350a54b89aba0c0720ce0cd87851319a57b8aa87bbec780b8f66541533cdee,4112b7467d1caa3ff0cdcc108ddf76244ad81ab3eacf800b14879dd948e17324
arm_seed,A2,2,,,97,3,5.1452122259871507,,,b2350a54b89aba0c0720ce0cd87851319a57b8aa87bbec780b8f66541533cdee,4112b7467d1caa3ff0cdcc108ddf76244ad81ab3eacf800b14879dd948e17324
arm_seed,A2,3,,,96,4,5.1083520858536264,,,b2350a54b89aba0c0720ce0cd87851319a57b8aa87bbec780b8f66541533cdee,4112b7467d1caa3ff0cdcc108ddf76244ad81ab3eacf800b14879dd948e17324
arm_seed,A2,4,,,97,3,5.1027786450734638,,,b2350a54b89aba0c0720ce0cd87851319a57b8aa87bbec780b8f66541533cdee,4112b7467d1caa3ff0cdcc108ddf76244ad81ab3eacf800b14879dd948e17324
arm_seed,A2,5,,,92,8,4.9263466018091178,,,b2350a54b89aba0c0720ce0cd87851319a57b8aa87bbec780b8f66541533cdee,4112b7467d1caa3ff0cdcc108ddf76244ad81ab3eacf800b14879dd948e17324
arm_seed,A2,6,,,81,19,5.1091224225383156,,,b2350a54b89aba0c0720ce0cd87851319a57b8aa87bbec780b8f66541533cdee,4112b7467d1caa3ff0cdcc108ddf76244ad81ab3eacf800b14879dd948e17324
arm_seed,A2,7,,,95,5,4.5706979722575429,,,b2350a54b89aba0c0720ce0cd87851319a57b8aa87bbec780b8f66541533cdee,4112b7467d1caa3ff0cdcc108ddf76244ad81ab3eacf800b14879dd948e17324
arm_seed,A2,8,,,76,24,5.3820391205928049,,,b2350a54b89aba0c0720ce0cd87851319a57b8aa87bbec780b8f66541533cdee,4112b7467d1caa3ff0cdcc108ddf76244ad81ab3eacf800b14879dd948e17324
arm_seed,A2,9,,,98,2,5.698261528670975,,,b2350a54b89aba0c0720ce0cd87851319a57b8aa87bbec780b8f66541533cdee,4112b7467d1caa3ff0cdcc108ddf76244ad81ab3eacf800b14879dd948e17324
arm_seed,A3,0,,,85,15,11.774837714916904,11.774837817833703,3.0402500515175475,,
arm_seed,A3,1,,,98,2,25.3474322472476,25.347432024882213,17.923341070459273,,
arm_seed,A3,2,,,97,3,12.801556521690959,12.801556644719597,7.3909821748751021,,
arm_seed,A3,3,,,96,4,14.532558768987656,14.532558599209617,7.2662792996048085,,
arm_seed,A3,4,,,97,3,20.594859093385459,20.594858915079172,11.890447338543325,,
arm_seed,A3,5,,,92,8,13.541880830221904,13.541880705465511,4.7877778384269654,,
arm_seed,A3,6,,,81,19,9.1084919643485378,9.1084919757670306,2.0896313710747161,,
arm_seed,A3,7,,,95,5,13.519228409258799,13.519228332597487,6.0459827110058235,,
arm_seed,A3,8,,,76,24,7.0612712224059155,7.0612711932784169,1.4413759465788181,,
arm_seed,A3,9,,,98,2,19.571029623626579,19.571030030219678,13.838808049173895,,
arm_seed,A1_lo,0,,,85,15,9.9455890634988187,,,,
arm_seed,A1_lo,1,,,98,2,23.841739603900024,,,,
arm_seed,A1_lo,2,,,97,3,11.154911255247338,,,,
arm_seed,A1_lo,3,,,96,4,12.799017882860269,,,,
arm_seed,A1_lo,4,,,97,3,18.244788703302913,,,,
arm_seed,A1_lo,5,,,92,8,11.835629148038532,,,,
arm_seed,A1_lo,6,,,81,19,7.9929063221584906,,,,
arm_seed,A1_lo,7,,,95,5,11.751236121545229,,,,
arm_seed,A1_lo,8,,,76,24,4.8572590357526924,,,,
arm_seed,A1_lo,9,,,98,2,17.460484419768111,,,,
arm_seed,A1_hi,0,,,85,15,16.011059353182507,,,,
arm_seed,A1_hi,1,,,98,2,29.440844559174522,,,,
arm_seed,A1_hi,2,,,97,3,17.488882018865027,,,,
arm_seed,A1_hi,3,,,96,4,18.889644716877726,,,,
arm_seed,A1_hi,4,,,97,3,23.364955844542315,,,,
arm_seed,A1_hi,5,,,92,8,18.426948821778122,,,,
arm_seed,A1_hi,6,,,81,19,13.432455512439619,,,,
arm_seed,A1_hi,7,,,95,5,17.148768270160534,,,,
arm_seed,A1_hi,8,,,76,24,10.639715525462735,,,,
arm_seed,A1_hi,9,,,98,2,24.538750222137722,,,,
final_state,A0,,env.flip_state,0e3b2992be62255748430244f320a638c80c08b6703e46dd1053f9aa6bd0761a,,,,,,,
final_state,A0,,env.t,bbce68c972781f645c57245c19d0e0c5990e221ac9a1e70afbadd82609c87fce,,,,,,,
final_state,A0,,eval_fixed,0d687554ae07f6ee8bc74dcadcc32766fc1d5aa08c0ea9f24b749e4d22a2a8ab,,,,,,,
final_state,A0,,generator.eval,161729f812eb3f4bc4c5abc48939afb808a8927df660408fd9c8b65783d8dcda,,,,,,,
final_state,A0,,generator.init,05f98e8db56b0609d6e3719ccc248e1d30ed681e25a5e0910b814d34e907dc55,,,,,,,
final_state,A0,,generator.input,c42f8d58b75a6704dea124a0ca225094b9b836ce2ec5118a49a064d54e46f2ba,,,,,,,
final_state,A0,,generator.method,ac3c20686d980657ffaa7b7311cbde4bdbd90285afdbb55e6ffd268187d09323,,,,,,,
final_state,A0,,generator.noise,093a9126093c158f3ec2b5b20e15a79ceb3f8a0aa4ca8066b3840481f4c48f2c,,,,,,,
final_state,A0,,generator.teacher,429e8b15dcdfbf911608530096a41d83ad12c215be0a707e1043bb832d6ef8e3,,,,,,,
final_state,A0,,net.W,18b0e69f131223bf03b8787dbc8f29a4c1cafb132c4fedea0d1e485b24d666d9,,,,,,,
final_state,A0,,net.b,19ebbb8577e2a1ce824aabf422fe6a59a316446e08bbf869a26ad65227ef57e5,,,,,,,
final_state,A0,,net.c,4ec3b7ec58003ce01afaf1079f9dda2a42b675873bbe609115cb276cb1a9fa0e,,,,,,,
final_state,A0,,net.v,8989c5a97d079a4ea41291548542f504e19d92ce6be48b20b2b6102739233b82,,,,,,,
final_state,A0,,running_mean,6685402c3c90fd09a610ecd81120461a1a1ce10a44123b1909c6ada07d5dc77a,,,,,,,
final_state,A0,,teacher.W,e3765c2547da9d1c4659e1ea026b10267d936427b6a5dd1e82c022c08535492b,,,,,,,
final_state,A0,,teacher.b,ddcdcc7f054d163048da5cd021f974a6c8df2cb65411d4c7abaae9ad3d7e46e3,,,,,,,
final_state,A0,,teacher.cout,c700334a57798bee87f53461d16c509c4378cdc31216e9f1aa533467c0913b90,,,,,,,
final_state,A0,,teacher.out_scale,d0ff5974b6aa52cf562bea5921840c032a860a91a3512f7fe8f768f6bbe005f6,,,,,,,
final_state,A0,,teacher.tau,210e21c86a332306d652775bb166cee973dbdebdecc7a8faadae598f5015cb78,,,,,,,
final_state,A0,,teacher.v,8227cf99e36da7cdd5436daea2ac7b606de7ff802e600aec18a9f821d5475193,,,,,,,
final_state,A1,,env.flip_state,0e3b2992be62255748430244f320a638c80c08b6703e46dd1053f9aa6bd0761a,,,,,,,
final_state,A1,,env.t,bbce68c972781f645c57245c19d0e0c5990e221ac9a1e70afbadd82609c87fce,,,,,,,
final_state,A1,,eval_fixed,0d687554ae07f6ee8bc74dcadcc32766fc1d5aa08c0ea9f24b749e4d22a2a8ab,,,,,,,
final_state,A1,,generator.eval,161729f812eb3f4bc4c5abc48939afb808a8927df660408fd9c8b65783d8dcda,,,,,,,
final_state,A1,,generator.init,05f98e8db56b0609d6e3719ccc248e1d30ed681e25a5e0910b814d34e907dc55,,,,,,,
final_state,A1,,generator.input,c42f8d58b75a6704dea124a0ca225094b9b836ce2ec5118a49a064d54e46f2ba,,,,,,,
final_state,A1,,generator.method,ac3c20686d980657ffaa7b7311cbde4bdbd90285afdbb55e6ffd268187d09323,,,,,,,
final_state,A1,,generator.noise,093a9126093c158f3ec2b5b20e15a79ceb3f8a0aa4ca8066b3840481f4c48f2c,,,,,,,
final_state,A1,,generator.teacher,429e8b15dcdfbf911608530096a41d83ad12c215be0a707e1043bb832d6ef8e3,,,,,,,
final_state,A1,,net.W,935086232ceab1dad92772314b3508d4f67869159effe0b4f38b1a7b15c9978d,,,,,,,
final_state,A1,,net.b,93f69185f691e800c0d624fe670fee89530b5d7e87c0c2c58e9fae79f82c82ee,,,,,,,
final_state,A1,,net.c,0120f381bc6f89fdf5af0f4a2b2b3dab709196085796e6dabec904d0d1be16a8,,,,,,,
final_state,A1,,net.v,f8a5c55ff4cd398a9f4777b2951707f9b2a061d513241f91da0a25d5eaa4ec0b,,,,,,,
final_state,A1,,running_mean,6685402c3c90fd09a610ecd81120461a1a1ce10a44123b1909c6ada07d5dc77a,,,,,,,
final_state,A1,,teacher.W,e3765c2547da9d1c4659e1ea026b10267d936427b6a5dd1e82c022c08535492b,,,,,,,
final_state,A1,,teacher.b,ddcdcc7f054d163048da5cd021f974a6c8df2cb65411d4c7abaae9ad3d7e46e3,,,,,,,
final_state,A1,,teacher.cout,c700334a57798bee87f53461d16c509c4378cdc31216e9f1aa533467c0913b90,,,,,,,
final_state,A1,,teacher.out_scale,d0ff5974b6aa52cf562bea5921840c032a860a91a3512f7fe8f768f6bbe005f6,,,,,,,
final_state,A1,,teacher.tau,210e21c86a332306d652775bb166cee973dbdebdecc7a8faadae598f5015cb78,,,,,,,
final_state,A1,,teacher.v,8227cf99e36da7cdd5436daea2ac7b606de7ff802e600aec18a9f821d5475193,,,,,,,
final_state,A2,,env.flip_state,0e3b2992be62255748430244f320a638c80c08b6703e46dd1053f9aa6bd0761a,,,,,,,
final_state,A2,,env.t,bbce68c972781f645c57245c19d0e0c5990e221ac9a1e70afbadd82609c87fce,,,,,,,
final_state,A2,,eval_fixed,0d687554ae07f6ee8bc74dcadcc32766fc1d5aa08c0ea9f24b749e4d22a2a8ab,,,,,,,
final_state,A2,,generator.eval,161729f812eb3f4bc4c5abc48939afb808a8927df660408fd9c8b65783d8dcda,,,,,,,
final_state,A2,,generator.init,05f98e8db56b0609d6e3719ccc248e1d30ed681e25a5e0910b814d34e907dc55,,,,,,,
final_state,A2,,generator.input,c42f8d58b75a6704dea124a0ca225094b9b836ce2ec5118a49a064d54e46f2ba,,,,,,,
final_state,A2,,generator.method,650233f8deef58b3667f345fcbd44a65fb461f4738c40c98ff2195feb377393c,,,,,,,
final_state,A2,,generator.noise,093a9126093c158f3ec2b5b20e15a79ceb3f8a0aa4ca8066b3840481f4c48f2c,,,,,,,
final_state,A2,,generator.teacher,429e8b15dcdfbf911608530096a41d83ad12c215be0a707e1043bb832d6ef8e3,,,,,,,
final_state,A2,,net.W,8788dc098dc1dabd296ede6633c97ba922eb6f99e55358450387e2fea70b6461,,,,,,,
final_state,A2,,net.b,766875852217a0ada847483921dad054e05dc60851dc1dfae21def64c6c9e10c,,,,,,,
final_state,A2,,net.c,ac87a4a87f48548354dfa18681a1eadacd2b8196f130cd7be2b48d49e875dd19,,,,,,,
final_state,A2,,net.v,d532539dab359eed55fd51957e67c566f122dc53f9cde70983ca1bf63ae9030a,,,,,,,
final_state,A2,,running_mean,6685402c3c90fd09a610ecd81120461a1a1ce10a44123b1909c6ada07d5dc77a,,,,,,,
final_state,A2,,teacher.W,e3765c2547da9d1c4659e1ea026b10267d936427b6a5dd1e82c022c08535492b,,,,,,,
final_state,A2,,teacher.b,ddcdcc7f054d163048da5cd021f974a6c8df2cb65411d4c7abaae9ad3d7e46e3,,,,,,,
final_state,A2,,teacher.cout,c700334a57798bee87f53461d16c509c4378cdc31216e9f1aa533467c0913b90,,,,,,,
final_state,A2,,teacher.out_scale,d0ff5974b6aa52cf562bea5921840c032a860a91a3512f7fe8f768f6bbe005f6,,,,,,,
final_state,A2,,teacher.tau,210e21c86a332306d652775bb166cee973dbdebdecc7a8faadae598f5015cb78,,,,,,,
final_state,A2,,teacher.v,8227cf99e36da7cdd5436daea2ac7b606de7ff802e600aec18a9f821d5475193,,,,,,,
final_state,A3,,env.flip_state,0e3b2992be62255748430244f320a638c80c08b6703e46dd1053f9aa6bd0761a,,,,,,,
final_state,A3,,env.t,bbce68c972781f645c57245c19d0e0c5990e221ac9a1e70afbadd82609c87fce,,,,,,,
final_state,A3,,eval_fixed,0d687554ae07f6ee8bc74dcadcc32766fc1d5aa08c0ea9f24b749e4d22a2a8ab,,,,,,,
final_state,A3,,generator.eval,161729f812eb3f4bc4c5abc48939afb808a8927df660408fd9c8b65783d8dcda,,,,,,,
final_state,A3,,generator.init,05f98e8db56b0609d6e3719ccc248e1d30ed681e25a5e0910b814d34e907dc55,,,,,,,
final_state,A3,,generator.input,c42f8d58b75a6704dea124a0ca225094b9b836ce2ec5118a49a064d54e46f2ba,,,,,,,
final_state,A3,,generator.method,ac3c20686d980657ffaa7b7311cbde4bdbd90285afdbb55e6ffd268187d09323,,,,,,,
final_state,A3,,generator.noise,093a9126093c158f3ec2b5b20e15a79ceb3f8a0aa4ca8066b3840481f4c48f2c,,,,,,,
final_state,A3,,generator.teacher,429e8b15dcdfbf911608530096a41d83ad12c215be0a707e1043bb832d6ef8e3,,,,,,,
final_state,A3,,net.W,e321b7b95f404f704321756f2dc880af5789789e7ec30c254e61f79e4496e52c,,,,,,,
final_state,A3,,net.b,c1b20f99af5f038757b2d57704bbfd16d86a420f6aa9a4629ccdd0751c251afa,,,,,,,
final_state,A3,,net.c,f8ac1ea9990887acc94a5bd4f2798131e61ad2ce524cfa7a15157bac9bcaaa77,,,,,,,
final_state,A3,,net.v,ffb8cd119607f08bfae7883a6f1609ab4d0815b075c082942b4eecfe525b7537,,,,,,,
final_state,A3,,running_mean,6685402c3c90fd09a610ecd81120461a1a1ce10a44123b1909c6ada07d5dc77a,,,,,,,
final_state,A3,,teacher.W,e3765c2547da9d1c4659e1ea026b10267d936427b6a5dd1e82c022c08535492b,,,,,,,
final_state,A3,,teacher.b,ddcdcc7f054d163048da5cd021f974a6c8df2cb65411d4c7abaae9ad3d7e46e3,,,,,,,
final_state,A3,,teacher.cout,c700334a57798bee87f53461d16c509c4378cdc31216e9f1aa533467c0913b90,,,,,,,
final_state,A3,,teacher.out_scale,d0ff5974b6aa52cf562bea5921840c032a860a91a3512f7fe8f768f6bbe005f6,,,,,,,
final_state,A3,,teacher.tau,210e21c86a332306d652775bb166cee973dbdebdecc7a8faadae598f5015cb78,,,,,,,
final_state,A3,,teacher.v,8227cf99e36da7cdd5436daea2ac7b606de7ff802e600aec18a9f821d5475193,,,,,,,
final_state,A1_lo,,env.flip_state,0e3b2992be62255748430244f320a638c80c08b6703e46dd1053f9aa6bd0761a,,,,,,,
final_state,A1_lo,,env.t,bbce68c972781f645c57245c19d0e0c5990e221ac9a1e70afbadd82609c87fce,,,,,,,
final_state,A1_lo,,eval_fixed,0d687554ae07f6ee8bc74dcadcc32766fc1d5aa08c0ea9f24b749e4d22a2a8ab,,,,,,,
final_state,A1_lo,,generator.eval,161729f812eb3f4bc4c5abc48939afb808a8927df660408fd9c8b65783d8dcda,,,,,,,
final_state,A1_lo,,generator.init,05f98e8db56b0609d6e3719ccc248e1d30ed681e25a5e0910b814d34e907dc55,,,,,,,
final_state,A1_lo,,generator.input,c42f8d58b75a6704dea124a0ca225094b9b836ce2ec5118a49a064d54e46f2ba,,,,,,,
final_state,A1_lo,,generator.method,ac3c20686d980657ffaa7b7311cbde4bdbd90285afdbb55e6ffd268187d09323,,,,,,,
final_state,A1_lo,,generator.noise,093a9126093c158f3ec2b5b20e15a79ceb3f8a0aa4ca8066b3840481f4c48f2c,,,,,,,
final_state,A1_lo,,generator.teacher,429e8b15dcdfbf911608530096a41d83ad12c215be0a707e1043bb832d6ef8e3,,,,,,,
final_state,A1_lo,,net.W,6e64b39290b436d745a36c94779ef08bb0fa67e744cb117dbed35bd72b0fe5f5,,,,,,,
final_state,A1_lo,,net.b,a70a058bf4edc6b53538d643c7a79fd817af0498f127fb0e9d782f9a84b741cb,,,,,,,
final_state,A1_lo,,net.c,4dee4e2ebbd8f2a16b0200b721be3f2cc56436041c1584528390c9cc4e45c461,,,,,,,
final_state,A1_lo,,net.v,32fa857613e05b9d7b7da39ae72bfdcbc05d8078757cdbffd128609a05681a5b,,,,,,,
final_state,A1_lo,,running_mean,6685402c3c90fd09a610ecd81120461a1a1ce10a44123b1909c6ada07d5dc77a,,,,,,,
final_state,A1_lo,,teacher.W,e3765c2547da9d1c4659e1ea026b10267d936427b6a5dd1e82c022c08535492b,,,,,,,
final_state,A1_lo,,teacher.b,ddcdcc7f054d163048da5cd021f974a6c8df2cb65411d4c7abaae9ad3d7e46e3,,,,,,,
final_state,A1_lo,,teacher.cout,c700334a57798bee87f53461d16c509c4378cdc31216e9f1aa533467c0913b90,,,,,,,
final_state,A1_lo,,teacher.out_scale,d0ff5974b6aa52cf562bea5921840c032a860a91a3512f7fe8f768f6bbe005f6,,,,,,,
final_state,A1_lo,,teacher.tau,210e21c86a332306d652775bb166cee973dbdebdecc7a8faadae598f5015cb78,,,,,,,
final_state,A1_lo,,teacher.v,8227cf99e36da7cdd5436daea2ac7b606de7ff802e600aec18a9f821d5475193,,,,,,,
final_state,A1_hi,,env.flip_state,0e3b2992be62255748430244f320a638c80c08b6703e46dd1053f9aa6bd0761a,,,,,,,
final_state,A1_hi,,env.t,bbce68c972781f645c57245c19d0e0c5990e221ac9a1e70afbadd82609c87fce,,,,,,,
final_state,A1_hi,,eval_fixed,0d687554ae07f6ee8bc74dcadcc32766fc1d5aa08c0ea9f24b749e4d22a2a8ab,,,,,,,
final_state,A1_hi,,generator.eval,161729f812eb3f4bc4c5abc48939afb808a8927df660408fd9c8b65783d8dcda,,,,,,,
final_state,A1_hi,,generator.init,05f98e8db56b0609d6e3719ccc248e1d30ed681e25a5e0910b814d34e907dc55,,,,,,,
final_state,A1_hi,,generator.input,c42f8d58b75a6704dea124a0ca225094b9b836ce2ec5118a49a064d54e46f2ba,,,,,,,
final_state,A1_hi,,generator.method,ac3c20686d980657ffaa7b7311cbde4bdbd90285afdbb55e6ffd268187d09323,,,,,,,
final_state,A1_hi,,generator.noise,093a9126093c158f3ec2b5b20e15a79ceb3f8a0aa4ca8066b3840481f4c48f2c,,,,,,,
final_state,A1_hi,,generator.teacher,429e8b15dcdfbf911608530096a41d83ad12c215be0a707e1043bb832d6ef8e3,,,,,,,
final_state,A1_hi,,net.W,a7a1f228c2d76ea1aff7ec1edbfbb7551f7879f8449ead37b5f7a9f42f6f6386,,,,,,,
final_state,A1_hi,,net.b,caf8a3d2f76cfc5fb54e4043ff2e37f70838d7ce33243fddc42c8e99e74852f7,,,,,,,
final_state,A1_hi,,net.c,4ad838c48e07d6c233316146b2a7e162d5d588774cfb0f68ac5aa6d5f009c95d,,,,,,,
final_state,A1_hi,,net.v,d8d0d0772afc637230a5c337e46aa726f272903ad495ce7bcc0bebd003f8bdd7,,,,,,,
final_state,A1_hi,,running_mean,6685402c3c90fd09a610ecd81120461a1a1ce10a44123b1909c6ada07d5dc77a,,,,,,,
final_state,A1_hi,,teacher.W,e3765c2547da9d1c4659e1ea026b10267d936427b6a5dd1e82c022c08535492b,,,,,,,
final_state,A1_hi,,teacher.b,ddcdcc7f054d163048da5cd021f974a6c8df2cb65411d4c7abaae9ad3d7e46e3,,,,,,,
final_state,A1_hi,,teacher.cout,c700334a57798bee87f53461d16c509c4378cdc31216e9f1aa533467c0913b90,,,,,,,
final_state,A1_hi,,teacher.out_scale,d0ff5974b6aa52cf562bea5921840c032a860a91a3512f7fe8f768f6bbe005f6,,,,,,,
final_state,A1_hi,,teacher.tau,210e21c86a332306d652775bb166cee973dbdebdecc7a8faadae598f5015cb78,,,,,,,
final_state,A1_hi,,teacher.v,8227cf99e36da7cdd5436daea2ac7b606de7ff802e600aec18a9f821d5475193,,,,,,,
