arm,seed,step,U,dead_frac_0_05,frozen_frac
A0,0,503800,0.099174938372713087,0.91000000000000003,0.84999999999999998
A0,0,503900,0.10014370500699944,0.90000000000000002,0.84999999999999998
A0,0,504000,0.1114680503569057,0.90000000000000002,0.84999999999999998
A0,0,504100,0.16294022343751813,0.91000000000000003,0.84999999999999998
A0,0,504200,0.14730869485082684,0.91000000000000003,0.84999999999999998
A0,0,504300,0.13049722812147252,0.91000000000000003,0.84999999999999998
A0,0,504400,0.18146311374069435,0.92000000000000004,0.84999999999999998
A0,0,504500,0.1035157775490677,0.92000000000000004,0.84999999999999998
A0,0,504600,0.11638050117250902,0.91000000000000003,0.84999999999999998
A0,0,504700,0.1949003085330826,0.91000000000000003,0.84999999999999998
A0,0,504800,0.16895984519947105,0.90000000000000002,0.85999999999999999
A0,0,504900,0.080923628956889634,0.89000000000000001,0.85999999999999999
A0,0,505000,0.097423941192515351,0.90000000000000002,0.85999999999999999
A0,0,505100,0.25456660093987477,0.89000000000000001,0.85999999999999999
A0,0,505200,0.12620085105824572,0.91000000000000003,0.85999999999999999
A0,0,505300,0.12623643240473459,0.91000000000000003,0.85999999999999999
A0,0,505400,0.1577058280314709,0.91000000000000003,0.85999999999999999
A0,0,505500,0.099914777868842258,0.91000000000000003,0.85999999999999999
A0,0,505600,0.069497306708619797,0.91000000000000003,0.85999999999999999
A0,0,505700,0.074425881132483052,0.91000000000000003,0.85999999999999999
A0,0,505800,0.14471238346782817,0.91000000000000003,0.85999999999999999
A0,0,505900,0.093169028777330506,0.91000000000000003,0.85999999999999999
A0,0,506000,0.13816575614016777,0.91000000000000003,0.85999999999999999
A0,0,506100,0.067031818378936833,0.91000000000000003,0.85999999999999999
A0,0,506200,0.25969915539754773,0.91000000000000003,0.87
A0,0,506300,0.064264262211546602,0.91000000000000003,0.87
A0,0,506400,0.063003226809174653,0.90000000000000002,0.87
A0,0,506500,0.083998042819794741,0.90000000000000002,0.87
A0,0,506600,0.045615842808059068,0.91000000000000003,0.87
A0,0,506700,0.089442960880754832,0.91000000000000003,0.87
A0,0,506800,0.07209351319422265,0.91000000000000003,0.87
A0,0,506900,0.063314645531549724,0.89000000000000001,0.87
A0,0,507000,0.092919490808689789,0.91000000000000003,0.87
A0,0,507100,0.18796491406739441,0.90000000000000002,0.87
A0,0,507200,0.070496232873155013,0.91000000000000003,0.87
A0,0,507300,0.084691768050712032,0.91000000000000003,0.87
A0,0,507400,0.075616273342538801,0.91000000000000003,0.87
A0,0,507500,0.043301017349697268,0.91000000000000003,0.87
A0,0,507600,0.15919545862103318,0.91000000000000003,0.87
A0,0,507700,0.063894124210217881,0.92000000000000004,0.87
A0,0,507800,0.09378413684720209,0.91000000000000003,0.87
A0,0,507900,0.040697028593727411,0.91000000000000003,0.87
A0,0,508000,0.081283436367207626,0.91000000000000003,0.87
A0,0,508100,0.24352161565774399,0.91000000000000003,0.87
A0,0,508200,0.041490842972067371,0.91000000000000003,0.87
A0,0,508300,0.079211565454868155,0.91000000000000003,0.87
A0,0,508400,0.075210388136403433,0.91000000000000003,0.87
A0,0,508500,0.044931702821451487,0.91000000000000003,0.87
A0,0,508600,0.2312027306666633,0.91000000000000003,0.88
A0,0,508700,0.057748417037570665,0.91000000000000003,0.88
A0,0,508800,0.06496339720171701,0.90000000000000002,0.88
A0,0,508900,0.16815810564922087,0.91000000000000003,0.88
A0,0,509000,0.048631728016813772,0.91000000000000003,0.88
A0,0,509100,0.076199024166299784,0.90000000000000002,0.88
A0,0,509200,0.043722593479854771,0.91000000000000003,0.88
A0,0,509300,0.038797704166996662,0.92000000000000004,0.88
A0,0,509400,0.040601766074881772,0.91000000000000003,0.88
