step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,stable_rank_W,stable_rank_W_alive,neg_gate_frac,eval_loss,b_mean_alive,b_mean_dead,b_std,b_min,beta_mean,beta_p10,beta_min,p_min,p_mean,dead_b_dominant_frac,dead_persist_frac,p_zero_frac,p_zero_persist_frac
2000,A_w100_T10000_std_lr0.01_s8_cont,0.23,0.00181818,0.23,16.0364,6.18564,0.186237,0.501495,0.00020202,0.582611,31.6725,0.0183949,19.322,0.113578,8.80449,7.4622,0.23,0.352263,-0.053334,-0.00181303,0.0534753,-0.222287,-0.0910524,-1.03128,-8.37305,0,0.353185,0,1,0.23,1
2000,A_w100_T10000_std_lr0.01_s9_cont,0.26,0.0030303,0.22,18.3482,6.55681,0.177153,0.500424,0,1.10156,27.2064,0.0404888,19.5565,0.0914535,10.9345,9.81767,0.26,0.368643,-0.0429728,-0.00162864,0.0505227,-0.224839,-0.127014,-0.808025,-7.53504,0,0.329465,0,0.96,0.22,1
3000,A_w100_T10000_std_lr0.01_s0_cont,0.34,0.000808081,0.33,16.1025,6.30965,0.18145,0.504838,0,1.10251,10.316,0.106874,19.3894,0.103215,9.68847,8.54214,0.34,0.101319,-0.0469194,-0.000578949,0.0449754,-0.171026,0.00627188,-1.1813,-7.91491,0,0.332175,0,0.971429,0.33,1
3000,A_w100_T10000_std_lr0.01_s1_cont,0.19,0.00444444,0.19,15.1612,5.32984,0.181928,0.498313,0,0.599779,21.8785,0.0274141,19.4753,0.0994732,10.053,9.9461,0.19,0.193638,-0.0404375,-0.00261459,0.0528804,-0.162177,0.133896,-1.10378,-10.5272,0,0.43773,0,0.95,0.19,1
3000,A_w100_T10000_std_lr0.01_s2_cont,0.2,0.00181818,0.2,13.7444,5.49594,0.178799,0.500576,0,0.0998769,1.9572,0.0510305,19.4225,0.0913075,10.952,9.69338,0.2,0.0295063,-0.0191879,0,0.0330685,-0.128247,0.410995,-0.786376,-6.26273,0,0.48091,0,0.952381,0.2,1
3000,A_w100_T10000_std_lr0.01_s3_cont,0.28,0.000606061,0.26,13.7285,5.64038,0.180681,0.498626,0,0.901957,5.64176,0.159872,19.4078,0.0954896,10.4723,9.00463,0.28,0.0699801,-0.0567848,-0.00373442,0.0572322,-0.21579,0.443908,-0.954481,-9.01654,0,0.448955,0,1,0.26,1
3000,A_w100_T10000_std_lr0.01_s4_cont,0.3,0.00242424,0.28,16.6775,6.55611,0.181399,0.49999,0,0.760118,9.87004,0.0770126,19.4272,0.1006,9.94035,8.44675,0.3,0.0938828,-0.0571272,-0.00138689,0.0514025,-0.19461,0.00859996,-1.04967,-10.0216,0,0.34407,0,1,0.28,1
3000,A_w100_T10000_std_lr0.01_s5_cont,0.19,0.00323232,0.18,16.2678,5.88991,0.18352,0.500879,0,1.74964,9.95853,0.175692,19.3971,0.109273,9.15141,8.95853,0.19,0.132059,-0.0404376,-0.000717651,0.0553359,-0.195996,0.027909,-1.13697,-3.11884,0,0.40773,0,1,0.18,1
3000,A_w100_T10000_std_lr0.01_s6_cont,0.26,0.00464646,0.24,16.3399,6.40532,0.183816,0.499556,0,0.617333,24.1921,0.0255179,19.2664,0.105399,9.48779,8.6752,0.26,0.182257,-0.0572009,-0.00329461,0.0517772,-0.257852,-0.0216075,-1.11958,-5.45829,0,0.358255,0,0.96,0.24,1
3000,A_w100_T10000_std_lr0.01_s7_cont,0.37,0.00282828,0.36,15.1064,4.71658,0.179174,0.501283,0,4.88434,20.2989,0.24062,19.4525,0.104682,9.55271,7.65783,0.37,0.208446,-0.0557671,-0.0027352,0.054953,-0.286622,-0.056472,-1.11521,-7.2405,0,0.30109,0,1,0.36,1
