act,reg,lam,lr,seed,task,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,reg_loss,pen_l2_total,pen_l2init_total,pen_shell_total,alpha_med_l1,alpha_min_l1,alpha_max_l1,alpha_clip_frac_l1,two_alpha_W_med_l1,alpha_med_l2,alpha_min_l2,alpha_max_l2,alpha_clip_frac_l2,two_alpha_W_med_l2
R,shell,0.001,0.001,1,2,0.1291666667,0.1991666704,0.1991666704,0.2399999946,0.2399999946,-0.4050821066,0.4252313077,-1.348131418,0.1291666627,37.02096407,0.05999999866,0.05999999866,-0.05240606889,0.1846050769,-0.5786197782,0.3574999869,35.35899832,0.6458495259,0.5788299441,0.6059280038,0.0003935576302,0.07868539843,0.03835768033,0.0003935576302,,,,,,,,,,
SNA,none,0,0.001,0,1,0.1477777778,0.2741666734,0.2741666734,0,0,-0.08933805674,0.3289079368,-0.7063028812,0.803460896,60.49626417,0,0,-0.0314014107,0.2668305337,-0.5593888164,0.9324680567,53.58603314,0.7440574169,0.5959349871,0.5719208717,0,0.09519373263,0.02366113867,0.002926430685,1.454962969,1.299368382,1.637903571,0,1.200000048,1.574543715,1.352579951,1.751731157,0,1.200000048
SNA,none,0,0.001,0,2,0.1436111111,0.2716666758,0.2716666758,0,0,-0.2928622067,0.4039049745,-1.518749952,0.6827016473,63.55618319,0,0,-0.1517731547,0.2929330766,-0.7223748565,0.7280788422,63.65600431,0.8463215828,0.6025515795,0.5930042863,0,0.1131452367,0.04210397278,0.007600796661,1.654347062,1.077753425,2.441356182,0,1.200000048,2.1583848,1.446418643,3,0.009999999776,1.200000048
SNA,none,0,0.001,1,1,0.1372222222,0.2308333367,0.2308333367,0,0,-0.07902073115,0.3016426563,-1.008381248,0.8446406722,58.21134457,0,0,-0.06615372002,0.2471893132,-0.7522208691,0.8222830892,50.89059919,0.726347506,0.5875291824,0.5567070842,0,0.09089561757,0.02132312455,0.002284529668,1.502936721,1.230515838,1.659466863,0,1.200000048,1.627383351,1.420976639,1.766177058,0,1.200000048
SNA,none,0,0.001,1,2,0.1463888889,0.2716666758,0.2716666758,0,0,-0.3063726723,0.3876968026,-1.354453802,0.6870844364,66.0306147,0,0,-0.06654393673,0.2846938372,-0.5761422515,0.8586163521,61.99257098,0.8345993161,0.5988956094,0.5676494241,0,0.1101021299,0.0411392383,0.0070271607,1.66330564,0.9101478457,2.462694645,0,1.200000048,2.300410032,1.604216456,3,0.01999999955,1.200000048
SNA,l2,0.001,0.001,0,1,0.1447222222,0.2675000131,0.2675000131,0,0,-0.07561650872,0.2954742014,-0.755379498,0.8208847642,58.88966924,0,0,-0.02897804603,0.2168433815,-0.4234690964,0.9075328708,49.5634867,0.5073084235,0.513471067,0.5531428456,0.05568622911,0.05568622911,0.02944214391,0.0008818076309,1.500335217,1.344660759,1.663191557,0,1.200000048,1.637316585,1.418771863,1.787413597,0,1.200000048
SNA,l2,0.001,0.001,0,2,0.1347222222,0.2275000066,0.2275000066,0,0,-0.2859357595,0.3443104029,-1.45668292,0.6776289344,59.11565818,0,0,-0.07351770997,0.2290967405,-0.6093397141,0.7993947864,55.54114925,0.5181492567,0.4756453037,0.5630069971,0.05363062536,0.05363062536,0.03969844361,0.001302198126,1.825777411,1.058554411,2.649432421,0,1.200000048,2.683169842,1.941828251,3,0.2700000107,1.200000048
SNA,l2,0.001,0.001,1,1,0.1316666667,0.1991666704,0.1991666704,0,0,-0.05081735551,0.2770178318,-0.9697018266,0.8810394406,54.00113207,0,0,-0.04795783386,0.2024311721,-0.6976224184,0.8655881882,44.92328131,0.491674155,0.5102187991,0.5344082117,0.05325078018,0.05325078018,0.02855264174,0.001153000442,1.53927362,1.271948934,1.695736408,0,1.200000048,1.680062175,1.490850687,1.807024479,0,1.200000048
SNA,l2,0.001,0.001,1,2,0.1363888889,0.2491666675,0.2491666675,0,0,-0.2180651575,0.3455241024,-1.498931408,0.7031992674,61.28964833,0,0,-0.08234365284,0.2199395448,-0.433005482,0.8079198599,55.98605147,0.4974902868,0.4766590893,0.527318418,0.05145610954,0.05145610954,0.03920568681,0.001453968118,1.875891328,0.8396806717,3,0.009999999776,1.200000048,2.710595846,1.83817482,3,0.3100000024,1.200000048
SNA,l2init,0.001,0.001,0,1,0.1463888889,0.2591666579,0.2591666579,0,0,-0.1054101661,0.3146371543,-0.8467863202,0.7769527435,59.83957882,0,0,-0.02217032202,0.2461948544,-0.5698217154,0.934596777,53.07599843,0.6890445352,0.5946317911,0.5694529414,0.01545697987,0.08670595497,0.01545697987,0.001312256347,1.478627801,1.324876666,1.643393278,0,1.200000048,1.593021035,1.37682128,1.760894656,0,1.200000048
SNA,l2init,0.001,0.001,0,2,0.1355555556,0.2591666579,0.2591666579,0,0,-0.2719384134,0.3660584986,-1.403898478,0.6689077616,62.96869842,0,0,-0.1001544073,0.2684023678,-0.6736764312,0.7833317518,62.13722776,0.7251292467,0.6005004644,0.5885828137,0.02306303227,0.0939425472,0.02306303227,0.002515754415,1.768518925,1.135824323,2.486800909,0,1.200000048,2.275356531,1.526374936,3,0.01999999955,1.200000048
SNA,l2init,0.001,0.001,1,1,0.1344444444,0.2166666687,0.2166666687,0,0,-0.07105001807,0.2898863256,-1.1013906,0.8829514384,57.14912894,0,0,-0.06739691645,0.2413127124,-0.7436646223,0.8173930645,49.48361647,0.681155324,0.583616972,0.5557159185,0.01390180325,0.08340544297,0.01390180325,0.001002615172,1.520010471,1.252575159,1.670468211,0,1.200000048,1.647654295,1.4530406,1.783702493,0,1.200000048
SNA,l2init,0.001,0.001,1,2,0.1397222222,0.2716666758,0.2716666758,0,0,-0.2427273542,0.3605018854,-1.562273383,0.7106553912,64.2090971,0,0,-0.09513112158,0.2652293444,-0.4927114844,0.8051647544,61.33208375,0.7201402187,0.5951485038,0.5567254424,0.02221034694,0.09111530663,0.02221034694,0.002197122632,1.794520259,0.9509662986,2.608806372,0,1.200000048,2.406811237,1.670615196,3,0.07999999821,1.200000048
SNA,shell,0.001,0.001,0,1,0.1475,0.2733333409,0.2733333409,0,0,-0.09019310027,0.3278179467,-0.7079914212,0.8029599786,60.44059317,0,0,-0.03058128059,0.2656137347,-0.5592287183,0.9293669462,53.53909972,0.6695646644,0.5956756473,0.5721715689,0.0009321434863,0.08447034817,0.03005126261,0.0009321434863,1.455597162,1.300628424,1.638085604,0,1.200000048,1.575173259,1.353442669,1.751979828,0,1.200000048
SNA,shell,0.001,0.001,0,2,0.1430555556,0.2666666806,0.2666666806,0,0,-0.2768903375,0.3961575329,-1.558238864,0.6899026632,62.65835285,0,0,-0.1537600309,0.2894516885,-0.7561685443,0.7240514159,62.90752361,0.7221447825,0.601647675,0.5927218199,0.002416888948,0.093758697,0.04416410294,0.002416888948,1.671836138,1.09703362,2.478466749,0,1.200000048,2.170643091,1.458589315,3,0.009999999776,1.200000048
SNA,shell,0.001,0.001,1,1,0.1372222222,0.2308333367,0.2308333367,0,0,-0.07874725014,0.3009636402,-1.010098934,0.8439777493,58.151362,0,0,-0.06648463011,0.2469866276,-0.7508077025,0.8235003948,50.81951094,0.6569423079,0.5874689817,0.5571769476,0.0006605898515,0.08112354954,0.02833821422,0.0006605898515,1.50334692,1.230888486,1.659769297,0,1.200000048,1.627483249,1.421702385,1.766404033,0,1.200000048
SNA,shell,0.001,0.001,1,2,0.1477777778,0.2733333409,0.2733333409,0,0,-0.2716881037,0.3808860779,-1.33846879,0.67160815,65.5416334,0,0,-0.08314167708,0.2824312449,-0.6006836295,0.8525319695,61.65680211,0.7211880088,0.5970832109,0.568387866,0.00226180718,0.09185277423,0.04416951766,0.00226180718,1.684538484,0.9185565114,2.545004129,0,1.200000048,2.306737423,1.614248633,3,0.01999999955,1.200000048
