act,env,lo,hi,n,early,eP,eB,eV,early_updown,late,lP,lB,lV,late_updown
GELU,PM,-6.0,-3.0,10807,-0.9380070177868793,-1.4597644175648379,-0.4940695922327204,1.0158267514671002,0.7351845269195136,0.20880909039906922,-0.9803315620321515,-1.91129974130483,3.100438694697323,1.0608107648525287
GELU,PM,-12.0,-6.0,21018,-0.1609062163181168,-0.5887736423283754,-0.26172284991333195,0.6895896750699175,0.9136896647766897,0.23576171365970366,-0.940257698975439,-1.6534990539929644,2.8295138957682155,1.075311497692645
GELU,PM,-inf,-12.0,4008,0.09900943630253736,-0.09038261412810053,-0.06387831956170464,0.2532697890728684,1.2228968121834296,0.1731303727961535,-0.3208756611663836,-0.6077842125191333,1.1017846861357645,1.14022782550774
GELU,K784,0.0,3.0,777,-1.2585796216210732,-0.6200968341607705,-0.4489615566521435,-0.1895213597406088,0.6834233769281705,-0.37015792027675826,2.530336204442724,-3.48651668129357,0.5860212837665878,0.9684412756521298
GELU,K784,-1.0,0.0,828,-1.0812552005794518,-0.8102924820490064,-0.30836298436933623,0.037399756625506944,0.5970118359334954,-0.006654521267520588,2.356769506018768,-3.2958227586068745,0.9323968743011385,0.9994009292614372
GELU,K784,-2.0,-1.0,1320,-0.6971646463058595,-0.6489826440649672,-0.18610355185735206,0.13792113344822618,0.621164754585587,-0.027656105619814974,1.24865314659154,-1.9949422578124052,0.7186320575428653,0.9965288977742712
GELU,K784,-3.0,-2.0,1967,-0.3943004307545328,-0.3961481750225555,-0.07008373646771432,0.0719312119700329,0.711649469442978,-0.05531922042051545,0.41791509153712464,-1.0753736800322427,0.6021386016963878,0.9893558861313854
GELU,K784,-6.0,-3.0,10111,-0.12338161774505496,-0.1412891083674052,-0.01621252722155216,0.03411990001785788,0.8642497360668353,-0.025256867176985182,0.012057985325969954,-0.38007906244978923,0.3427633950449408,0.9897606682626741
GELU,K784,-12.0,-6.0,21509,-0.040090987237789116,-0.012945900649083852,0.0037726017133673678,-0.030917950596691616,0.9079244303007835,0.0010299441744637402,-0.021314568930518057,-0.045585630516344025,0.06792924094527283,1.001777241293516
GELU,K784,-inf,-12.0,5609,-0.016825308256250816,-0.00044690943647507825,0.0005169288865504502,-0.01689553804837575,0.8585597949202444,0.007338305414232653,-0.0019164766678194261,-0.005548385533652825,0.014802977885819616,1.054801968669346
GELU,K107,0.0,3.0,259,-2.7965375303446303,-0.8314344577367693,-1.4569441324849115,-0.5081586611817203,0.5566404465247291,0.19597202640437913,4.902998334151174,-6.546819483527669,1.83979326707173,1.0230463393719231
GELU,K107,-1.0,0.0,158,-2.713760319292616,-0.8848214832208113,-0.6715340377478001,-1.1574045047547101,0.5784088366650642,0.36488205288839676,1.9103499485668425,-7.131031874038445,5.585563966417046,1.0300224835628193
GELU,K107,-2.0,-1.0,171,-2.6992406039274086,-1.3327573102725978,-0.027274876915171508,-1.3392082147364237,0.5642342602479112,0.4675446562745577,-0.7042069337800764,-7.8516158570800005,9.023367352169393,1.031304526107525
GELU,K107,-3.0,-2.0,188,-2.528732176779855,-1.023148498526177,-0.23238157627680175,-1.2732017745011228,0.5720647398750456,0.6117541295204725,-0.8412822617508633,-7.702311981787633,9.155348125935989,1.0395926837518297
GELU,K107,-6.0,-3.0,1230,-2.3629875557016105,-0.7316694037283606,0.43081419410773675,-2.062132463239278,0.5149676423115814,0.9046135976203122,-1.2115194856572984,-5.344966136490443,7.461098482203465,1.0652646687147265
GELU,K107,-12.0,-6.0,7467,-1.8338234051996358,-0.8403702264014731,0.5754115736012697,-1.5688663151400695,0.5393614660178971,0.9258320888115146,-0.9900437575443481,-2.58073969693007,4.496608169421888,1.0948811825415157
GELU,K107,-inf,-12.0,35226,-0.7174584147891742,-0.6661825275172663,0.269948919015005,-0.32123333951243643,0.7281984228790284,0.7539354664180055,-0.5939017671950234,-1.4508767021571274,2.798671765765664,1.1308987719504642
SILU,RL,0.0,3.0,599,-1.5569565515243797,-0.6795785812115729,-0.4800732109829965,-0.39730483615527984,0.6753324031136712,-0.12031601494235898,4.578757387081349,-4.069396174642907,-0.629677101248186,0.992619260154135
SILU,RL,-1.0,0.0,221,-1.0246331622156133,-0.6755409005741201,0.18972312478587153,-0.538815446127801,0.7327887459312262,0.12446883065814081,5.385435540901104,-4.678679628978398,-0.5822868433620778,1.0065408916423326
SILU,RL,-2.0,-1.0,359,-1.2217807797053948,-0.44202500367838804,0.14038358611412077,-0.9201393103382901,0.7029694008963312,0.32980511325342105,5.786811169677925,-5.5268451713534805,0.06983914378930589,1.017561646552094
SILU,RL,-3.0,-2.0,373,-1.0127987402154237,-0.375284164923962,0.007934778130264646,-0.6454495241066214,0.7521289129137069,0.360742127495517,5.104315960787599,-5.502989879239718,0.7594161075779623,1.0182456020677393
SILU,RL,-6.0,-3.0,1340,-1.0344025135553292,-0.3933816155546773,0.10086454459482909,-0.741885464737316,0.7230779564091419,0.29050988188821825,2.455110880338728,-3.408812866966236,1.244211740769055,1.0163623406729492
SILU,RL,-12.0,-6.0,3540,-1.3610331446617419,-0.25105943315958856,0.24561891652962886,-1.3555927947264923,0.5830605684419885,0.61110190927394,0.22466713907955543,-1.7698041230883117,2.1562388628684404,1.0459974199175706
SILU,RL,-inf,-12.0,37071,-0.8194069079344776,-0.23322581377116378,0.2563288420498071,-0.8425131298756975,0.5867744144665428,0.6137062014451048,-0.30648491692356894,-0.8244644114840344,1.7446627301264146,1.1297035859119495
SILU,PM,0.0,3.0,3373,-1.5532358963975341,-1.6345002445140988,0.17018491447076123,-0.08892049929465037,0.675708213412981,0.18210985175018055,0.4161950396095751,-0.2141534670945062,-0.01993175167564301,1.1653802765557426
SILU,PM,-1.0,0.0,1877,-1.6386769802740966,-1.5672670840547644,-0.017006557725160135,-0.05440330402881759,0.6629434673095805,0.16666075780793432,0.4354967666713487,-0.3889689095291406,0.1201328897177404,1.1028722435563187
