chunk,task,start,end
244,9,800,1000
245,9,1000,1200
246,9,1200,1400
247,9,1400,1600
248,9,1600,1800
249,9,1800,2000
250,9,2000,2200
251,9,2200,2400
252,9,2400,2600
253,9,2600,2800
254,9,2800,3000
255,9,3000,3200
256,9,3200,3400
257,9,3400,3600
258,9,3600,3800
259,9,3800,4000
260,9,4000,4200
261,9,4200,4400
262,9,4400,4600
263,9,4600,4800
264,9,4800,5000
265,9,5000,5200
266,9,5200,5400
267,9,5400,5600
268,9,5600,5800
269,9,5800,6000
270,10,0,200
271,10,200,400
272,10,400,600
273,10,600,800
274,10,800,1000
275,10,1000,1200
276,10,1200,1400
277,10,1400,1600
278,10,1600,1800
279,10,1800,2000
280,10,2000,2200
281,10,2200,2400
282,10,2400,2600
283,10,2600,2800
284,10,2800,3000
285,10,3000,3200
286,10,3200,3400
287,10,3400,3600
288,10,3600,3800
289,10,3800,4000
290,10,4000,4200
291,10,4200,4400
292,10,4400,4600
293,10,4600,4800
294,10,4800,5000
295,10,5000,5200
296,10,5200,5400
297,10,5400,5600
298,10,5600,5800
299,10,5800,6000
300,11,0,100
301,11,100,300
302,11,300,1000
303,11,1000,3000
304,11,3000,6000
305,12,0,100
306,12,100,300
307,12,300,1000
308,12,1000,3000
309,12,3000,6000
310,13,0,100
311,13,100,300
312,13,300,1000
313,13,1000,3000
314,13,3000,6000
315,14,0,100
316,14,100,300
317,14,300,1000
318,14,1000,3000
319,14,3000,6000
320,15,0,100
321,15,100,300
322,15,300,1000
323,15,1000,3000
324,15,3000,6000
325,16,0,100
326,16,100,300
327,16,300,1000
328,16,1000,3000
329,16,3000,6000
330,17,0,100
331,17,100,300
332,17,300,1000
333,17,1000,3000
334,17,3000,6000
335,18,0,100
336,18,100,300
337,18,300,1000
338,18,1000,3000
339,18,3000,6000
340,19,0,100
341,19,100,300
342,19,300,1000
343,19,1000,3000
344,19,3000,6000
345,20,0,100
346,20,100,300
347,20,300,1000
348,20,1000,3000
349,20,3000,6000
350,21,0,100
351,21,100,300
352,21,300,1000
353,21,1000,3000
354,21,3000,6000
355,22,0,100
356,22,100,300
357,22,300,1000
358,22,1000,3000
359,22,3000,6000
360,23,0,100
361,23,100,300
362,23,300,1000
363,23,1000,3000
364,23,3000,6000
365,24,0,100
366,24,100,300
367,24,300,1000
368,24,1000,3000
369,24,3000,6000
370,25,0,100
371,25,100,300
372,25,300,1000
373,25,1000,3000
374,25,3000,6000
375,26,0,100
376,26,100,300
377,26,300,1000
378,26,1000,3000
379,26,3000,6000
380,27,0,100
381,27,100,300
382,27,300,1000
383,27,1000,3000
384,27,3000,6000
385,28,0,100
386,28,100,300
387,28,300,1000
388,28,1000,3000
389,28,3000,6000
390,29,0,100
391,29,100,300
392,29,300,1000
393,29,1000,3000
394,29,3000,6000
395,30,0,100
396,30,100,300
397,30,300,1000
398,30,1000,3000
399,30,3000,6000
400,31,0,100
401,31,100,300
402,31,300,1000
403,31,1000,3000
404,31,3000,6000
405,32,0,100
406,32,100,300
407,32,300,1000
408,32,1000,3000
409,32,3000,6000
410,33,0,100
411,33,100,300
412,33,300,1000
413,33,1000,3000
414,33,3000,6000
415,34,0,100
416,34,100,300
417,34,300,1000
418,34,1000,3000
419,34,3000,6000
420,35,0,100
421,35,100,300
422,35,300,1000
423,35,1000,3000
424,35,3000,6000
425,36,0,100
426,36,100,300
427,36,300,1000
428,36,1000,3000
429,36,3000,6000
430,37,0,100
431,37,100,300
432,37,300,1000
433,37,1000,3000
434,37,3000,6000
435,38,0,100
436,38,100,300
437,38,300,1000
438,38,1000,3000
439,38,3000,6000
440,39,0,100
441,39,100,300
442,39,300,1000
443,39,1000,3000
444,39,3000,6000
445,40,0,100
446,40,100,300
447,40,300,1000
448,40,1000,3000
449,40,3000,6000
450,41,0,100
451,41,100,300
452,41,300,1000
453,41,1000,3000
454,41,3000,6000
455,42,0,100
456,42,100,300
457,42,300,1000
458,42,1000,3000
459,42,3000,6000
460,43,0,100
461,43,100,300
462,43,300,1000
463,43,1000,3000
464,43,3000,6000
465,44,0,100
466,44,100,300
467,44,300,1000
468,44,1000,3000
469,44,3000,6000
470,45,0,100
471,45,100,300
472,45,300,1000
473,45,1000,3000
474,45,3000,6000
475,46,0,100
476,46,100,300
477,46,300,1000
478,46,1000,3000
479,46,3000,6000
480,47,0,100
481,47,100,300
482,47,300,1000
483,47,1000,3000
484,47,3000,6000
485,48,0,100
486,48,100,300
487,48,300,1000
488,48,1000,3000
489,48,3000,6000
490,49,0,100
491,49,100,300
492,49,300,1000
493,49,1000,3000
494,49,3000,6000
495,50,0,100
496,50,100,300
497,50,300,1000
498,50,1000,3000
499,50,3000,6000
500,51,0,100
501,51,100,300
502,51,300,1000
503,51,1000,3000
504,51,3000,6000
505,52,0,100
506,52,100,300
507,52,300,1000
508,52,1000,3000
509,52,3000,6000
510,53,0,100
511,53,100,300
512,53,300,1000
513,53,1000,3000
514,53,3000,6000
515,54,0,100
516,54,100,300
517,54,300,1000
518,54,1000,3000
519,54,3000,6000
520,55,0,100
521,55,100,300
522,55,300,1000
523,55,1000,3000
524,55,3000,6000
525,56,0,100
526,56,100,300
527,56,300,1000
528,56,1000,3000
529,56,3000,6000
530,57,0,100
531,57,100,300
532,57,300,1000
533,57,1000,3000
534,57,3000,6000
535,58,0,100
536,58,100,300
537,58,300,1000
538,58,1000,3000
539,58,3000,6000
540,59,0,100
541,59,100,300
542,59,300,1000
543,59,1000,3000
544,59,3000,6000
545,60,0,100
546,60,100,300
547,60,300,1000
548,60,1000,3000
549,60,3000,6000
550,61,0,100
551,61,100,300
552,61,300,1000
553,61,1000,3000
554,61,3000,6000
555,62,0,100
556,62,100,300
557,62,300,1000
558,62,1000,3000
559,62,3000,6000
560,63,0,100
561,63,100,300
562,63,300,1000
563,63,1000,3000
564,63,3000,6000
565,64,0,100
566,64,100,300
567,64,300,1000
568,64,1000,3000
569,64,3000,6000
570,65,0,100
571,65,100,300
572,65,300,1000
573,65,1000,3000
574,65,3000,6000
575,66,0,100
576,66,100,300
577,66,300,1000
578,66,1000,3000
579,66,3000,6000
580,67,0,100
581,67,100,300
582,67,300,1000
583,67,1000,3000
584,67,3000,6000
585,68,0,100
586,68,100,300
587,68,300,1000
588,68,1000,3000
589,68,3000,6000
590,69,0,100
591,69,100,300
592,69,300,1000
593,69,1000,3000
594,69,3000,6000
595,70,0,100
596,70,100,300
597,70,300,1000
598,70,1000,3000
599,70,3000,6000
600,71,0,100
601,71,100,300
602,71,300,1000
603,71,1000,3000
604,71,3000,6000
605,72,0,100
606,72,100,300
607,72,300,1000
608,72,1000,3000
609,72,3000,6000
610,73,0,100
611,73,100,300
612,73,300,1000
613,73,1000,3000
614,73,3000,6000
615,74,0,100
616,74,100,300
617,74,300,1000
618,74,1000,3000
619,74,3000,6000
620,75,0,100
621,75,100,300
622,75,300,1000
623,75,1000,3000
624,75,3000,6000
625,76,0,100
626,76,100,300
627,76,300,1000
628,76,1000,3000
629,76,3000,6000
630,77,0,100
631,77,100,300
632,77,300,1000
633,77,1000,3000
634,77,3000,6000
635,78,0,100
636,78,100,300
637,78,300,1000
638,78,1000,3000
639,78,3000,6000
640,79,0,100
641,79,100,300
642,79,300,1000
643,79,1000,3000
644,79,3000,6000
645,80,0,100
646,80,100,300
647,80,300,1000
648,80,1000,3000
649,80,3000,6000
650,81,0,100
651,81,100,300
652,81,300,1000
653,81,1000,3000
654,81,3000,6000
655,82,0,100
656,82,100,300
657,82,300,1000
658,82,1000,3000
659,82,3000,6000
660,83,0,100
661,83,100,300
662,83,300,1000
663,83,1000,3000
664,83,3000,6000
665,84,0,100
666,84,100,300
667,84,300,1000
668,84,1000,3000
669,84,3000,6000
670,85,0,100
671,85,100,300
672,85,300,1000
673,85,1000,3000
674,85,3000,6000
675,86,0,100
676,86,100,300
677,86,300,1000
678,86,1000,3000
679,86,3000,6000
680,87,0,100
681,87,100,300
682,87,300,1000
683,87,1000,3000
684,87,3000,6000
685,88,0,100
686,88,100,300
687,88,300,1000
688,88,1000,3000
689,88,3000,6000
690,89,0,100
691,89,100,300
692,89,300,1000
693,89,1000,3000
694,89,3000,6000
695,90,0,100
696,90,100,300
697,90,300,1000
698,90,1000,3000
699,90,3000,6000
700,91,0,100
701,91,100,300
702,91,300,1000
703,91,1000,3000
704,91,3000,6000
705,92,0,100
706,92,100,300
707,92,300,1000
708,92,1000,3000
709,92,3000,6000
710,93,0,100
711,93,100,300
712,93,300,1000
713,93,1000,3000
714,93,3000,6000
715,94,0,100
716,94,100,300
717,94,300,1000
718,94,1000,3000
719,94,3000,6000
720,95,0,100
721,95,100,300
722,95,300,1000
723,95,1000,3000
724,95,3000,6000
725,96,0,100
726,96,100,300
727,96,300,1000
728,96,1000,3000
729,96,3000,6000
730,97,0,100
731,97,100,300
732,97,300,1000
733,97,1000,3000
734,97,3000,6000
735,98,0,100
736,98,100,300
737,98,300,1000
738,98,1000,3000
739,98,3000,6000
740,99,0,100
741,99,100,300
742,99,300,1000
743,99,1000,3000
744,99,3000,6000
745,100,0,100
746,100,100,300
747,100,300,1000
748,100,1000,3000
749,100,3000,6000
750,101,0,100
751,101,100,300
752,101,300,1000
753,101,1000,3000
754,101,3000,6000
755,102,0,100
756,102,100,300
757,102,300,1000
758,102,1000,3000
759,102,3000,6000
760,103,0,100
761,103,100,300
762,103,300,1000
763,103,1000,3000
764,103,3000,6000
765,104,0,100
766,104,100,300
767,104,300,1000
768,104,1000,3000
769,104,3000,6000
770,105,0,100
771,105,100,300
772,105,300,1000
773,105,1000,3000
774,105,3000,6000
775,106,0,100
776,106,100,300
777,106,300,1000
778,106,1000,3000
779,106,3000,6000
780,107,0,100
781,107,100,300
782,107,300,1000
783,107,1000,3000
784,107,3000,6000
785,108,0,100
786,108,100,300
787,108,300,1000
788,108,1000,3000
789,108,3000,6000
790,109,0,100
791,109,100,300
792,109,300,1000
793,109,1000,3000
794,109,3000,6000
795,110,0,100
796,110,100,300
797,110,300,1000
798,110,1000,3000
799,110,3000,6000
800,111,0,100
801,111,100,300
802,111,300,1000
803,111,1000,3000
804,111,3000,6000
805,112,0,100
806,112,100,300
807,112,300,1000
808,112,1000,3000
809,112,3000,6000
810,113,0,100
811,113,100,300
812,113,300,1000
813,113,1000,3000
814,113,3000,6000
815,114,0,100
816,114,100,300
817,114,300,1000
818,114,1000,3000
819,114,3000,6000
820,115,0,100
821,115,100,300
822,115,300,1000
823,115,1000,3000
824,115,3000,6000
825,116,0,100
826,116,100,300
827,116,300,1000
828,116,1000,3000
829,116,3000,6000
830,117,0,100
831,117,100,300
832,117,300,1000
833,117,1000,3000
834,117,3000,6000
835,118,0,100
836,118,100,300
837,118,300,1000
838,118,1000,3000
839,118,3000,6000
840,119,0,100
841,119,100,300
842,119,300,1000
843,119,1000,3000
844,119,3000,6000
845,120,0,100
846,120,100,300
847,120,300,1000
848,120,1000,3000
849,120,3000,6000
850,121,0,100
851,121,100,300
852,121,300,1000
853,121,1000,3000
854,121,3000,6000
855,122,0,100
856,122,100,300
857,122,300,1000
858,122,1000,3000
859,122,3000,6000
860,123,0,100
861,123,100,300
862,123,300,1000
863,123,1000,3000
864,123,3000,6000
865,124,0,100
866,124,100,300
867,124,300,1000
868,124,1000,3000
869,124,3000,6000
870,125,0,100
871,125,100,300
872,125,300,1000
873,125,1000,3000
874,125,3000,6000
875,126,0,100
876,126,100,300
877,126,300,1000
878,126,1000,3000
879,126,3000,6000
880,127,0,100
881,127,100,300
882,127,300,1000
883,127,1000,3000
884,127,3000,6000
885,128,0,100
886,128,100,300
887,128,300,1000
888,128,1000,3000
889,128,3000,6000
890,129,0,100
891,129,100,300
892,129,300,1000
893,129,1000,3000
894,129,3000,6000
895,130,0,100
896,130,100,300
897,130,300,1000
898,130,1000,3000
899,130,3000,6000
900,131,0,100
901,131,100,300
902,131,300,1000
903,131,1000,3000
904,131,3000,6000
905,132,0,100
906,132,100,300
907,132,300,1000
908,132,1000,3000
909,132,3000,6000
910,133,0,100
911,133,100,300
912,133,300,1000
913,133,1000,3000
914,133,3000,6000
915,134,0,100
916,134,100,300
917,134,300,1000
918,134,1000,3000
919,134,3000,6000
920,135,0,100
921,135,100,300
922,135,300,1000
923,135,1000,3000
924,135,3000,6000
925,136,0,100
926,136,100,300
927,136,300,1000
928,136,1000,3000
929,136,3000,6000
930,137,0,100
931,137,100,300
932,137,300,1000
933,137,1000,3000
934,137,3000,6000
935,138,0,100
936,138,100,300
937,138,300,1000
938,138,1000,3000
939,138,3000,6000
940,139,0,100
941,139,100,300
942,139,300,1000
943,139,1000,3000
944,139,3000,6000
945,140,0,100
946,140,100,300
947,140,300,1000
948,140,1000,3000
949,140,3000,6000
950,141,0,100
951,141,100,300
952,141,300,1000
953,141,1000,3000
954,141,3000,6000
955,142,0,100
956,142,100,300
957,142,300,1000
958,142,1000,3000
959,142,3000,6000
960,143,0,100
961,143,100,300
962,143,300,1000
963,143,1000,3000
964,143,3000,6000
965,144,0,100
966,144,100,300
967,144,300,1000
968,144,1000,3000
969,144,3000,6000
970,145,0,100
971,145,100,300
972,145,300,1000
973,145,1000,3000
974,145,3000,6000
975,146,0,100
976,146,100,300
977,146,300,1000
978,146,1000,3000
979,146,3000,6000
980,147,0,100
981,147,100,300
982,147,300,1000
983,147,1000,3000
984,147,3000,6000
985,148,0,100
986,148,100,300
987,148,300,1000
988,148,1000,3000
989,148,3000,6000
990,149,0,100
991,149,100,300
992,149,300,1000
993,149,1000,3000
994,149,3000,6000
995,150,0,100
996,150,100,300
997,150,300,1000
998,150,1000,3000
999,150,3000,6000
