arm,seed,task,dead_frac_l1,dead_frac_l2,zbar_l1,zsd_l1,zbar_l2,zsd_l2,sink_ratio_l2,gate_zero_frac_l2,bias_over_sd_l2,r_a1,ratio_of_medians_l2
ref,6,50,1.0,1.0,-6.604883671,1.759224534,-0.01722822338,0.0,-17228222460.0,1.0,33549484030.0,,
ref,7,1,1.0,0.9899999499,-7.521239758,1.928914428,-0.01866559312,0.0,-18665592830.0,0.9900000095,32427749380.0,,
ref,7,50,1.0,1.0,-7.521239758,1.928914428,-0.01866559312,0.0,-18665592830.0,1.0,32252821500.0,,
ref,8,1,0.9799999595,0.3400000036,-6.856935501,1.876891375,-0.04611270502,0.06740555167,-1.564140439,0.7791583538,2.145925045,0.05190379918,-0.6841084135881831
ref,8,50,1.0,1.0,-6.856935501,1.876891375,-0.09896634519,0.0,-98966347780.0,1.0,242103140400.0,,
ref,9,1,0.9799999595,0.2999999821,-7.055674076,1.971748352,-0.0870808661,0.3194224238,-0.4153023064,0.5965916514,0.7200605869,0.5491404533,-0.27261976496216167
ref,9,50,1.0,1.0,-7.240158081,1.979245424,-0.03159987926,0.0,-31599880190.0,1.0,126808154100.0,,
H,0,1,0.9399999976,0.0,-6.439538002,1.777873635,-0.7779103518,4.704835415,-0.1340370029,0.5619999766,0.1773727089,0.05010781437,-0.1653427342686333
H,0,50,0.9899999499,0.8700000048,-6.688925743,1.777873635,-2.282365322,0.03401882946,-39.4033699,0.9299666882,68.27364349,0.0006842504372,-67.09123618388016
H,1,1,0.9399999976,0.0,-6.353060246,1.821547627,-0.391462177,2.370750189,-0.1517648697,0.5878000259,0.2746317685,0.01796635427,-0.1651216474921475
H,1,50,0.9799999595,0.9300000072,-6.453105927,1.821547627,-5.576196194,0.1132938191,-54.17172241,0.9999417067,45.45039749,0.0009466756601,-49.218891536157955
H,2,1,0.969999969,0.25,-7.039233685,1.943668604,-0.6366558075,1.252436876,-0.4626086652,0.7269666791,0.5363518,0.01043506898,-0.5083336491443262
H,2,50,0.9899999499,1.0,-7.241112709,1.943668604,-3.334825993,0.4443100095,-7.641929626,1.0,7.642380714,0.0019157317,-7.505628776522083
H,3,1,0.9199999571,0.0,-6.417629719,1.875151873,-0.4145378172,4.017958641,-0.08490693569,0.5372166634,0.1536630392,0.05451081693,-0.10317125043796586
H,3,50,0.9899999499,0.969999969,-7.003896713,1.875151873,-6.711544991,0.08727835119,-70.65342712,0.9800166488,72.38948822,0.0008714487194,-76.89816431556261
H,4,1,0.8799999952,0.0,-6.820208549,1.999107361,-0.3696343303,6.497377872,-0.05406348407,0.5207499862,0.08445183933,0.0124462517,-0.0568897696242839
H,4,50,0.9899999499,1.0,-7.470625877,1.999107361,-29.39459801,3.938343525,-5.550331593,1.0,7.072157383,0.003716271603,-7.463695795810499
H,5,1,0.9899999499,0.5899999738,-6.825004101,1.848277092,-0.07005838305,0.01665330678,-7.763996601,0.7098833323,18.58926964,0.04227924719,-4.20687518554198
H,5,50,1.0,0.9899999499,-6.825004101,1.848277092,-0.07353780419,0.0,-73537806340.0,0.9900000095,263452442600.0,,
H,6,1,0.9399999976,0.0,-7.14575386,2.008031845,-0.7617005706,2.990766525,-0.2097786069,0.5940583348,0.254914254,0.01379334647,-0.25468406317674697
H,6,50,0.9899999499,0.7799999714,-7.648260117,2.008031845,-2.277208328,0.07146887481,-40.46421432,0.9798499942,33.20051956,0.0002616494894,-31.862938013981026
H,7,1,0.9300000072,0.0,-7.521239758,1.967261076,-0.574103415,4.094073296,-0.1415310949,0.5756083131,0.1953414083,0.01161222346,-0.14022792790761993
H,7,50,1.0,0.9899999499,-7.70081377,1.967261076,-1.333122134,0.0,-1333122171000.0,0.9900000095,1227749065000.0,,
H,8,1,0.9199999571,0.0,-7.254822731,2.040510893,-0.6194021106,3.764409065,-0.1424234211,0.5691333413,0.2005415708,0.0147991227,-0.16454165843955645
H,8,50,1.0,0.9899999499,-7.783184528,2.040510893,-3.979376793,0.0,-3979376853000.0,0.9900000095,3881517187000.0,,
H,9,1,0.8899999857,0.0,-6.465370655,2.058223486,-0.844953537,6.477325439,-0.1153479815,0.5375750065,0.09405517578,0.03884155676,-0.13044790553714217
H,9,50,0.9899999499,1.0,-7.663583279,2.058223486,-2.992563963,0.4154985547,-6.982609749,1.0,7.354561329,0.002395062009,-7.20234506028716
C,0,1,0.0,0.02999999933,-0.02046525292,5.552591324,0.9236343503,4.787068367,0.1944423914,0.4341500103,0.01600593328,0.6643803716,0.19294363052492414
C,0,50,0.0,1.0,-0.5277606845,29.7895813,-165.2392426,70.41555023,-2.315026999,1.0,0.00238574273,0.6825192571,-2.3466299994855557
C,1,1,0.0,0.009999999776,-0.01237906143,5.336522102,-0.1776259691,4.581285954,-0.03916822001,0.4868416786,0.01341114379,0.6673420668,-0.03877207641773849
C,1,50,0.0,1.0,-0.1985695511,29.19496918,-148.5569763,75.0679245,-2.021722555,1.0,0.001786860754,0.6814160943,-1.9789674123733099
C,2,1,0.0,0.009999999776,-0.01318194065,5.647875309,0.4782944322,5.131154537,0.08647231758,0.443808347,0.01497749239,0.6661090255,0.09321380378452633
C,2,50,0.0,1.0,-0.1926117539,27.97939301,-149.1766663,71.86268616,-2.106333017,1.0,0.002160269767,0.6854141355,-2.0758570862194445
C,3,1,0.0,0.01999999955,-0.01192749012,5.301720619,-0.03140699491,4.817921638,-0.006572607439,0.4580916762,0.01521480363,0.6660815477,-0.006518784918020703
C,3,50,0.0,1.0,-0.2569871247,29.99434471,-158.079483,69.34815979,-2.254250526,1.0,0.002376615768,0.6869462132,-2.279505086778021
C,4,1,0.0,0.0,0.01044396404,5.722760677,-1.215614438,5.70846796,-0.2074154913,0.5398250222,0.01298318803,0.6663066745,-0.21294933185540732
C,4,50,0.0,1.0,0.03994941711,30.96587563,-177.0839233,88.76781464,-1.911484718,1.0,0.001830052817,0.6878924966,-1.9949113765858506
C,5,1,0.0,0.0,0.003229277907,5.596745014,-0.1672748923,5.138051987,-0.03162804991,0.5179833174,0.0122182928,0.6684267521,-0.03255609182686925
C,5,50,0.0,1.0,-0.1471930444,29.14239502,-159.5267792,76.89393616,-2.003894806,1.0,0.001713946578,0.6740929484,-2.074634063056137
C,6,1,0.0,0.02999999933,-0.006329088472,5.46860075,0.5118480325,4.591343403,0.1017799303,0.4599416852,0.01540940721,0.6665474772,0.1114811042374998
C,6,50,0.0,1.0,-0.3656517565,29.5163517,-172.0421143,78.59395599,-2.195096016,1.0,0.002004984068,0.6895657778,-2.1889992955932898
C,7,1,0.0,0.04999999702,-0.0227511283,5.370965958,-0.08023764193,5.008856297,-0.01767744869,0.4566666782,0.0131821977,0.6593993902,-0.016019154308351283
C,7,50,0.0,1.0,-0.3607072532,31.63964844,-179.7900696,98.4418335,-1.867489696,1.0,0.001884043566,0.6780671477,-1.8263584007707456
C,8,1,0.0,0.0,-0.01179583278,5.861349106,-0.5419302583,5.033842564,-0.1200421751,0.5286583304,0.01547520515,0.6652411819,-0.10765737136390902
C,8,50,0.0,1.0,-0.04163940623,31.17566299,-170.5366821,84.33087921,-2.023192167,1.0,0.001994326711,0.6809392571,-2.0222329435856
C,9,1,0.0,0.03999999911,0.005587005522,5.630822182,-0.5567905903,5.346063137,-0.1077253968,0.469658345,0.01377899759,0.6637505293,-0.10414964732579814
C,9,50,0.0,1.0,-0.2270591259,29.99018288,-172.9517517,89.5947113,-1.728714228,1.0,0.001877868897,0.6784477234,-1.9303790278522834
CH,0,1,0.0,0.0,-0.1076046377,6.813215733,-1.679723859,8.626734734,-0.2080865949,0.5433750153,0.02144142427,0.1799104065,-0.19471143031439364
CH,0,50,0.0,0.0,-2.796312571,20.30359268,-7.223642826,34.25225449,-0.2116602212,0.5715333223,0.200204432,0.003242466599,-0.21089539750176017
CH,1,1,0.0,0.0,-0.07491645962,6.628442287,0.140864104,7.664698124,0.01792664826,0.4595833421,0.01910816133,0.003937087487,0.01837829771258973
CH,1,50,0.0,0.0,-3.346978426,19.37997627,-6.685172081,34.74016953,-0.1961932629,0.5624499917,0.1805052906,0.00314762909,-0.19243349043610725
CH,2,1,0.0,0.0,-0.07007400692,6.393131733,0.1147106588,7.627351284,0.01474398095,0.4658666849,0.01928412355,0.003505965462,0.015039383205101635
CH,2,50,0.0,0.0,-2.604519606,20.14388466,-6.317537785,45.06581116,-0.1436449736,0.5417249799,0.139508903,0.003874269314,-0.14018471258778512
CH,3,1,0.0,0.0,-0.07506202906,6.613284111,0.13453646,8.469479561,0.01278500166,0.4688583314,0.01856641099,0.003448005766,0.01588485561964272
CH,3,50,0.0,0.0,-2.848393917,19.00105095,-6.964152813,36.59223175,-0.1852435172,0.5641250014,0.1817885339,0.003644514596,-0.19031779369401264
CH,4,1,0.0,0.0,-0.03750497848,6.768395901,0.07572742552,7.601846218,0.009659263305,0.4688333273,0.01334892958,0.004044848494,0.009961715002954036
CH,4,50,0.0,0.0,-3.158939123,17.96180916,-7.08828783,30.64176941,-0.2326095998,0.587108314,0.2249903977,0.002710098168,-0.2313276278257849
CH,5,1,0.0,0.0,-0.1021509469,6.030265808,0.1283167303,7.52976799,0.01670864783,0.461558342,0.02111827396,0.00337351975,0.01704125950101153
CH,5,50,0.0,0.0,-2.293736696,18.84712219,-6.581812382,38.55972672,-0.1649866849,0.55294168,0.1604787111,0.004140427802,-0.17069136484793013
CH,6,1,0.0,0.0,-0.1841970086,5.986568928,-1.232414365,8.509472847,-0.1337770969,0.5113000274,0.02344922908,0.1283496171,-0.14482852077429045
CH,6,50,0.0,0.0,-3.156053066,20.06427574,-6.656067848,40.80240631,-0.1663001478,0.5563666821,0.1557861269,0.002522020834,-0.16312929677308532
CH,7,1,0.0,0.0,-0.04615829885,6.598353386,0.116719313,8.298219681,0.01424641442,0.4592333436,0.01657864824,0.002977444092,0.014065584846740814
CH,7,50,0.0,0.0,-2.556671619,18.15973091,-6.501316547,35.49404526,-0.1739954799,0.5681250095,0.1798194796,0.003893410554,-0.18316640155769048
CH,8,1,0.0,0.0,-0.08126033843,6.562198162,0.1522898376,8.563134193,0.0166681353,0.4631000161,0.01822455041,0.002782947617,0.017784357242058697
CH,8,50,0.0,0.0,-2.943166256,18.27042007,-6.930513859,30.76160812,-0.2235499322,0.5839000344,0.2197433561,0.003441925859,-0.22529751474514265
CH,9,1,0.0,0.0,-0.05633936822,6.440674305,0.1118167043,8.181155205,0.01396366488,0.4613250196,0.01741704345,0.00342113222,0.013667593573052132
CH,9,50,0.0,0.0,-2.699504375,18.22292328,-7.619570732,34.26264191,-0.2339654714,0.5952833295,0.21370399,0.003897724906,-0.22238713383558809
