arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,steps,stop_step,tc,hit99,hit999,acc_at_hit_plus_500,min_correct_after_hit
LR,std,3,0,0.001,38,none,0.785,1,1,0,0,-10.69235897,41.61190414,-26.10387611,0.4525001049,80.20662512,0,0,-55.41263962,43.21138763,-77.81249237,0.1644999534,84.40710311,13.04576778,2.009163618,0.7135272622,2800,2800,94200,1800,2300,1200,1199
LR,std,3,0,0.001,39,none,0.7716927083,1,1,0,0,-10.36240959,41.70252609,-26.10368156,0.4502501488,80.10911803,0,0,-54.84885406,43.16771317,-83.51052094,0.1652499735,84.24234486,13.18315411,1.990485072,0.7102960944,2400,2400,96600,1700,1900,1200,1197
LR,std,3,0,0.001,40,none,0.7854326923,1,1,0,0,-10.73770523,43.30776978,-24.19465446,0.4532500803,80.20345006,0,0,-54.67533875,43.21828079,-85.93958282,0.1704999655,84.87857232,13.30325127,1.991231799,0.7151827216,2600,2600,99200,1700,2100,1200,1199
LR,std,3,0,0.001,41,none,0.7981919643,1,1,0,0,-11.42515564,42.1211586,-22.60395622,0.4555000961,80.19616237,0,0,-54.20388412,43.93860245,-86.60230255,0.1697499603,84.59888278,13.41751575,2.007249355,0.7221733928,2800,2800,102000,1800,2300,1200,1199
LR,std,3,0,0.001,42,none,0.784825,1,1,0,0,-12.14178276,43.38298416,-22.46999741,0.454750061,80.33422679,0,0,-56.97188187,44.44752502,-88.55596161,0.1629999727,84.13990973,13.60066986,2.017719269,0.7257697582,2500,2500,104500,1700,2000,1200,1200
LR,std,3,0,0.001,43,none,0.7692391304,1,1,0,0,-11.83567047,43.19452286,-23.05545616,0.4510001242,80.40037617,0,0,-55.57226562,44.53998947,-85.94648743,0.163749963,84.22915742,13.70260429,2.022420883,0.7020453811,2300,2300,106800,1700,1800,1200,1200
LR,std,3,0,0.001,44,none,0.7903605769,1,1,0,0,-12.34302139,43.92964554,-23.37754631,0.4457500875,79.9997432,0,0,-57.79256821,45.65068436,-83.2481308,0.1569999605,82.73704184,13.83386993,2.03045845,0.7250732183,2600,2600,109400,1800,2100,1200,1199
LR,std,3,0,0.001,45,none,0.7867633929,1,1,0,0,-12.27367401,43.2912674,-26.07624435,0.4427501559,79.87393572,0,0,-60.26267242,46.61059189,-86.42839813,0.1592499614,83.29424578,13.9545517,2.045319796,0.7171049714,2800,2800,112200,1900,2300,1200,1200
LR,std,3,0,0.001,46,none,0.77425,1,1,0,0,-11.83393764,43.33453369,-28.40926552,0.4502501488,80.25564849,0,0,-60.01231384,46.79759598,-81.49542236,0.1592499465,83.42588459,14.0655632,2.040577888,0.7210127115,2500,2500,114700,1800,2000,1200,1198
LR,std,3,0,0.001,47,none,0.7793981481,1,1,0,0,-13.0865469,43.78769302,-27.52458763,0.4345000684,80.3431375,0,0,-59.02845383,44.90620804,-81.04137421,0.1607499421,84.8904292,14.17414188,2.046743393,0.7232619524,2700,2700,117400,1900,2200,1200,1200
LR,std,3,0,0.001,48,none,0.7887980769,1,1,0,0,-14.10773754,43.91429901,-25.74518204,0.4322500825,81.10798023,0,0,-56.82683563,45.07261276,-78.45122528,0.1682499647,85.0263931,14.2876215,2.050799847,0.7245236635,2600,2600,120000,1800,2100,1200,1200
LR,std,3,0,0.001,49,none,0.7759,1,1,0,0,-14.10288429,43.73940277,-26.6673851,0.4330000877,80.50014206,0,0,-59.24851608,45.77725983,-87.66827393,0.1674999595,83.89773592,14.40973854,2.063422203,0.7192738056,2500,2500,122500,1800,2000,1200,1200
LR,std,3,0,0.001,50,none,0.7905787037,1,1,0,0,-12.24691963,44.22581863,-28.93050575,0.4435001314,80.42000064,0,0,-58.58880234,48.45379639,-88.67124176,0.1659999639,84.52559007,14.51672935,2.077970505,0.7208064795,2700,2700,125200,1900,2200,1200,1199
