act,reg,lam,lr,seed,task,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,reg_loss,pen_l2_total,pen_l2init_total,pen_shell_total
R,shell,0.001,0.001,9,17,0.9291291667,1,1,0.3300000131,0.3300000131,-0.3722611368,0.858443141,-2.559290409,0.2358333319,50.97738797,0.1899999976,0.1899999976,0.3761501312,0.3500004411,-0.0154487323,0.875,16.94978818,1.3936131,0.9589487314,2.583111286,0.1271521643,0.3704073238,0.4412314503,0.1271521643
R,shell,0.001,0.001,9,18,0.9465854167,1,1,0.349999994,0.349999994,-0.4963691831,0.8913745284,-1.971338868,0.2166666687,52.04221979,0.1199999973,0.1199999973,0.334179312,0.3714985847,-0.07329868525,0.8408333063,18.74065505,1.460628629,0.9525519013,2.627683163,0.134597433,0.3836248348,0.4558394426,0.134597433
R,shell,0.001,0.001,9,19,0.94184375,1,1,0.3000000119,0.3000000119,-0.2698166668,0.8022968173,-1.399123073,0.2275000066,53.70965488,0.05999999866,0.05999999866,0.3976709545,0.3265543878,-0.004144081846,0.9175000191,15.49715014,1.216890693,0.8892335296,2.606193781,0.1093968028,0.3377564909,0.4080536311,0.1093968028
R,shell,0.001,0.001,9,20,0.9372979167,1,1,0.3100000024,0.3100000024,-0.2764253616,0.7663826942,-1.277938008,0.200000003,41.50780465,0.1199999973,0.1199999973,0.4979424477,0.3443166614,-0.01079444867,0.9383333325,14.12114331,1.183017254,0.9906779528,2.635931492,0.1187394791,0.3538859059,0.4246211465,0.1187394791
R,shell,0.001,0.001,9,21,0.9410208333,1,1,0.3700000048,0.3700000048,-0.1658724397,0.1665109396,-2.675930262,0.1774999946,34.42388589,0.1199999973,0.1199999973,0.5955672264,0.3817855716,-0.03317506239,0.9549999833,13.81966204,0.1321993321,0.9958025813,2.620786905,0.1155584913,0.348749723,0.4191481362,0.1155584913
R,shell,0.001,0.001,9,22,0.9394979167,1,1,0.3600000143,0.3600000143,-0.1986629665,0.8179513216,-1.08957696,0.1991666704,37.75382189,0.1199999973,0.1199999973,0.556419909,0.3596971631,-0.002727219602,0.9491666555,13.87770782,1.030841112,0.9896686673,2.580826998,0.1202208325,0.3579685861,0.4314451722,0.1202208325
R,shell,0.001,0.001,9,23,0.9246520833,1,1,0.3600000143,0.3600000143,-0.3021939397,0.9129979014,-3.077746153,0.2408333272,47.43370233,0.200000003,0.200000003,0.5746131539,0.4493006766,-0.08622890711,0.8999999762,18.26219701,1.508390427,1.05949235,2.578591347,0.1367716552,0.3879031384,0.4610858634,0.1367716552
R,shell,0.001,0.001,9,24,0.945925,1,1,0.349999994,0.349999994,-0.2994371951,0.9126695991,-2.515866995,0.2458333373,46.3896596,0.1199999973,0.1199999973,0.5158603191,0.4238790274,-0.03718087822,0.9100000262,19.04469203,1.450064898,1.044152379,2.625497341,0.1301905466,0.3759222341,0.4488331302,0.1301905466
R,shell,0.001,0.001,9,25,0.9408333333,1,1,0.3000000119,0.3000000119,-0.2875695527,0.829839468,-0.8741062284,0.2725000083,46.87088601,0.1099999994,0.1099999994,0.5597198606,0.4106154442,-0.01022850536,0.9433333278,16.37330162,1.284299016,1.057112813,2.516479254,0.1116398711,0.3429785663,0.4154586486,0.1116398711
R,shell,0.001,0.001,9,26,0.9371375,1,1,0.200000003,0.200000003,-0.2175761461,0.8306651115,-0.9755271673,0.2933333218,53.59713027,0.05000000075,0.05000000075,0.3884405792,0.3719739318,-0.003544838401,0.8983333111,18.86345444,1.341341138,1.058812737,2.582510233,0.1074069325,0.3341485197,0.4046168551,0.1074069325
