key,arm,window,seed,n,rho_zbar,rho_zmax
E_a0p1_1216@5M,E_a0p1_1216,5M,7,373720,0.2551719529008698,0.20185433517928736
E_a0p1_1216@5M,E_a0p1_1216,5M,8,372401,0.2518830464466287,0.18440767232268498
E_a0p1_1216@5M,E_a0p1_1216,5M,9,374303,0.24185897743675527,0.14693762772927924
E_a0p01_1216@5M,E_a0p01_1216,5M,0,405965,0.2807202126738241,0.15899951811593746
E_a0p01_1216@5M,E_a0p01_1216,5M,1,406455,0.11891117944454523,0.0818318020598218
E_a0p01_1216@5M,E_a0p01_1216,5M,2,402855,0.34726758087731724,0.1287202052256143
E_a0p01_1216@5M,E_a0p01_1216,5M,3,409704,0.2694622582317333,0.04545622467347212
E_a0p01_1216@5M,E_a0p01_1216,5M,4,407720,0.3286548982734633,0.12451157803437564
E_a0p01_1216@5M,E_a0p01_1216,5M,5,403650,0.31316718398482046,0.11555362874038777
E_a0p01_1216@5M,E_a0p01_1216,5M,6,407362,0.2560313222776415,0.0224955104098298
E_a0p01_1216@5M,E_a0p01_1216,5M,7,405211,0.3311803710856721,0.10102373653089039
E_a0p01_1216@5M,E_a0p01_1216,5M,8,405575,0.24611090695152,0.1290798570788779
E_a0p01_1216@5M,E_a0p01_1216,5M,9,407613,0.2796919959879101,0.0905068487763838
E_a0p001_1216@5M,E_a0p001_1216,5M,0,425416,0.33465557681144475,0.14224064597157157
E_a0p001_1216@5M,E_a0p001_1216,5M,1,423382,0.30938016663117246,0.08735139915761549
E_a0p001_1216@5M,E_a0p001_1216,5M,2,421205,0.42452296168464204,0.18099383284805376
E_a0p001_1216@5M,E_a0p001_1216,5M,3,425544,0.4197397778801837,0.08803217523433661
E_a0p001_1216@5M,E_a0p001_1216,5M,4,423266,0.36557238730466357,0.10878571718175958
E_a0p001_1216@5M,E_a0p001_1216,5M,5,418786,0.41188481184323195,0.12182409929791824
E_a0p001_1216@5M,E_a0p001_1216,5M,6,420998,0.32338507448008125,0.1090351222836314
E_a0p001_1216@5M,E_a0p001_1216,5M,7,427092,0.4954027716481567,0.19250217898066604
E_a0p001_1216@5M,E_a0p001_1216,5M,8,421991,0.3192939262251226,0.1530212482879731
E_a0p001_1216@5M,E_a0p001_1216,5M,9,426392,0.3781716085450083,0.05979580131926787
LR_1216@15M,LR_1216,15M,0,849938,0.2969844856994826,0.0338811359227164
LR_1216@15M,LR_1216,15M,1,844773,0.25726623565078116,0.039733278619049704
LR_1216@15M,LR_1216,15M,2,863615,0.21795787401111677,0.011688600806120572
LR_1216@15M,LR_1216,15M,3,848727,0.29873901711359113,0.04549605670339308
LR_1216@15M,LR_1216,15M,4,823910,0.29608898387870236,0.057591010679431724
LR_1216@15M,LR_1216,15M,5,865939,0.23448734924193543,0.021511183255576178
LR_1216@15M,LR_1216,15M,6,869297,0.24039685508338107,0.017240216780354794
LR_1216@15M,LR_1216,15M,7,847424,0.2835484679899804,0.05064458556257368
LR_1216@15M,LR_1216,15M,8,862331,0.24821702698636103,0.037594410683978785
LR_1216@15M,LR_1216,15M,9,852226,0.27100518814599583,0.041091521067121196
LR_1216@5M,LR_1216,5M,0,289805,0.35495178237057845,0.029527069650925962
LR_1216@5M,LR_1216,5M,1,292154,0.30852473280120946,0.04602533246925368
