coord,binset,bin,lo,hi,n,depth_med,depth_mid,inc_med,inc_mean,inc_p_up,inc_frac_zero,ulp_med,med_over_ulp,lnmob_med,resid_med,inc_med_seed_n,inc_med_seed_med,inc_med_seed_min,inc_med_seed_max,inc_med_seed_mean,inc_med_seed_sd,inc_med_seed_se,inc_med_hi2se,inc_med_lo2se,inc_iqr,inc_frac_gt_1e3,key,arm,window,family,dial,pos
zmax,abs,0-1,0.0,1.0,173274,0.4781945049762726,0.5,2.3365020751953125e-05,0.0022570083391762327,0.5465447787896626,0.004969008622182208,4.76837158203125e-07,49.0,-3.5434860344599732,-3.1090854008020736,10,2.2411346435546875e-05,9.5367431640625e-06,5.53131103515625e-05,2.728700637817383e-05,1.4361347169356011e-05,4.54145673235769e-06,3.636991984288921e-05,1.820409291345845e-05,0.001987934112548828,0.4890635640661611,E_1216@15M,E_1216,15M,elu,1.0,9
zmax,abs,1-3,1.0,3.0,248806,1.8482595086097717,2.0,-9.5367431640625e-07,0.000604216806553365,0.4914953819441653,0.007628433397908411,9.5367431640625e-07,1.0,-4.872399007069183,-3.0778337301370766,10,-2.384185791015625e-07,-3.0994415283203125e-06,0.0,-9.775161743164062e-07,1.2934803033430579e-06,4.0903438671295703e-07,-1.594474008904921e-07,-1.7955849477423201e-06,0.0015878677368164062,0.4617694107055296,E_1216@15M,E_1216,15M,elu,1.0,9
zmax,abs,3-6,3.0,6.0,106309,3.819429874420166,4.5,0.0,-0.0004639809584803534,0.4777394199926629,0.022754423426050475,9.5367431640625e-07,0.0,-6.8209198608376775,-3.0296199881153036,10,-2.384185791015625e-07,-1.9073486328125e-06,0.0,-5.245208740234375e-07,6.534196469336975e-07,2.0662943522135415e-07,-1.1126200358072925e-07,-9.377797444661459e-07,0.00051116943359375,0.2860152950361681,E_1216@15M,E_1216,15M,elu,1.0,9
zmax,abs,6-10,6.0,10.0,9767,6.780316352844238,8.0,0.0,1.2607599849941128e-06,0.42715265690590765,0.1651479471690386,9.5367431640625e-07,0.0,-9.808041578314764,-3.0242195858783703,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.673004150390625e-05,0.04218286065322003,E_1216@15M,E_1216,15M,elu,1.0,9
zmax,abs,>10,10.0,inf,473,10.96778678894043,10.96778678894043,0.0,-1.1532805686773255e-06,0.15010570824524314,0.6871035940803383,1.9073486328125e-06,0.0,-14.079041796136362,-3.023804403548356,1,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,E_1216@15M,E_1216,15M,elu,1.0,9
zbar,abs,0-1,0.0,1.0,6261,0.02995980903506279,0.5,0.006592519581317902,0.024256549067386307,0.9992014055262738,0.0,1.862645149230957e-09,3539332.0,-0.029865028647532606,-0.018356586218900045,10,0.010498142335563898,0.0013977382332086563,0.03239350765943527,0.013133877934888006,0.009923619819106345,0.0031381241261964165,0.01941012618728084,0.006857629682495173,0.03720825584605336,0.6679444178246287,E_1216@15M,E_1216,15M,elu,1.0,1
zbar,abs,1-3,1.0,3.0,2259,2.493743658065796,2.0,0.048596858978271484,0.07242118673759416,0.66489597166888,0.0,2.384185791015625e-07,203830.0,-1.9374990179908858,-1.5402802257129886,10,0.045255422592163086,0.035152435302734375,0.0712287425994873,0.05175769329071045,0.012850557189924621,0.004063702992241477,0.05988509927519341,0.04363028730622749,0.19605189561843872,0.9933598937583001,E_1216@15M,E_1216,15M,elu,1.0,1
zbar,abs,3-6,3.0,6.0,53989,5.303663730621338,4.5,0.01240682601928711,0.03648538577245057,0.5708014595565764,0.0,4.76837158203125e-07,26019.0,-3.2433836419512847,-2.6000817828710256,10,0.012705087661743164,0.009917974472045898,0.01838374137878418,0.013134574890136719,0.002975293095828731,0.0009408702889392414,0.015016315468015202,0.011252834312258236,0.15732955932617188,0.990090574005816,E_1216@15M,E_1216,15M,elu,1.0,1
zbar,abs,6-10,6.0,10.0,392983,8.159353256225586,8.0,0.00408172607421875,0.022277086978574674,0.5579172635966442,7.63391800663133e-06,9.5367431640625e-07,4280.0,-4.400736185889396,-3.0727825624224856,10,0.004259586334228516,0.0029735565185546875,0.0052852630615234375,0.004172396659851074,0.0008297561972636143,0.00026239194859929943,0.0046971805570496725,0.003647612762652475,0.08023548126220703,0.9730217337645649,E_1216@15M,E_1216,15M,elu,1.0,1
zbar,abs,>10,10.0,inf,121995,10.971762657165527,10.971762657165527,0.0004949569702148438,0.00652939761934273,0.5554489938112218,0.0012623468174925202,9.5367431640625e-07,519.0,-6.582984742906576,-3.216349648307335,10,0.00046062469482421875,0.0002903938293457031,0.0009136199951171875,0.0005198001861572265,0.0002146317505621773,6.787251899656052e-05,0.0006555452241503476,0.00038405514816410545,0.016727447509765625,0.8375589163490307,E_1216@15M,E_1216,15M,elu,1.0,1
zbar,abs,0-1,0.0,1.0,3653,0.013826827518641949,0.5,0.0007186327129602432,0.010915146240526629,0.9961675335340816,0.0,9.313225746154785e-10,771626.0,-0.013776710786942994,-0.00816484987003546,9,0.0009412753861397505,0.0002493829233571887,0.013495311141014099,0.0027239198874061308,0.004191437101355294,0.0013971457004517648,0.00551821128830966,-7.037151349739874e-05,0.014405153691768646,0.47659457979742675,E_1216@15M,E_1216,15M,elu,1.0,2
zbar,abs,1-3,1.0,3.0,1959,2.5169973373413086,2.0,0.026160478591918945,0.04835877776328491,0.6488004083716181,0.0,2.384185791015625e-07,109725.0,-1.9536048196650522,-1.545740494595369,10,0.02814042568206787,0.018210411071777344,0.0475921630859375,0.028462284803390504,0.009936207563560876,0.0031421047205044635,0.034746494244399434,0.022178075362381578,0.12264007329940796,0.9862174578866769,E_1216@15M,E_1216,15M,elu,1.0,2
zbar,abs,3-6,3.0,6.0,51057,5.307148456573486,4.5,0.005583286285400391,0.026343860130676907,0.568932761423507,1.9585952954541002e-05,4.76837158203125e-07,11709.0,-3.255148825205305,-2.5961973616707326,10,0.005614638328552246,0.003746509552001953,0.008186817169189453,0.005814456939697265,0.0014236123478679902,0.00045018575244028003,0.006714828444577825,0.0049140854348167055,0.0821528434753418,0.9750083240300057,E_1216@15M,E_1216,15M,elu,1.0,2
zbar,abs,6-10,6.0,10.0,381683,8.178278923034668,8.0,0.0015101432800292969,0.013239223570783979,0.5487957283924094,2.6199752150344657e-05,9.5367431640625e-07,1583.5,-4.444519393162796,-3.069933137608905,10,0.0014946460723876953,0.000957489013671875,0.0020923614501953125,0.0015464067459106446,0.0003695515227473695,0.00011686245246652132,0.0017801316508436872,0.001312681840977602,0.039888620376586914,0.9393030341932965,E_1216@15M,E_1216,15M,elu,1.0,2
zbar,abs,>10,10.0,inf,121593,10.973899841308594,10.973899841308594,0.0001430511474609375,0.0020009463477309018,0.5373911327132318,0.0018010905233031506,9.5367431640625e-07,150.0,-6.586365006449908,-3.215089293693162,10,0.0001220703125,7.724761962890625e-05,0.0003352165222167969,0.000157928466796875,8.721234448438736e-05,2.7578964865388713e-05,0.00021308639652765243,0.00010277053706609756,0.008891105651855469,0.7560714843782126,E_1216@15M,E_1216,15M,elu,1.0,2
zbar,abs,0-1,0.0,1.0,2940,0.008560711983591318,0.5,0.000166861223988235,0.005710379241388188,0.9829931972789115,0.0,9.313225746154785e-10,179165.875,-0.00855957591816238,-0.005160591080099515,9,0.00019016582518815994,7.886998355388641e-05,0.006153196096420288,0.0010308454899738233,0.0019703420229997457,0.0006567806743332486,0.0023444068386403207,-0.00028271585869267383,0.005120508023537695,0.36156462585034016,E_1216@15M,E_1216,15M,elu,1.0,3
zbar,abs,1-3,1.0,3.0,1839,2.535964250564575,2.0,0.013293266296386719,0.036747744253240504,0.6340402392604676,0.0,2.384185791015625e-07,55756.0,-1.967062187244801,-1.5607572796753764,10,0.014589458703994751,0.005403041839599609,0.02355051040649414,0.014031141996383667,0.004941295394067154,0.0015625748036951468,0.017156291603773962,0.010905992388993374,0.07906955480575562,0.9804241435562806,E_1216@15M,E_1216,15M,elu,1.0,3
zbar,abs,3-6,3.0,6.0,49769,5.313685417175293,4.5,0.002506256103515625,0.017867387024939375,0.5615342884124656,4.018565773875304e-05,4.76837158203125e-07,5256.0,-3.2568676495925506,-2.5981058830144805,10,0.002264678478240967,0.0016856193542480469,0.00457453727722168,0.0026152968406677247,0.0008397810181581469,0.0002655620753154964,0.0031464209912987176,0.0020841726900367318,0.04839897155761719,0.9494464425646487,E_1216@15M,E_1216,15M,elu,1.0,3
