arm,seed,threshold,primary,tau,censored,never_below,first_below_task
im_nowd,1,-1.0,True,97,False,False,1
im_nowd,1,-0.5,False,105,False,False,1
im_nowd,1,-1.5,False,89,False,False,1
im_nowd,2,-1.0,True,93,False,False,1
im_nowd,2,-0.5,False,99,False,False,1
im_nowd,2,-1.5,False,90,False,False,1
im_nowd,3,-1.0,True,108,False,False,1
im_nowd,3,-0.5,False,113,False,False,1
im_nowd,3,-1.5,False,94,False,False,1
im_nowd,4,-1.0,True,106,False,False,1
im_nowd,4,-0.5,False,120,False,False,1
im_nowd,4,-1.5,False,101,False,False,1
im_nowd,5,-1.0,True,86,False,False,1
im_nowd,5,-0.5,False,113,False,False,1
im_nowd,5,-1.5,False,82,False,False,1
im_nowd,6,-1.0,True,118,False,False,1
im_nowd,6,-0.5,False,141,False,False,1
im_nowd,6,-1.5,False,112,False,False,1
im_nowd,7,-1.0,True,100,False,False,1
im_nowd,7,-0.5,False,107,False,False,1
im_nowd,7,-1.5,False,98,False,False,1
im_nowd,8,-1.0,True,106,False,False,1
im_nowd,8,-0.5,False,113,False,False,1
im_nowd,8,-1.5,False,88,False,False,1
im_nowd,9,-1.0,True,97,False,False,1
im_nowd,9,-0.5,False,103,False,False,1
im_nowd,9,-1.5,False,96,False,False,1
std_anchor,0,-1.0,True,73,False,False,1
std_anchor,0,-0.5,False,83,False,False,1
std_anchor,0,-1.5,False,40,False,False,1
std_anchor,1,-1.0,True,37,False,False,1
std_anchor,1,-0.5,False,57,False,False,1
std_anchor,1,-1.5,False,35,False,False,1
std_anchor,2,-1.0,True,41,False,False,1
std_anchor,2,-0.5,False,49,False,False,1
std_anchor,2,-1.5,False,32,False,False,1
std_anchor,3,-1.0,True,28,False,False,1
std_anchor,3,-0.5,False,125,False,False,1
std_anchor,3,-1.5,False,27,False,False,1
std_anchor,4,-1.0,True,68,False,False,1
std_anchor,4,-0.5,False,113,False,False,1
std_anchor,4,-1.5,False,28,False,False,1
std_anchor,5,-1.0,True,80,False,False,1
std_anchor,5,-0.5,False,86,False,False,1
std_anchor,5,-1.5,False,49,False,False,1
std_anchor,6,-1.0,True,71,False,False,1
std_anchor,6,-0.5,False,87,False,False,1
std_anchor,6,-1.5,False,58,False,False,1
std_anchor,7,-1.0,True,62,False,False,1
std_anchor,7,-0.5,False,87,False,False,1
std_anchor,7,-1.5,False,56,False,False,1
std_anchor,8,-1.0,True,57,False,False,1
std_anchor,8,-0.5,False,62,False,False,1
std_anchor,8,-1.5,False,30,False,False,1
std_anchor,9,-1.0,True,66,False,False,1
std_anchor,9,-0.5,False,84,False,False,1
std_anchor,9,-1.5,False,64,False,False,1
