arm,seed,step,L1_strict_dead_frac,L1_submerged_frac,L1_M_median_alive,L1_B_median_alive,L1_sigma_median_alive,mu_norm_visible,bypass_value,task_boundary,side
iM,0,160000,0.75,0.75,-0.7413750364788743,-0.090088844725622,0.6926313393893934,2.692582403567252,0.0,16,post
iM,0,160000,0.75,0.75,-0.7413750364788744,-0.090088844725622,0.6926313393893934,2.692582403567252,0.0,16,pre
iM,0,170000,0.76,0.76,-0.8906841470310471,-0.0669236859454132,0.7135141760763374,2.692582403567252,0.0,17,post
iM,0,170000,0.76,0.76,-0.8906841470310473,-0.0669236859454132,0.7135141760763374,2.692582403567252,0.0,17,pre
iM,0,180000,0.76,0.76,-0.495549862598657,-0.039797859325852,0.7405806942563792,2.692582403567252,0.0,18,post
iM,0,180000,0.76,0.76,-0.4955498625986569,-0.039797859325852,0.7405806942563792,2.692582403567252,0.0,18,pre
iM,0,190000,0.8,0.8,-0.8159106482157163,-0.0230416730523899,0.8985588636986951,2.692582403567252,0.0,19,post
iM,0,190000,0.8,0.8,-0.8159106482157165,-0.0230416730523899,0.8985588636986951,2.692582403567252,0.0,19,pre
iM,0,200000,0.81,0.81,-0.6715473559082477,-0.0436999302384581,1.0518468635096418,2.692582403567252,0.0,20,post
iM,0,200000,0.81,0.81,-0.6715473559082478,-0.0436999302384581,1.0518468635096418,2.692582403567252,0.0,20,pre
iM,0,210000,0.83,0.83,-1.047176650143927,-0.0232817486535619,1.237366644561771,2.692582403567252,0.0,21,post
iM,0,210000,0.83,0.83,-1.0471766501439272,-0.0232817486535619,1.237366644561771,2.692582403567252,0.0,21,pre
iM,0,220000,0.88,0.88,-0.9151187562328844,-0.1007822956298643,1.2272390983054298,2.692582403567252,0.0,22,post
iM,0,220000,0.88,0.88,-0.9151187562328844,-0.1007822956298643,1.2272390983054298,2.692582403567252,0.0,22,pre
iM,0,230000,0.94,0.94,-1.2037207148977138,-0.1489934045212202,1.8060282817403437,2.692582403567252,0.0,23,post
iM,0,230000,0.94,0.94,-1.2037207148977138,-0.1489934045212202,1.8060282817403437,2.692582403567252,0.0,23,pre
iM,0,240000,0.97,0.97,-1.2817047945886304,-0.1693532024749823,1.6380344661764032,2.692582403567252,0.0,24,post
iM,0,240000,0.97,0.97,-1.2817047945886306,-0.1693532024749823,1.6380344661764032,2.692582403567252,0.0,24,pre
iM,0,250000,0.98,0.98,-0.4469271587528989,0.09824365978836,1.050535341697131,2.692582403567252,0.0,25,post
iM,0,250000,0.98,0.98,-0.4469271587528989,0.09824365978836,1.050535341697131,2.692582403567252,0.0,25,pre
iM,0,260000,0.97,0.97,0.3064673151883529,0.0836674637435135,1.5634066216933382,2.692582403567252,0.0,26,post
iM,0,260000,0.97,0.97,0.306467315188353,0.0836674637435135,1.5634066216933382,2.692582403567252,0.0,26,pre
iM,0,270000,0.96,0.96,-0.3297277766634746,-0.0942291330386831,1.579363415485426,2.692582403567252,0.0,27,post
iM,0,270000,0.96,0.96,-0.3297277766634747,-0.0942291330386831,1.579363415485426,2.692582403567252,0.0,27,pre
iM,0,280000,0.95,0.95,-0.6162204144033931,0.0632584123133172,1.5931877366019422,2.692582403567252,0.0,28,post
iM,0,280000,0.95,0.95,-0.616220414403393,0.0632584123133172,1.5931877366019422,2.692582403567252,0.0,28,pre
iM,0,290000,0.95,0.95,-0.5274077932647041,-0.167587533101601,1.84744150720385,2.692582403567252,0.0,29,post
iM,0,290000,0.95,0.95,-0.5274077932647041,-0.167587533101601,1.84744150720385,2.692582403567252,0.0,29,pre
iM,0,300000,0.95,0.95,-0.7487591541608911,-0.0788354733043886,1.9756132047552004,2.692582403567252,0.0,30,post
iM,0,300000,0.95,0.95,-0.7487591541608911,-0.0788354733043886,1.9756132047552004,2.692582403567252,0.0,30,pre
iM,0,310000,0.96,0.96,-0.3410377945442616,-0.0188280994948811,1.9225342975164492,2.692582403567252,0.0,31,post
iM,0,310000,0.96,0.96,-0.3410377945442616,-0.0188280994948811,1.9225342975164492,2.692582403567252,0.0,31,pre
iM,0,320000,0.96,0.96,-0.960575726000903,-0.0915136449344472,1.958941075694236,2.692582403567252,0.0,32,post
iM,0,320000,0.96,0.96,-0.960575726000903,-0.0915136449344472,1.958941075694236,2.692582403567252,0.0,32,pre
iM,0,330000,0.94,0.94,-1.6322367504659177,-0.1186731124196697,2.001811155364386,2.692582403567252,0.0,33,post
iM,0,330000,0.94,0.94,-1.6322367504659177,-0.1186731124196697,2.001811155364386,2.692582403567252,0.0,33,pre
iM,0,340000,0.95,0.95,-1.0082157401905942,-0.0335746653815467,1.4246807546842148,2.692582403567252,0.0,34,post
iM,0,340000,0.95,0.95,-1.008215740190594,-0.0335746653815467,1.4246807546842148,2.692582403567252,0.0,34,pre
iM,0,350000,0.96,0.96,-0.9927547158229358,-0.0911048992380346,1.30261716881487,2.692582403567252,0.0,35,post
iM,0,350000,0.96,0.96,-0.992754715822936,-0.0911048992380346,1.30261716881487,2.692582403567252,0.0,35,pre
iM,0,360000,0.97,0.97,-0.1624980664198365,-0.1018844050779802,1.3656757238809,2.692582403567252,0.0,36,post
iM,0,360000,0.97,0.97,-0.1624980664198365,-0.1018844050779802,1.3656757238809,2.692582403567252,0.0,36,pre
iM,0,370000,0.96,0.96,-0.8012603577803266,-0.099866721713136,1.5474764242421393,2.692582403567252,0.0,37,post
iM,0,370000,0.96,0.96,-0.8012603577803267,-0.099866721713136,1.5474764242421393,2.692582403567252,0.0,37,pre
iM,0,380000,0.98,0.98,0.3379090817657642,-0.0341619557313206,2.1070309417868547,2.692582403567252,0.0,38,post
iM,0,380000,0.98,0.98,0.3379090817657643,-0.0341619557313206,2.1070309417868547,2.692582403567252,0.0,38,pre
iM,0,390000,0.97,0.97,-0.4797904294326393,-0.0314340803649217,1.807918159906355,2.692582403567252,0.0,39,post
iM,0,390000,0.97,0.97,-0.4797904294326394,-0.0314340803649217,1.807918159906355,2.692582403567252,0.0,39,pre
iM,0,400000,0.98,0.98,0.0023535785697712,-0.0662306634827209,1.7706301099404085,2.692582403567252,0.0,40,post
iM,0,400000,0.98,0.98,0.002353578569771,-0.0662306634827209,1.7706301099404085,2.692582403567252,0.0,40,pre
iM,0,410000,0.98,0.98,-0.4796580238337585,-0.1568389324310273,1.9773950962334672,2.692582403567252,0.0,41,post
iM,0,410000,0.98,0.98,-0.4796580238337584,-0.1568389324310273,1.9773950962334672,2.692582403567252,0.0,41,pre
iM,0,420000,0.97,0.97,-0.5151796053874534,0.1415256638014535,1.8128798764062797,2.692582403567252,0.0,42,post
iM,0,420000,0.97,0.97,-0.5151796053874536,0.1415256638014535,1.8128798764062797,2.692582403567252,0.0,42,pre
iM,0,430000,0.96,0.96,0.2138042248490054,0.0705102446050676,1.2260511551935125,2.692582403567252,0.0,43,post
iM,0,430000,0.96,0.96,0.2138042248490054,0.0705102446050676,1.2260511551935125,2.692582403567252,0.0,43,pre
iM,0,440000,0.95,0.95,-0.7318060541953803,-0.0218383469432224,1.481022622240335,2.692582403567252,0.0,44,post
iM,0,440000,0.95,0.95,-0.7318060541953805,-0.0218383469432224,1.481022622240335,2.692582403567252,0.0,44,pre
iM,0,450000,0.97,0.97,-0.8514329042807677,-0.1701698894756734,1.30296388824835,2.692582403567252,0.0,45,post
iM,0,450000,0.97,0.97,-0.8514329042807678,-0.1701698894756734,1.30296388824835,2.692582403567252,0.0,45,pre
iM,0,460000,0.97,0.97,-0.6824924648563732,-0.0039567151756682,1.199822835025239,2.692582403567252,0.0,46,post
iM,0,460000,0.97,0.97,-0.6824924648563734,-0.0039567151756682,1.199822835025239,2.692582403567252,0.0,46,pre
iM,0,470000,0.97,0.97,-0.0072039162605489,-0.063544057856106,1.6336067472924527,2.692582403567252,0.0,47,post
iM,0,470000,0.97,0.97,-0.0072039162605489,-0.063544057856106,1.6336067472924527,2.692582403567252,0.0,47,pre
iM,0,480000,0.97,0.97,-0.0866717945800095,0.0042349152617676,1.7280400155748346,2.692582403567252,0.0,48,post
iM,0,480000,0.97,0.97,-0.0866717945800095,0.0042349152617676,1.7280400155748346,2.692582403567252,0.0,48,pre
iM,0,490000,0.98,0.98,0.9130637040448832,0.1444377326255231,1.626390922336857,2.692582403567252,0.0,49,post
iM,0,490000,0.98,0.98,0.9130637040448832,0.1444377326255231,1.626390922336857,2.692582403567252,0.0,49,pre
iM,0,500000,0.98,0.98,0.3362652446339019,-0.0861563247063022,1.6440107003163562,2.692582403567252,0.0,50,post
iM,0,500000,0.98,0.98,0.336265244633902,-0.0861563247063022,1.6440107003163562,2.692582403567252,0.0,50,pre
iM,0,510000,0.97,0.97,-0.7738467120645546,-0.0184951198577984,1.9631834401841464,2.692582403567252,0.0,51,post
iM,0,510000,0.97,0.97,-0.7738467120645546,-0.0184951198577984,1.9631834401841464,2.692582403567252,0.0,51,pre
iM,0,520000,0.98,0.98,-0.1425775931321254,-0.0997038762974767,1.651067226402026,2.692582403567252,0.0,52,post
iM,0,520000,0.98,0.98,-0.1425775931321252,-0.0997038762974767,1.651067226402026,2.692582403567252,0.0,52,pre
iM,0,530000,0.97,0.97,-0.4398096787270701,-0.0763743235345835,1.2202603391391706,2.692582403567252,0.0,53,post
iM,0,530000,0.97,0.97,-0.4398096787270701,-0.0763743235345835,1.2202603391391706,2.692582403567252,0.0,53,pre
iM,0,540000,0.98,0.98,0.2659010499552656,0.0324660003003605,1.647596803904986,2.692582403567252,0.0,54,post
iM,0,540000,0.98,0.98,0.2659010499552656,0.0324660003003605,1.647596803904986,2.692582403567252,0.0,54,pre
iM,0,550000,0.98,0.98,0.2225667614092872,0.0204080349285804,1.5377912835894358,2.692582403567252,0.0,55,post
iM,0,550000,0.98,0.98,0.2225667614092873,0.0204080349285804,1.5377912835894358,2.692582403567252,0.0,55,pre
iM,0,560000,0.98,0.98,0.4768463591753786,0.0148940738477851,1.7493098006299008,2.692582403567252,0.0,56,post
iM,0,560000,0.98,0.98,0.4768463591753784,0.0148940738477851,1.7493098006299008,2.692582403567252,0.0,56,pre
iM,0,570000,0.97,0.97,-1.0871624327941625,-0.0309886607142164,2.029744849050141,2.692582403567252,0.0,57,post
iM,0,570000,0.97,0.97,-1.0871624327941625,-0.0309886607142164,2.029744849050141,2.692582403567252,0.0,57,pre
iM,0,580000,0.97,0.97,-1.2263577475366658,-0.0159242640464998,2.0534425686068123,2.692582403567252,0.0,58,post
iM,0,580000,0.97,0.97,-1.2263577475366656,-0.0159242640464998,2.0534425686068123,2.692582403567252,0.0,58,pre
iM,0,590000,0.97,0.97,-0.0746077819588936,0.1685635347707537,2.255094255730024,2.692582403567252,0.0,59,post
iM,0,590000,0.97,0.97,-0.0746077819588936,0.1685635347707537,2.255094255730024,2.692582403567252,0.0,59,pre
iM,0,600000,0.97,0.97,-0.6067595043468428,0.0896522210493975,2.2339341750221657,2.692582403567252,0.0,60,post
iM,0,600000,0.97,0.97,-0.6067595043468428,0.0896522210493975,2.2339341750221657,2.692582403567252,0.0,60,pre
iM,0,610000,0.97,0.97,-0.222038319258662,0.0058455837103476,2.20990181644798,2.692582403567252,0.0,61,post
iM,0,610000,0.97,0.97,-0.222038319258662,0.0058455837103476,2.20990181644798,2.692582403567252,0.0,61,pre
iM,0,620000,0.97,0.97,-0.4985331930140466,0.1533282163878061,2.315146840119509,2.692582403567252,0.0,62,post
iM,0,620000,0.97,0.97,-0.4985331930140467,0.1533282163878061,2.315146840119509,2.692582403567252,0.0,62,pre
iM,0,630000,0.97,0.97,-0.7317524300092917,0.0545578554335446,2.3621488581143137,2.692582403567252,0.0,63,post
iM,0,630000,0.97,0.97,-0.7317524300092916,0.0545578554335446,2.3621488581143137,2.692582403567252,0.0,63,pre
iM,0,640000,0.97,0.97,-0.2732694666257672,0.0852701249665992,2.118623772872698,2.692582403567252,0.0,64,post
iM,0,640000,0.97,0.97,-0.2732694666257672,0.0852701249665992,2.118623772872698,2.692582403567252,0.0,64,pre
iM,0,650000,0.97,0.97,-1.4653479623142622,-0.0157024115271828,2.395835165389917,2.692582403567252,0.0,65,post
iM,0,650000,0.97,0.97,-1.4653479623142622,-0.0157024115271828,2.395835165389917,2.692582403567252,0.0,65,pre
iM,0,660000,0.98,0.98,-0.0583682044832384,0.0108790562390375,1.883862995180415,2.692582403567252,0.0,66,post
iM,0,660000,0.98,0.98,-0.0583682044832382,0.0108790562390375,1.883862995180415,2.692582403567252,0.0,66,pre
iM,0,670000,0.98,0.98,-0.093442000190713,-0.0619873651205815,1.7480788654401325,2.692582403567252,0.0,67,post
iM,0,670000,0.98,0.98,-0.0934420001907129,-0.0619873651205815,1.7480788654401325,2.692582403567252,0.0,67,pre
iM,0,680000,0.98,0.98,-0.9180026259948648,-0.1638658409526322,1.902104303273767,2.692582403567252,0.0,68,post
iM,0,680000,0.98,0.98,-0.918002625994865,-0.1638658409526322,1.902104303273767,2.692582403567252,0.0,68,pre
iM,0,690000,0.97,0.97,-1.147159082800116,0.0616755979803453,2.3106863474192028,2.692582403567252,0.0,69,post
iM,0,690000,0.97,0.97,-1.147159082800116,0.0616755979803453,2.3106863474192028,2.692582403567252,0.0,69,pre
iM,0,700000,0.98,0.98,-0.7154274810962504,-0.0163989806590571,1.937886131002948,2.692582403567252,0.0,70,post
iM,0,700000,0.98,0.98,-0.7154274810962504,-0.0163989806590571,1.937886131002948,2.692582403567252,0.0,70,pre
iM,0,710000,0.99,0.99,-0.8885439396291724,0.0118778999650834,1.7458247375208291,2.692582403567252,0.0,71,post
iM,0,710000,0.99,0.99,-0.8885439396291724,0.0118778999650834,1.7458247375208291,2.692582403567252,0.0,71,pre
iM,0,720000,0.98,0.98,-1.4303841027230353,-0.0745266609528694,2.1185217678655417,2.692582403567252,0.0,72,post
iM,0,720000,0.98,0.98,-1.430384102723035,-0.0745266609528694,2.1185217678655417,2.692582403567252,0.0,72,pre
iM,0,730000,1.0,1.0,,,,2.692582403567252,0.0,73,post
iM,0,730000,1.0,1.0,,,,2.692582403567252,0.0,73,pre
iM,0,740000,0.99,0.99,-1.56633900470322,-0.0721886921766476,2.431758956086746,2.692582403567252,0.0,74,post
iM,0,740000,0.99,0.99,-1.56633900470322,-0.0721886921766476,2.431758956086746,2.692582403567252,0.0,74,pre
iM,0,750000,0.99,0.99,-1.770366603957091,-0.0883459757313691,2.402807252173818,2.692582403567252,0.0,75,post
iM,0,750000,0.99,0.99,-1.770366603957091,-0.0883459757313691,2.402807252173818,2.692582403567252,0.0,75,pre
iM,0,760000,0.98,0.98,-1.730564113095693,-0.0810938486330341,2.113580012740922,2.692582403567252,0.0,76,post
iM,0,760000,0.98,0.98,-1.730564113095693,-0.0810938486330341,2.113580012740922,2.692582403567252,0.0,76,pre
iM,0,770000,0.99,0.99,-0.9754012095227632,0.0403841240423057,1.775838511932353,2.692582403567252,0.0,77,post
iM,0,770000,0.99,0.99,-0.9754012095227632,0.0403841240423057,1.775838511932353,2.692582403567252,0.0,77,pre
iM,0,780000,0.98,0.98,-1.4359099321880633,-0.0404894491317132,2.178537775432277,2.692582403567252,0.0,78,post
iM,0,780000,0.98,0.98,-1.4359099321880633,-0.0404894491317132,2.178537775432277,2.692582403567252,0.0,78,pre
iM,0,790000,0.99,0.99,-0.3610630813895106,0.1062749140871063,2.0012511920781955,2.692582403567252,0.0,79,post
iM,0,790000,0.99,0.99,-0.3610630813895105,0.1062749140871063,2.0012511920781955,2.692582403567252,0.0,79,pre
iM,0,800000,0.97,0.97,-1.685285195806717,0.0166589315009565,2.363249219993619,2.692582403567252,0.0,80,post
iM,0,800000,0.97,0.97,-1.685285195806717,0.0166589315009565,2.363249219993619,2.692582403567252,0.0,80,pre
iM,0,810000,0.99,0.99,1.2933706822203823,0.1568432090038946,1.3140920205565672,2.692582403567252,0.0,81,post
iM,0,810000,0.99,0.99,1.2933706822203823,0.1568432090038946,1.3140920205565672,2.692582403567252,0.0,81,pre
iM,0,820000,0.99,0.99,0.8893463309369339,0.0845903697363717,0.9937376081271048,2.692582403567252,0.0,82,post
iM,0,820000,0.99,0.99,0.8893463309369339,0.0845903697363717,0.9937376081271048,2.692582403567252,0.0,82,pre
iM,0,830000,0.99,0.99,0.0468574593539649,-0.0274937288670446,1.3309681340170618,2.692582403567252,0.0,83,post
iM,0,830000,0.99,0.99,0.0468574593539649,-0.0274937288670446,1.3309681340170618,2.692582403567252,0.0,83,pre
iM,0,840000,0.99,0.99,0.8340534314991638,0.0485331094081444,1.297146489053785,2.692582403567252,0.0,84,post
iM,0,840000,0.99,0.99,0.8340534314991636,0.0485331094081444,1.297146489053785,2.692582403567252,0.0,84,pre
iM,0,850000,0.99,0.99,0.651717677604568,-0.0489513625482671,1.6728150221605569,2.692582403567252,0.0,85,post
iM,0,850000,0.99,0.99,0.651717677604568,-0.0489513625482671,1.6728150221605569,2.692582403567252,0.0,85,pre
iM,0,860000,0.99,0.99,2.219609247227789,0.0137193725463861,1.009023916872982,2.692582403567252,0.0,86,post
iM,0,860000,0.99,0.99,2.21960924722779,0.0137193725463861,1.009023916872982,2.692582403567252,0.0,86,pre
iM,0,870000,0.99,0.99,-0.6143442600000372,-0.000317250127714,1.5541176837317197,2.692582403567252,0.0,87,post
iM,0,870000,0.99,0.99,-0.6143442600000372,-0.000317250127714,1.5541176837317197,2.692582403567252,0.0,87,pre
iM,0,880000,0.99,0.99,0.2658797150993112,0.1108610243824659,1.8439550172576635,2.692582403567252,0.0,88,post
iM,0,880000,0.99,0.99,0.2658797150993112,0.1108610243824659,1.8439550172576635,2.692582403567252,0.0,88,pre
iM,0,890000,0.99,0.99,0.1188363118713723,0.034910540195833,1.730963980124259,2.692582403567252,0.0,89,post
iM,0,890000,0.99,0.99,0.1188363118713723,0.034910540195833,1.730963980124259,2.692582403567252,0.0,89,pre
iM,0,900000,0.99,0.99,-0.6614118254173132,0.0276042843552818,1.870175791387636,2.692582403567252,0.0,90,post
iM,0,900000,0.99,0.99,-0.6614118254173132,0.0276042843552818,1.870175791387636,2.692582403567252,0.0,90,pre
iM,0,910000,0.99,0.99,1.0502647696527845,0.0757902184375908,1.3606764726543197,2.692582403567252,0.0,91,post
iM,0,910000,0.99,0.99,1.0502647696527845,0.0757902184375908,1.3606764726543197,2.692582403567252,0.0,91,pre
iM,0,920000,0.99,0.99,1.2956834798328083,0.0178460818707366,1.1855712253550386,2.692582403567252,0.0,92,post
iM,0,920000,0.99,0.99,1.2956834798328083,0.0178460818707366,1.1855712253550386,2.692582403567252,0.0,92,pre
iM,0,930000,0.99,0.99,0.6219943110352373,-0.0042035950407317,1.291756746777634,2.692582403567252,0.0,93,post
iM,0,930000,0.99,0.99,0.6219943110352374,-0.0042035950407317,1.291756746777634,2.692582403567252,0.0,93,pre
iM,0,940000,0.99,0.99,1.3524027855485474,0.0192889930763284,1.1749339800520622,2.692582403567252,0.0,94,post
iM,0,940000,0.99,0.99,1.352402785548548,0.0192889930763284,1.1749339800520622,2.692582403567252,0.0,94,pre
iM,0,950000,0.99,0.99,-0.0791650350353995,-0.0217404912458846,1.3246180116992596,2.692582403567252,0.0,95,post
iM,0,950000,0.99,0.99,-0.0791650350353995,-0.0217404912458846,1.3246180116992596,2.692582403567252,0.0,95,pre
iM,0,960000,0.99,0.99,-0.2138811941677431,-0.1429451284629575,1.4616371121816794,2.692582403567252,0.0,96,post
iM,0,960000,0.99,0.99,-0.213881194167743,-0.1429451284629575,1.4616371121816794,2.692582403567252,0.0,96,pre
iM,0,970000,0.99,0.99,0.3463960707320633,-0.0599512358571394,1.9139375220903168,2.692582403567252,0.0,97,post
iM,0,970000,0.99,0.99,0.3463960707320634,-0.0599512358571394,1.9139375220903168,2.692582403567252,0.0,97,pre
iM,0,980000,0.99,0.99,0.7515215312612962,-0.1600226272896532,1.5603671404944663,2.692582403567252,0.0,98,post
iM,0,980000,0.99,0.99,0.7515215312612962,-0.1600226272896532,1.5603671404944663,2.692582403567252,0.0,98,pre
iM,0,990000,0.99,0.99,1.292498199606074,0.191838330848519,1.1534778230880711,2.692582403567252,0.0,99,post
iM,0,990000,0.99,0.99,1.292498199606074,0.191838330848519,1.1534778230880711,2.692582403567252,0.0,99,pre
iM,0,1000000,0.99,0.99,1.006679923169104,0.1327810933164546,1.6419263316555193,2.692582403567252,0.0,100,post
iM,0,1000000,0.99,0.99,1.006679923169104,0.1327810933164546,1.6419263316555193,2.692582403567252,0.0,100,pre
iM,0,1010000,0.99,0.99,0.618854846100569,0.0849719988246706,1.6606566809412635,2.692582403567252,0.0,101,post
iM,0,1010000,0.99,0.99,0.6188548461005688,0.0849719988246706,1.6606566809412635,2.692582403567252,0.0,101,pre
iM,0,1020000,0.99,0.99,-0.5257613819500309,-0.0419483227151617,1.7800287286929408,2.692582403567252,0.0,102,post
iM,0,1020000,0.99,0.99,-0.5257613819500309,-0.0419483227151617,1.7800287286929408,2.692582403567252,0.0,102,pre
iM,0,1030000,0.99,0.99,0.8384416437190103,0.1439717091862516,1.6433405159822747,2.692582403567252,0.0,103,post
iM,0,1030000,0.99,0.99,0.8384416437190103,0.1439717091862516,1.6433405159822747,2.692582403567252,0.0,103,pre
iM,0,1040000,0.99,0.99,1.1209247509019409,0.0715606452502281,1.5196648545479023,2.692582403567252,0.0,104,post
iM,0,1040000,0.99,0.99,1.120924750901941,0.0715606452502281,1.5196648545479023,2.692582403567252,0.0,104,pre
iM,0,1050000,0.99,0.99,1.197108038373083,0.2385043041607747,1.4540248202576749,2.692582403567252,0.0,105,post
iM,0,1050000,0.99,0.99,1.1971080383730834,0.2385043041607747,1.4540248202576749,2.692582403567252,0.0,105,pre
iM,0,1060000,0.99,0.99,0.8573255235984484,0.2205426624226002,1.2056812746927137,2.692582403567252,0.0,106,post
iM,0,1060000,0.99,0.99,0.8573255235984485,0.2205426624226002,1.2056812746927137,2.692582403567252,0.0,106,pre
iM,0,1070000,0.99,0.99,0.8425368920929905,0.1580881964416464,1.4882545469344333,2.692582403567252,0.0,107,post
iM,0,1070000,0.99,0.99,0.8425368920929908,0.1580881964416464,1.4882545469344333,2.692582403567252,0.0,107,pre
iM,0,1080000,0.99,0.99,0.0590322658295991,-0.0101016545451054,1.634950557925548,2.692582403567252,0.0,108,post
iM,0,1080000,0.99,0.99,0.0590322658295991,-0.0101016545451054,1.634950557925548,2.692582403567252,0.0,108,pre
iM,0,1090000,0.99,0.99,0.9675096369115128,-0.0250681147849527,1.5635132880677776,2.692582403567252,0.0,109,post
iM,0,1090000,0.99,0.99,0.9675096369115128,-0.0250681147849527,1.5635132880677776,2.692582403567252,0.0,109,pre
iM,0,1100000,0.99,0.99,1.2552087120740518,0.0286959435493499,1.2261634872338594,2.692582403567252,0.0,110,post
iM,0,1100000,0.99,0.99,1.2552087120740518,0.0286959435493499,1.2261634872338594,2.692582403567252,0.0,110,pre
iM,0,1110000,0.99,0.99,0.3343934811676186,-0.0248702713663271,1.3686071415824452,2.692582403567252,0.0,111,post
iM,0,1110000,0.99,0.99,0.3343934811676186,-0.0248702713663271,1.3686071415824452,2.692582403567252,0.0,111,pre
iM,0,1120000,0.99,0.99,1.0452792771063064,-0.0757421844832851,1.1904379072975568,2.692582403567252,0.0,112,post
iM,0,1120000,0.99,0.99,1.0452792771063066,-0.0757421844832851,1.1904379072975568,2.692582403567252,0.0,112,pre
iM,0,1130000,0.99,0.99,1.6572136759247664,-0.2341590165630552,0.7498672407821984,2.692582403567252,0.0,113,post
iM,0,1130000,0.99,0.99,1.6572136759247664,-0.2341590165630552,0.7498672407821984,2.692582403567252,0.0,113,pre
iM,0,1140000,0.99,0.99,0.4976421974911872,-0.0311865746085366,1.4607506025243124,2.692582403567252,0.0,114,post
iM,0,1140000,0.99,0.99,0.4976421974911872,-0.0311865746085366,1.4607506025243124,2.692582403567252,0.0,114,pre
iM,0,1150000,0.99,0.99,2.004682177597579,0.0347321728340394,1.1741191664234905,2.692582403567252,0.0,115,post
iM,0,1150000,0.99,0.99,2.004682177597579,0.0347321728340394,1.1741191664234905,2.692582403567252,0.0,115,pre
