task,N,N2,D2,cos,w2col,arm,eps,seed,gw2,g2,e2,xi,R,graw,phi2_batch,alive,addgap,S2,rho,phi2_probe,sigma,zbar,posfrac,rad1,rad2,acc,E,E_pred,r_W1b1,r_W2,r_scale
57,5.853987460455576,34.30259032648113,1.1541417750742962,-0.04841308578781307,2.060155618662009,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
58,5.906840800391392,34.9233094104545,1.0438450360649751,-0.03618670906180047,2.0739691546232084,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
59,5.953797288138289,35.48178764840989,1.1096362085324702,-0.0467962072786189,2.086392649597927,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
60,5.998752559194022,36.02043500692016,1.088434407991115,-0.046924793483159206,2.098807546278361,HP03,0.03,1,0.001155792231607307,0.05560929511213761,0.0004210968867538499,0.6535836981543717,75.51776687486779,0.07128012850291178,0.20584875394974597,1.0,4.440892098500626e-15,0.026777528099363526,40.64730709840936,0.22613824338407693,3.4165043215132447,-2.9775356650633737,0.1730859375,-0.008332364295945183,-0.004985498114167519,0.9097999930381775,0.0080290461702558,0.008029045612299127,0.0432355547597561,0.0352065085895003,16.10050969107924
61,6.049746432797974,36.63494981005903,1.2119265562617747,-0.04595937941602282,2.1162428198968355,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
62,6.096721477680859,37.20710753386291,1.1096608479497618,-0.04292026162136186,2.1303013121148666,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
63,6.141744837814191,37.757559033572406,1.120038885657121,-0.045711756351839036,2.142293530178846,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
64,6.184475832026128,38.28423470776621,1.0262313530302647,-0.04016696881459885,2.152339267448009,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
65,6.232209331171134,38.87736461157659,1.2271905049234697,-0.04608598975400037,2.1655048626081808,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
66,6.27554215454271,39.41798056134016,1.1136426203606005,-0.046280474353634665,2.1791209726499345,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
67,6.323422935001355,40.02222908417891,1.2396812536757755,-0.04636290275085747,2.190151662270695,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
68,6.3672190056595435,40.58029322970574,1.1658859419435172,-0.04501862141329254,2.1962460932432304,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
69,6.405442756098719,41.070871229647146,1.1522163163627968,-0.05038876798445086,2.1997423525204134,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
70,6.441571805941899,41.53309653090486,1.09221627039918,-0.04807944760758324,2.2102370858743456,HP03,0.03,1,0.0010990946828875264,0.059325121031824996,0.0003679454596929067,0.652462909911581,77.1715453470342,0.06797595475513499,0.22245649358504602,1.0,7.105427357601002e-15,0.02443521262289269,44.69845575953418,0.23198014118949742,3.5933356324122157,-3.077746965212756,0.17455078125,-0.007593686877657124,-0.003062786671688432,0.9059000015258789,,,,,
71,6.480250923819279,42.03511570848338,1.0763224322193505,-0.04350609879963954,2.2263254430187676,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
72,6.5129764058413775,42.46223656832873,0.9946744309432417,-0.046411846170024564,2.230303796725686,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
73,6.552998761712613,42.987724147876364,1.1415970293269426,-0.045226509632034236,2.2392609833020933,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
74,6.596165525932001,43.55884252822184,1.172739831200223,-0.04368882818144579,2.254745260423466,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
75,6.6400977050587615,44.14015673481461,1.1229025628818305,-0.04050059339622861,2.2664309764952226,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
76,6.679645084160662,44.669158839728695,1.0888128176616005,-0.04229831658488605,2.2743989436533223,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
77,6.7128748711574735,45.11677553511103,1.0631496468279698,-0.04663678572352611,2.2738817964755755,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
78,6.753928125125197,45.67101794685892,1.1417569685509334,-0.04252267856707518,2.284977762166389,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
79,6.795345830600461,46.236696295668544,1.286706968787976,-0.04900516687729062,2.3050694214377354,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
80,6.836947858650824,46.80125650769517,1.2319166777636748,-0.0445386837303175,2.3189879404617177,HP03,0.03,1,0.0012516263430451366,0.0560557924486126,0.0004277004570436336,0.6725363160623588,77.62448712183424,0.0712038484494507,0.21231915717489774,1.0,7.993605777301127e-15,0.026996217472954897,45.63293650296832,0.22530100966688618,3.725354097158631,-3.3326411109350693,0.17087890625,-0.007255214822261492,-0.003171416915820125,0.9057000279426575,0.004253415669830819,0.0042534167071737895,0.010668908082412321,0.006415492412581502,18.659155223046064
81,6.879457474818906,47.383901061664474,1.2693823259592796,-0.04796344228548086,2.3211331291562884,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
82,6.919354291931783,47.935547862686974,1.1968708316811343,-0.042565012440261556,2.3316266034528925,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
83,6.956155298538545,48.44732079136047,1.294269120776914,-0.051495883028021223,2.338888600357822,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
84,6.994637884092375,48.98406793010904,1.1966499575181289,-0.0438672500303276,2.3528440870477056,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
85,7.029993728742244,49.48049784959219,1.0953525455183732,-0.04261036386366481,2.3624947296657,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
86,7.061611993197582,49.924542625086,1.211864074656755,-0.05107504514751391,2.3691384412703744,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
87,7.107661561191394,50.58116879076641,1.3865343992541892,-0.041683147380870054,2.3873723452921656,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
88,7.1502193927857,51.19078956575122,1.2439780007504957,-0.0407653737999712,2.4013749037745615,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
89,7.190414899359114,51.77165167405885,1.2282426991014723,-0.04234296763054175,2.4092760469152843,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
90,7.225116708980035,52.269394531141685,1.2880218673519324,-0.04888939317315971,2.414250148444676,HP03,0.03,1,0.0010932660196193468,0.04753453599920745,0.0004450428984134267,0.6676350206387776,77.40617474346831,0.06545284330232437,0.18855524885748914,1.0,1.4210854715202004e-14,0.026518335113894474,48.57099293073885,0.20393659588691634,3.901774527319696,-3.7058912542782343,0.14931640625,-0.0079850949447597,-0.006231777354010397,0.9017999768257141,,,,,
91,7.266198855494201,52.86511816521988,1.2651166271537715,-0.042497830897743095,2.4298796138353187,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
92,7.303277349482641,53.405749232091075,1.250923788065915,-0.04413836205562387,2.4337008260132325,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
93,7.331765468271411,53.82529717272887,1.1698690889055068,-0.04980927994303981,2.4395949249658653,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
94,7.37059299612676,54.393203358221825,1.3394009707540602,-0.04581515493759678,2.4536444432101847,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
95,7.409109702314044,54.9618782494663,1.3196975549702725,-0.04508558709410178,2.464558625356181,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
96,7.444487491335942,55.489657278970355,1.2858002992627195,-0.04648772050957784,2.470494610220111,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
97,7.4789445234767085,56.00415159211074,1.3007527030938582,-0.04651465161065615,2.4796245042747453,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
98,7.513225162150215,56.520944862274206,1.2653343709150144,-0.04659634088871084,2.4888849610698918,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
99,7.549504879990027,57.0701042531739,1.2713148699192622,-0.04425672767147864,2.5020285041408017,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
100,7.580820017480269,57.54611248704016,1.3770320499967983,-0.052664475521806635,2.5079125932113815,HP03,0.03,1,0.0010065644819270167,0.047828457184963154,0.00041348885977814126,0.658091330074448,77.3401922171692,0.06365722402913353,0.17690736897098638,1.0,8.881784197001252e-15,0.027444434566441137,50.17527494192296,0.17668237443369125,3.9414291857407187,-4.088819165522023,0.1317578125,-0.007849633541721964,-0.005779104866583586,0.9061999917030334,-0.00047310110777241954,-0.0004731141652180932,-0.021526300289226197,-0.021053199181453777,12.269412889165864
101,7.620106137548885,58.1457602083987,1.5268784880917219,-0.05074869577825224,2.5075048155106474,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
102,7.659870442411497,58.75182542148666,1.3898024719840538,-0.04377196329939598,2.5204797573327964,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
103,7.695845857245724,59.3072741018872,1.280863943246504,-0.042830802898213796,2.5305868819626602,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
104,7.732825507331412,59.87769869241464,1.4531452021753777,-0.04920650385751544,2.5407657365507084,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
105,7.770427843209939,60.45799755017628,1.5907230650400117,-0.05530141374323902,2.5449610450009277,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
106,7.806463650116451,61.02349619783601,1.406253330860677,-0.04782128987365802,2.548330854252921,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
107,7.841010176229718,61.56494477490527,1.265477411497862,-0.04277771116762941,2.5608857182121407,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
108,7.878555212071469,62.15542692298046,1.354116379155963,-0.043271109603173076,2.5671953642905496,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
109,7.920104257395836,62.81339014848856,1.309938488373703,-0.038122249644642794,2.5782272026807083,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
110,7.961304815130968,63.47242596141031,1.4980733496252026,-0.04481938474147093,2.5940312212397547,HP03,0.03,1,0.0011231482088995774,0.044252404873018444,0.0005056342439714704,0.6417941501372006,78.21102159249645,0.06162474593241682,0.15417344918741993,1.0,3.552713678800501e-15,0.02812918677222779,53.256902225991986,0.16980453802444337,4.2285984695786345,-4.373580402026492,0.12658203125,-0.006525947415765159,-0.001321467918848632,0.8996000289916992,,,,,
111,7.989619367542255,63.926439187561265,1.3222257975776281,-0.045576384240676,2.602528068694982,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
112,8.025003700235493,64.49498776926691,1.383885790104142,-0.04385499619686262,2.613449168158715,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
113,8.063822649305326,65.12143994211064,1.3807791720717344,-0.04048585487475513,2.614758245940099,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
114,8.095712917627685,65.63735760087015,1.327784975439428,-0.04487233659689077,2.6210362788380395,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
115,8.136143267700291,66.30102140780635,1.392311150587915,-0.04143397623898427,2.6327516433349185,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
116,8.170311338916903,66.8619252860131,1.4093076955630017,-0.04499347312130252,2.637585685616167,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
117,8.205327096870352,67.43422122831721,1.5509712844972956,-0.04838741219334661,2.6403532110581516,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
118,8.236113877943806,67.94264710204926,1.3109954249436182,-0.044034619309785465,2.6480144123988962,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
119,8.280134440926817,68.67206887906269,1.5626818722706395,-0.042789162257863105,2.66252255142402,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
120,8.319752637003656,69.34185369014996,1.5184095378169524,-0.04351064440377214,2.668912392941987,HP03,0.03,1,0.0011246559640068353,0.05046202616104758,0.00047157481879418165,0.61193243921811,77.2326476680867,0.06204123595743957,0.16892495305713146,1.0,6.217248937900877e-15,0.027356246019617055,55.50504030151312,0.18197173970134592,4.192343021743963,-4.337480319950815,0.13546875,-0.006514307969740867,-0.00495515264565988,0.9070000052452087,-0.0030673302944864526,-0.003067342182210257,-0.023228398232893514,-0.02016106793840706,10.83947728555857
