phase,arm,checkpoint,step,check,index,production_or_formula,original_autograd,matched_autograd,original_error,matched_error,original_tolerance,matched_tolerance
fixed,LR_a0p1_q0,5000000,-1,row_centered/A_vs_autograd,"(227, 52)",0.32589657125257815,0.32593900150859145,0.3258965762040789,4.243025601330386e-05,4.951500764960315e-09,2.651878003017183e-05,2.651793152408158e-05
fixed,LR_a0p1_q0,5000000,-1,row_centered/A_vs_autograd,"(257, 26)",-0.0526988755016294,-0.05265543617222318,-0.05269887254696422,4.3439329406216864e-05,2.9546651791889644e-09,2.1053108723444466e-05,2.1053977450939286e-05
fixed,LR_a0p1_q0,5000000,-1,row_centered/A_vs_autograd,"(257, 64)",-0.07374065324616709,-0.07367987141207247,-0.07374064968695708,6.0781834094622567e-05,3.559210010051217e-09,2.1473597428241453e-05,2.147481299373914e-05
fixed,LR_a0p1_q0,5000000,-1,row_centered/A_vs_autograd,"(257, 67)",0.03383802346323741,0.03381013144804139,0.03383802314113421,2.7892015196019637e-05,3.221031982802991e-10,2.067620262896083e-05,2.0676760462822684e-05
fixed,LR_a0p1_q0,5000000,-1,whole/A_vs_autograd,"(77, 78)",0.036633905223653354,0.03665656383654795,0.036633903525720865,2.2658612894597974e-05,1.6979324890531444e-09,2.073313127673096e-05,2.0732678070514418e-05
fixed,LR_a0p1_q0,5000000,-1,whole/A_vs_autograd,"(227, 52)",0.186705565625986,0.1867298731944435,0.18670556972542976,2.430756845750448e-05,4.099443756677701e-09,2.3734597463888873e-05,2.3734111394508597e-05
fixed,LR_a0p1_q0,5000000,-1,whole/A_vs_autograd,"(227, 78)",-0.1844660818662328,-0.1844900980836613,-0.18446606630022605,2.4016217428479703e-05,1.5566006761336126e-08,2.3689801961673226e-05,2.368932132600452e-05
fixed,LR_a0p1_q0,5000000,-1,whole/A_vs_autograd,"(257, 26)",-0.049624006978975954,-0.049583102243717724,-0.049624004173687335,4.090473525823063e-05,2.805288619456281e-09,2.0991662044874356e-05,2.0992480083473746e-05
fixed,LR_a0p1_q0,5000000,-1,whole/A_vs_autograd,"(257, 64)",-0.03550140381706316,-0.0354721412540782,-0.03550140160994065,2.9262562984959384e-05,2.207122512531967e-09,2.0709442825081563e-05,2.0710028032198816e-05
fixed,LR_a0p1_q0,5000000,-1,free5/A_vs_autograd,"(126, 29)",-0.012338916126764429,-0.0123073465777853,-0.012338915910288045,3.156954897912817e-05,2.1647638369370892e-10,2.0246146931555707e-05,2.0246778318205762e-05
fixed,LR_a0p1_q0,5000000,-1,free5/A_vs_autograd,"(130, 54)",0.0026284625140563815,0.0026029930147196344,0.002628462612411846,2.546949933674705e-05,9.835546439795895e-11,2.0052059860294392e-05,2.0052569252248238e-05
fixed,LR_a0p1_q0,5000000,-1,free5/A_vs_autograd,"(140, 16)",-0.21672885652159324,-0.21675984353005417,-0.21672887019993614,3.0987008460936494e-05,1.3678342902778695e-08,2.4335196870601086e-05,2.4334577403998723e-05
fixed,LR_a0p1_q0,5000000,-1,free5/A_vs_autograd,"(146, 8)",-0.006473334231618582,-0.006494477186103587,-0.006473334218196339,2.114295448500496e-05,1.3422242484129043e-11,2.0129889543722072e-05,2.012946668436393e-05
fixed,LR_a0p1_q0,5000000,-1,free5/A_vs_autograd,"(146, 16)",-0.007515212148715544,-0.007539758605030391,-0.007515212261594979,2.454645631484731e-05,1.1287943496585129e-10,2.0150795172100608e-05,2.0150304245231898e-05
fixed,LR_a0p1_q0,5000000,-1,free5/A_vs_autograd,"(146, 29)",0.009397390559107224,0.009428084067070748,0.009397390623808129,3.0693507963523714e-05,6.47009043563962e-11,2.018856168134142e-05,2.0187947812476163e-05
fixed,LR_a0p1_q0,5000000,-1,free5/A_vs_autograd,"(221, 67)",-0.2041743932023526,-0.20420086503496737,-0.20417439908610513,2.647183261478281e-05,5.8837525407362534e-09,2.408401730069935e-05,2.4083487981722104e-05
fixed,LR_a0p1_q0,5000000,-1,free5/A_vs_autograd,"(221, 98)",0.231995232870476,0.232025292931468,0.23199523952727116,3.0060060992015414e-05,6.656795170645324e-09,2.4640505858629363e-05,2.4639904790545423e-05
fixed,LR_a0p1_q0,5000000,-1,free5/A_vs_autograd,"(227, 52)",0.2876900789300404,0.28772753508479454,0.2876900828913058,3.745615475414521e-05,3.9612654267884295e-09,2.5754550701695892e-05,2.575380165782612e-05
fixed,LR_a0p1_q0,5000000,-1,free5/A_vs_autograd,"(237, 8)",-0.5989168890788813,-0.5988787723969295,-0.5989169122465605,3.8116681951749776e-05,2.3167679219504578e-08,3.197757544793859e-05,3.1978338244931214e-05
fixed,LR_a0p1_q0,5000000,-1,free5/A_vs_autograd,"(257, 26)",-0.05104084888006127,-0.05099877624863237,-0.05104084609639949,4.207263142889939e-05,2.7836617733090208e-09,2.101997552497265e-05,2.1020816921927994e-05
fixed,LR_a0p1_q0,5000000,-1,free5/A_vs_autograd,"(257, 64)",-0.08424370368474049,-0.08417426455497576,-0.08424369982877916,6.943912976473121e-05,3.855961328014246e-09,2.1683485291099514e-05,2.1684873996575587e-05
fixed,LR_a0p1_q0,5000000,-1,free5/A_vs_autograd,"(257, 67)",0.0335962055828552,0.033568512901056356,0.03359620521520789,2.7692681798842378e-05,3.6764730843019677e-10,2.0671370258021128e-05,2.067192410430416e-05
fixed,LR_a0p1_q0,5000000,-1,free5/A_vs_autograd,"(269, 65)",-0.1325164027994127,-0.13249223902625806,-0.13251640832551825,2.416377315464513e-05,5.526105545383686e-09,2.2649844780525162e-05,2.2650328166510366e-05
fixed,LR_a0p1_q0,5000000,-1,free5/A_vs_autograd,"(290, 54)",0.1385062441554175,0.138473884153133,0.13850623560632502,3.2360002284514966e-05,8.549092489484877e-09,2.2769477683062663e-05,2.2770124712126504e-05
fixed,LR_a0p1_q0,5000000,-1,free5/A_vs_autograd,"(297, 8)",0.32626908206854954,0.32623782478122776,0.32626909186215436,3.125728732178423e-05,9.79360481601077e-09,2.6524756495624555e-05,2.6525381837243086e-05
fixed,LR_a0p1_q0,5000000,-1,free5/A_vs_autograd,"(316, 42)",-0.1000950645731874,-0.10011861856680693,-0.10009507138855056,2.355399361952948e-05,6.815363162715471e-09,2.200237237133614e-05,2.2001901427771015e-05
continuation,LR_a0p3_q0,200000,5,row_centered/A_vs_autograd,"(8, 58)",0.052373320968109656,0.052352207039778095,0.052373319338921524,2.1113928331560616e-05,1.6291881316243817e-09,2.1047044140795565e-05,2.1047466386778434e-05
continuation,LR_a0p3_q0,200000,81,free5/A_vs_autograd,"(3, 0)",-0.051434471379608,-0.051456671337282225,-0.051434470802655965,2.2199957674225168e-05,5.769520347587154e-10,2.1029133426745646e-05,2.102868941605312e-05
fixed,LR_a0p3_q0,5000000,-1,row_centered/A_vs_autograd,"(144, 89)",-0.12778764289631225,-0.12781118456685783,-0.1277876475943751,2.354167054557932e-05,4.6980628554127435e-09,2.255622369133716e-05,2.2555752951887505e-05
fixed,LR_a0p3_q0,5000000,-1,free5/A_vs_autograd,"(144, 89)",-0.14322698096025974,-0.14325336747666795,-0.14322698625243357,2.6386516408211103e-05,5.292173838045144e-09,2.286506734953336e-05,2.2864539725048674e-05
fixed,LR_a0p3_qp05,200000,-1,row_centered/A_vs_autograd,"(29, 70)",-0.7543095007209879,-0.7543608445076637,-0.7543095206042983,5.134378667581707e-05,1.9883310442558866e-08,3.5087216890153276e-05,3.508619041208597e-05
fixed,LR_a0p3_qp05,200000,-1,whole/A_vs_autograd,"(29, 70)",-0.4950159704643736,-0.49504966399626255,-0.4950159843775085,3.36935318889231e-05,1.3913134866427868e-08,2.990099327992525e-05,2.990031968755017e-05
continuation,LR_a0p3_qp05,200000,0,row_centered/A_vs_autograd,"(9, 70)",-0.7543095007209879,-0.7543608445076637,-0.7543095206042983,5.134378667581707e-05,1.9883310442558866e-08,3.5087216890153276e-05,3.508619041208597e-05
continuation,LR_a0p3_qp05,200000,0,whole/A_vs_autograd,"(9, 70)",-0.4950159704643736,-0.49504966399626255,-0.4950159843775085,3.36935318889231e-05,1.3913134866427868e-08,2.990099327992525e-05,2.990031968755017e-05
continuation,LR_a0p3_qp05,200000,5,whole/Q_vs_autograd,"(0, 46)",0.5932081747166421,0.5931753014649501,0.5932082617229091,3.28732516919894e-05,8.700626696889202e-08,3.1863506029299006e-05,3.186416523445818e-05
continuation,LR_a0p3_qp05,200000,24,free5/A_vs_autograd,"(6, 29)",0.6881007311353058,0.6881388391540078,0.6881007348339447,3.810801870196556e-05,3.6986389506665773e-09,3.376277678308016e-05,3.37620146966789e-05
continuation,LR_a0p3_qp05,200000,29,free5/A_vs_autograd,"(9, 86)",-0.06193796713246867,-0.06196483328241968,-0.06193796712852431,2.6866149951010332e-05,3.944358728524833e-12,2.1239296665648395e-05,2.1238759342570487e-05
continuation,LR_a0p3_qp05,200000,77,free5/A_vs_autograd,"(6, 29)",0.04835845391625505,0.048335274448085684,0.048358456053419784,2.317946816936256e-05,2.1371647368484403e-09,2.0966705488961713e-05,2.0967169121068398e-05
continuation,LR_a0p3_qp05,200000,96,whole/Q_vs_autograd,"(6, 29)",3.3585456003109138,3.3586403953309816,3.3585458136332793,9.479502006781715e-05,2.1332236554982842e-07,8.717280790661964e-05,8.717091627266559e-05
continuation,LR_a0p3_qp05,200000,96,whole/Q_vs_autograd,"(6, 61)",2.55799410776053,2.5580661692201048,2.557993944549949,7.206145957461274e-05,1.6321058105006614e-07,7.116132338440211e-05,7.115987889099899e-05
continuation,LR_a0p3_qp05,200000,106,whole/A_vs_autograd,"(6, 29)",-0.19308086941695982,-0.19310631020518954,-0.19308088281406816,2.544078822971918e-05,1.3397108339363584e-08,2.3862126204103794e-05,2.3861617656281367e-05
continuation,LR_a0p3_qp05,200000,106,free5/A_vs_autograd,"(6, 29)",-0.2494408754964732,-0.24947374236575615,-0.24944089282818455,3.286686928294369e-05,1.7331711343882006e-08,2.4989474847315122e-05,2.4988817856563694e-05
continuation,LR_a0p3_qp05,200000,106,free5/A_vs_autograd,"(6, 45)",0.18246089201092122,0.18248494024456935,0.18246089751738448,2.404823364812736e-05,5.506463257587413e-09,2.364969880489139e-05,2.364921795034769e-05
continuation,LR_a0p3_qp05,200000,123,whole/Q_vs_autograd,"(9, 86)",1.490683946018209,1.4906317773913174,1.4906839597579433,5.21686268917243e-05,1.3739734239237578e-08,4.9812635547826345e-05,4.981367919515887e-05
continuation,LR_a0p3_qp05,200000,130,whole/Q_vs_autograd,"(9, 86)",0.22276006320229796,0.22273256818259934,0.2227600427664617,2.7495019698620116e-05,2.0435836273202668e-08,2.4454651363651987e-05,2.4455200855329238e-05
continuation,LR_a0p3_qp05,200000,130,free5/A_vs_autograd,"(9, 86)",-0.6125120706153739,-0.6124742686544606,-0.6125120425174764,3.780196091329735e-05,2.809789756419434e-08,3.224948537308922e-05,3.225024085034953e-05
continuation,LR_a0p3_qp05,200000,148,row_centered/A_vs_autograd,"(9, 70)",0.22067445499713736,0.22064907918109788,0.22067446159965773,2.5375816039480137e-05,6.602520363774289e-09,2.4412981583621963e-05,2.4413489231993155e-05
continuation,LR_a0p3_qp05,200000,151,whole/Q_vs_autograd,"(9, 86)",3.4289322250135728,3.4288241646146806,3.428932485707641,0.00010806039889210695,2.6069406811046747e-07,8.857648329229362e-05,8.857864971415283e-05
continuation,LR_a0p3_qp05,200000,153,free5/A_vs_autograd,"(9, 86)",-0.08626450529751989,-0.08628902452030907,-0.0862645089363278,2.451922278917662e-05,3.6388079077687152e-09,2.1725780490406184e-05,2.172529017872656e-05
continuation,LR_a0p3_qp05,200000,187,row_centered/A_vs_autograd,"(0, 46)",0.0816242475831937,0.08159214435564971,0.08162424660345607,3.21032275439892e-05,9.797376243625422e-10,2.1631842887112998e-05,2.1632484932069122e-05
continuation,LR_a0p3_qp05,200000,187,row_centered/A_vs_autograd,"(0, 71)",-0.05564872605867263,-0.05562683411650435,-0.055648725736872434,2.189194216828394e-05,3.218001976001972e-10,2.1112536682330088e-05,2.111297451473745e-05
continuation,LR_a0p3_qp05,200000,187,free5/A_vs_autograd,"(0, 46)",0.07100287930595142,0.07097495353002016,0.07100287830356584,2.7925775931261776e-05,1.0023855773200196e-09,2.1419499070600404e-05,2.142005756607132e-05
continuation,LR_a0p3_qp05,200000,205,whole/Q_vs_autograd,"(9, 86)",1.9519707873211203,1.9519109044159026,1.9519708939161684,5.9882905217634175e-05,1.0659504812160492e-07,5.903821808831806e-05,5.903941787832337e-05
continuation,LR_a0p3_qp05,200000,217,whole/Q_vs_autograd,"(6, 29)",0.9539357528924894,0.95389627084144,0.9539358264828828,3.948205104942204e-05,7.359039333465489e-08,3.9077925416828805e-05,3.907871652965766e-05
continuation,LR_a0p3_qp05,200000,217,whole/Q_vs_autograd,"(6, 62)",1.0283647013593111,1.0283220526860184,1.0283647987561775,4.264867329273336e-05,9.739686634979705e-08,4.056644105372037e-05,4.056729597512355e-05
continuation,LR_a0p3_qp05,200000,218,whole/Q_vs_autograd,"(1, 61)",2.193226229369379,2.1933010845496903,2.19322619065107,7.485518031113969e-05,3.871830900337159e-08,6.386602169099381e-05,6.386452381302141e-05
continuation,LR_a0p3_qp05,200000,219,whole/Q_vs_autograd,"(9, 86)",0.940166132255595,0.9402056907315576,0.9401661693478786,3.955847596259776e-05,3.709228357795524e-08,3.880411381463115e-05,3.8803323386957574e-05
continuation,LR_a0p3_qp05,200000,227,free5/A_vs_autograd,"(9, 86)",0.36537287404059937,0.36540647948898314,0.36537288326608597,3.360544838376667e-05,9.225486596875498e-09,2.7308129589779662e-05,2.7307457665321718e-05
continuation,LR_a0p3_qp05,200000,236,whole/Q_vs_autograd,"(9, 86)",0.6443374644052146,0.6443031108839137,0.6443374971920368,3.435352130087832e-05,3.278682225715812e-08,3.288606221767828e-05,3.288674994384074e-05
fixed,LR_a0p3_qp05,1000000,-1,row_centered/A_vs_autograd,"(128, 72)",-0.05700962410638426,-0.05698486522967794,-0.0570096207579628,2.4758876706318378e-05,3.348421456772499e-09,2.113969730459356e-05,2.114019241515926e-05
fixed,LR_a0p3_qp05,1000000,-1,row_centered/A_vs_autograd,"(139, 17)",0.23287593629321396,0.23284767915915439,0.2328759373457347,2.8257134059572753e-05,1.0525207372324985e-09,2.4656953583183088e-05,2.4657518746914698e-05
fixed,LR_a0p3_qp05,1000000,-1,whole/Q_vs_autograd,"(131, 61)",0.6933820433468825,0.693345411763453,0.6933821794926531,3.6631583429480585e-05,1.3614577065723665e-07,3.386690823526906e-05,3.386764358985307e-05
fixed,LR_a0p3_qp05,1000000,-1,free5/A_vs_autograd,"(128, 72)",-0.04844804815263914,-0.04842700750790082,-0.04844804530709511,2.1040644738318237e-05,2.845544029572711e-09,2.0968540150158017e-05,2.09689609061419e-05
fixed,LR_a0p3_qp05,1000000,-1,free5/A_vs_autograd,"(139, 17)",0.24066895657830795,0.24063975298341367,0.24066895756791373,2.920359489427815e-05,9.896057862057717e-10,2.4812795059668274e-05,2.4813379151358277e-05
fixed,LR_a0p3_qp05,1000000,-1,free5/A_vs_autograd,"(139, 42)",-0.19952618643673467,-0.19950197359126898,-0.19952619901191493,2.4212845465693134e-05,1.2575180258211915e-08,2.3990039471825384e-05,2.3990523980238304e-05
fixed,LR_a0p3_qp05,1000000,-1,free5/A_vs_autograd,"(250, 55)",0.03361892131534947,0.03363963033170014,0.033618921275198804,2.0709016350671516e-05,4.015066751295038e-11,2.0672792606634003e-05,2.0672378425503977e-05
fixed,LR_a0p3_qp05,1000000,-1,free5/A_vs_autograd,"(299, 30)",0.055464332460563696,0.05544247653893253,0.05546433273529583,2.1855921631168396e-05,2.747321328766539e-10,2.1108849530778652e-05,2.110928665470592e-05
fixed,LR_a0p3_qp05,5000000,-1,row_centered/A_vs_autograd,"(132, 24)",0.10465674606238788,0.10462975882204373,0.10465675189230161,2.698724034415345e-05,5.829913732324776e-09,2.2092595176440875e-05,2.2093135037846035e-05
fixed,LR_a0p3_qp05,5000000,-1,row_centered/A_vs_autograd,"(157, 22)",-0.29866138448159296,-0.29869352186915277,-0.2986613904949778,3.213738755980522e-05,6.013384845626746e-09,2.597387043738306e-05,2.5973227809899556e-05
fixed,LR_a0p3_qp05,5000000,-1,row_centered/A_vs_autograd,"(189, 87)",1.8628396898117194,1.8627743410951165,1.8628397450187628,6.534871660290875e-05,5.52070433812446e-08,5.7255486821902336e-05,5.725679490037526e-05
fixed,LR_a0p3_qp05,5000000,-1,row_centered/A_vs_autograd,"(282, 42)",0.27025607038218374,0.27023065795169365,0.2702560604444678,2.5412430490090454e-05,9.937715927943458e-09,2.5404613159033878e-05,2.540512120888936e-05
fixed,LR_a0p3_qp05,5000000,-1,row_centered/Q_vs_autograd,"(189, 87)",0.41837904726787595,0.41834969417390133,0.418379072066006,2.9353093974615607e-05,2.479813004940823e-08,2.836699388347803e-05,2.836758144132012e-05
fixed,LR_a0p3_qp05,5000000,-1,whole/Q_vs_autograd,"(147, 22)",0.6390126162684681,0.6389786730355242,0.6390125914032331,3.394323294381163e-05,2.486523498212989e-08,3.277957346071049e-05,3.278025182806467e-05
fixed,LR_a0p3_qp05,5000000,-1,whole/Q_vs_autograd,"(189, 87)",0.8488488178595057,0.8487892611059763,0.8488488726782005,5.955675352942169e-05,5.481869480572499e-08,3.697578522211953e-05,3.697697745356402e-05
fixed,LR_a0p3_qp05,5000000,-1,free5/A_vs_autograd,"(254, 48)",-0.19144178818895696,-0.191468217834171,-0.19144178789808497,2.642964521404334e-05,2.908719931582482e-10,2.3829364356683423e-05,2.38288357579617e-05
fixed,LR_a0p3_qp05,5000000,-1,free5/A_vs_autograd,"(271, 80)",-0.039383983945092765,-0.0394076070586155,-0.039383984973075645,2.3623113522733274e-05,1.0279828793757773e-09,2.0788152141172312e-05,2.0787679699461515e-05
