step,mean,within,between,total,within_flow,between_flow,arm,iv,seed,task
3,-0.776965717291284,0.7640594401176652,0.9772452196389704,1.7413046597566535,-0.0005780795669509161,-0.02339831137218958,SNA,none,2,22
4,-0.8025165759843812,0.7654806980654864,0.972683408107985,1.7381641061734792,0.0014212579478211462,-0.004561811530986178,SNA,none,2,22
5,-0.8245572682890139,0.7686226522466316,0.9873763833068447,1.755999035553472,0.00314195418114519,0.014692975198859835,SNA,none,2,22
6,-0.8431735144780526,0.7733906818897459,1.0142316282509143,1.7876223101406643,0.004768029643114198,0.026855244944069784,SNA,none,2,22
7,-0.8603774334820226,0.7793552968842989,1.043470096361371,1.8228253932456837,0.005964614994553177,0.02923846811045718,SNA,none,2,22
8,-0.868682438176765,0.7861122992497778,1.0745852881352527,1.860697587385037,0.006757002365478636,0.03111519177388178,SNA,none,2,22
9,-0.8764969037374314,0.7951629249223154,1.1135798412056683,1.9087427661279983,0.009050625672537676,0.03899455307041489,SNA,none,2,22
10,-0.8842700933626096,0.8051904668372125,1.1536657179261263,1.9588561847633401,0.010027541914897358,0.04008587672045759,SNA,none,2,22
11,-0.8915106441169859,0.8161011733475189,1.19821167267976,2.014312846027301,0.010910706510306387,0.044545954753634716,SNA,none,2,22
12,-0.9055804049961543,0.8280087058506129,1.2317046047546032,2.059713310605209,0.011907532503093687,0.03349293207484311,SNA,none,2,22
13,-0.9255317571803567,0.8406083692231274,1.249606024569668,2.0902143937928077,0.012599663372514676,0.017901419815065146,SNA,none,2,22
14,-0.9457461383174046,0.8540803643485245,1.266890929209942,2.1209712935584695,0.013471995125396843,0.01728490464027373,SNA,none,2,22
15,-0.9714207900132541,0.8689407216804722,1.2811852886242838,2.1501260103047555,0.014860357331947776,0.014294359414342145,SNA,none,2,22
16,-0.9991470434953513,0.8845334595601944,1.2905393710977333,2.175072830657921,0.015592737879722207,0.009354082473449016,SNA,none,2,22
17,-1.0249446942675575,0.899785056189988,1.3014479428173058,2.2012329990072845,0.015251596629793824,0.01090857171957209,SNA,none,2,22
18,-1.0460572997416682,0.9147017141582452,1.315545577517571,2.230247291675812,0.014916657968257245,0.014097634700265628,SNA,none,2,22
19,-1.0612673517489717,0.929336977995225,1.3287183119253256,2.2580552899205344,0.014635263836979466,0.013172734407754617,SNA,none,2,22
20,-1.0724885821807688,0.9434146646688673,1.3437815105802122,2.2871961752490684,0.014077686673642557,0.015063198654886534,SNA,none,2,22
0,-0.8861956658315112,0.8705764959302468,1.2380476981665973,2.1086241940968424,0.0,0.0,SNA,none,2,23
1,-0.9015437376570962,0.8695416733200817,1.2158176478030511,2.0853593211231374,-0.0010348226101650519,-0.02223005036354659,SNA,none,2,23
2,-0.9170394801344309,0.869511143191782,1.1996072435726057,2.0691183867643836,-3.0530128299812994e-05,-0.016210404230445032,SNA,none,2,23
3,-0.941868402436056,0.8697286048166377,1.1720950827446723,2.0418236875613216,0.00021746162485608824,-0.027512160827933698,SNA,none,2,23
4,-0.9680517914615112,0.8696959465021118,1.1293322467238698,1.9990281932259928,-3.265831452609898e-05,-0.04276283602080276,SNA,none,2,23
