step,mean,within,between,total,within_flow,between_flow,arm,iv,seed,task
18,-0.3558071150619031,0.22080321940213227,0.41074263390485094,0.6315458533069801,0.011628311459160047,0.01825192443221157,LR,l2,1,21
19,-0.36022232711065655,0.2326369374188847,0.4290491159295675,0.6616860533484622,0.011833718016752412,0.018306482024716613,LR,l2,1,21
20,-0.3686430617063886,0.24374318913450035,0.4430885580885833,0.6868317472230792,0.01110625171561565,0.014039442159015907,LR,l2,1,21
0,-0.17049189952807972,0.1015724951977813,0.2468210255364655,0.3483935207342453,0.0,0.0,LR,l2,1,22
1,-0.18790544039432724,0.10111795567510289,0.233793606704025,0.33491156237912767,-0.00045453952267841683,-0.013027418832440555,LR,l2,1,22
2,-0.20509263788504487,0.10107358912883671,0.2233285123794849,0.3244021015083214,-4.436654626617631e-05,-0.010465094324540096,LR,l2,1,22
3,-0.2149516815667539,0.10206367439004352,0.21950447175053622,0.3215681461405823,0.0009900852612067979,-0.003824040628948649,LR,l2,1,22
4,-0.2148082476084512,0.1038146716251403,0.21991705506634918,0.3237317266914905,0.0017509972350967992,0.0004125833158129693,LR,l2,1,22
5,-0.21131659501305144,0.10683738354192568,0.22146247237444427,0.3282998559163714,0.0030227119167853824,0.001545417308095124,LR,l2,1,22
6,-0.20892598889117447,0.110822361989351,0.22292719332758382,0.3337495553169352,0.003984978447425318,0.0014647209531394986,LR,l2,1,22
7,-0.20936090186938597,0.11614767525390404,0.22901859264967755,0.3451662679035799,0.005325313264553033,0.006091399322093574,LR,l2,1,22
8,-0.21138984807411154,0.12311334454697906,0.23847712634311347,0.36159047089009405,0.006965669293075036,0.009458533693436126,LR,l2,1,22
9,-0.21232650590826058,0.1313825871232376,0.25209124076823947,0.38347382789147616,0.008269242576258553,0.013614114425126028,LR,l2,1,22
10,-0.2120795605180024,0.14098674488913737,0.26891127504938356,0.40989801993852104,0.009604157765899743,0.01682003428114412,LR,l2,1,22
11,-0.21284056083582142,0.15136409098020814,0.28546711055908097,0.43683120153928806,0.010377346091070733,0.016555835509697317,LR,l2,1,22
12,-0.21191887470359913,0.1625819615977885,0.3018627241803907,0.46444468577818093,0.011217870617580405,0.01639561362130967,LR,l2,1,22
13,-0.21667604441377075,0.17431921786480778,0.3163754676855026,0.4906946855503066,0.011737256267019283,0.014512743505112044,LR,l2,1,22
14,-0.2182825225854322,0.18652425162102368,0.33192169216800893,0.518445943789029,0.012205033756215925,0.0155462244825062,LR,l2,1,22
15,-0.221994677867158,0.19933805037814292,0.347485123142195,0.5468231735203424,0.012813798757119174,0.015563430974186086,LR,l2,1,22
16,-0.22460793588619282,0.2121599047739069,0.3635294229105554,0.5756893276844554,0.012821854395764,0.016044299768360387,LR,l2,1,22
17,-0.23023724327975356,0.22413705957128444,0.3753538982525113,0.5994909578237959,0.011977154797377508,0.011824475341955928,LR,l2,1,22
18,-0.2348649771494288,0.23636873857603422,0.38807911989737826,0.6244478584734167,0.012231679004749809,0.012725221644867082,LR,l2,1,22
19,-0.24412708433688915,0.24764657680606014,0.3981147138452905,0.6457612906513497,0.011277838230025901,0.010035593947912144,LR,l2,1,22
20,-0.24887628075878396,0.2583807267829322,0.40805792269306757,0.6664386494759941,0.010734149976872165,0.009943208847777173,LR,l2,1,22
0,-0.1429215425279231,0.10874471768732283,0.3301207978240119,0.438865515511337,0.0,0.0,LR,l2,1,23
1,-0.15041919599088044,0.10832873588236692,0.32582175442862144,0.4341504903109871,-0.00041598180495589784,-0.004299043395390285,LR,l2,1,23
2,-0.1583183551973455,0.10791660251391212,0.3182756009485195,0.42619220346243225,-0.000412133368454805,-0.007546153480102087,LR,l2,1,23
3,-0.17411310325880242,0.10819663429418952,0.30756475437523445,0.41576138866942436,0.000280031780277399,-0.010710846573284943,LR,l2,1,23
4,-0.19130671086555193,0.10959846029406893,0.3015307042187836,0.4111291645128516,0.0014018259998794006,-0.006034050156450864,LR,l2,1,23
