seed,arm,k,s,neffT2,zero2,gtr2,zarm2,dmean2,effbar2,neffS2,zeroS2
37,S2dyn_10r,2,4500,0.009195633504092592,0.9651833333333333,0.008386225449542204,0.1228601098915562,-68.29024989920904,-68.16738978931748,0.009195633504092592,0.9651833333333333
37,S2dyn_10r,2,5250,0.009876788456071808,0.9627916666666667,0.009072663997113704,-0.28185344801904866,-67.9014360640131,-68.18328951203215,0.009876788456071808,0.9627916666666667
37,S2dyn_10r,2,6000,0.012330830219359646,0.95765,0.01134905702372392,-0.24402746339153963,-67.7679507688788,-68.01197823227035,0.012330830219359646,0.95765
37,S2dyn_m50,1,0,0.0085199600364381,0.926025,0.007244351223607858,0.22200679288228956,-45.77473024085487,-45.55272344797258,0.004655927154697729,0.9631583333333333
37,S2dyn_m50,1,750,0.002153629269085326,0.98725,0.0013599905068675676,0.9532219327800393,-63.33173191421926,-62.37850998143922,0.0012263688909661312,0.9937833333333334
37,S2dyn_m50,1,1500,0.00546033646384901,0.9768833333333333,0.004545243854324023,1.820079184073085,-62.76954925993085,-60.94947007585776,0.002970552765545595,0.9882833333333333
37,S2dyn_m50,1,2250,0.008016562313397974,0.969875,0.007088197818895181,2.1658168953870134,-61.536701692252606,-59.370884796865596,0.004012804633074186,0.98495
37,S2dyn_m50,1,3000,0.021808737486782855,0.929975,0.02059664757400751,5.862282140006612,-60.094488147993296,-54.23220600798668,0.010963065042253828,0.9645416666666666
37,S2dyn_m50,1,3750,0.034983361332778025,0.9039916666666666,0.03346080315212409,6.501836948232132,-59.310704305723554,-52.80886735749142,0.017229728927299785,0.9518583333333334
37,S2dyn_m50,1,4500,0.05188170996951106,0.8801,0.050060364581644534,7.01099072207779,-58.186246018668825,-51.17525529659103,0.02570954125059448,0.939425
37,S2dyn_m50,1,5250,0.061670391940125587,0.8687416666666666,0.059819006652136644,5.28138436563065,-56.95561203880347,-51.67422767317282,0.03042304121728851,0.9340166666666667
37,S2dyn_m50,1,6000,0.08138645255826099,0.8453166666666667,0.07920280171980461,4.722659157342289,-55.73504946209987,-51.01239030475759,0.04050040444947273,0.9226333333333333
37,S2dyn_m50,2,0,0.08138645255826099,0.8453166666666667,0.07920280171980461,4.722659157342289,-55.73504946209987,-51.01239030475759,0.04050040444947273,0.9226333333333333
37,S2dyn_m50,2,750,0.015486917403493465,0.963175,0.01483306014786164,-5.333355160716355,-69.19397945022385,-74.5273346109402,0.007971337329497234,0.981975
37,S2dyn_m50,2,1500,0.019546263939409357,0.95455,0.018818011410534383,-4.8536285939940385,-68.82871495027294,-73.68234354426698,0.0097361807219289,0.9776666666666667
