registered,arm,seed,unit,t_sub,win_len,d_wmu,d_b,share_unit,routes_same_sign,share_in_unit_interval,d_wmu_ff,d_b_ff,n_ff_intervals,share_unit_ff,frac_db_ff,frac_dwmu_ff,pred,pred_meanrecip,pred_ff
0,E_1216,0,24,1421000,1421,-3.245168919996999,-0.3186931027783757,0.08942352446355145,1,1,1.1996068376212756,0.27089377948634674,1279,0.18421874587116932,-0.8500145661286264,-0.36965928960714467,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,25,251000,251,-1.6919975913329957,-0.29457612094040897,0.14828350899866713,1,1,-1.2713618640985491,-0.19416965818019793,226,0.13249094627339342,0.6591493484275914,0.7513969704276826,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,26,153000,153,-3.368110337419946,-0.5284448372370889,0.13561846645315406,1,1,-0.3228497941907913,-0.21984592272819709,138,0.40509979326226175,0.41602435530950665,0.09585487464704083,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,27,251000,251,-2.9353828851402284,-0.5155658707324164,0.14939829803472257,1,1,-0.6703679132023419,-0.008199972399944633,226,0.012084232946960734,0.015904800657762112,0.22837494781206957,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,29,451000,451,-1.8695606812608263,-0.01697041948582001,0.008995568363067802,1,1,-0.6539834342595243,-0.07568574993173176,406,0.10372611530199076,4.459863234080488,0.3498059414784439,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,30,41000,41,-0.5451318125693447,-0.09200298506630133,0.14440113051071252,1,1,-0.5892373164230282,-0.06393573534394958,37,0.09788483338525565,0.6949310970494569,1.0809079617749753,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,32,1021000,1021,-2.4290334402757594,-0.5474773360277538,0.18393258992586556,1,1,-0.6151266828550529,-0.25640961188922934,919,0.2942041696203399,0.4683474456671041,0.2532392813765544,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,34,221000,221,-6.22443148451463,-0.7361207922462043,0.10575608988727626,1,1,1.268394755125717,0.11842903154503676,199,0.08539587558513158,-0.1608826062142078,-0.20377680407942095,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,36,139000,139,-0.8348002076447569,-0.20976189644616738,0.20081323611555085,1,1,-1.0716304652702044,-0.1273900185255491,126,0.10624507274660477,0.6073077173872808,1.2836969318606457,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,38,11000,11,-0.9380033618054568,-0.06005593484387761,0.060172712228117355,1,1,-0.5918715726323995,-0.06892478947461278,10,0.10430564304990951,1.147676572744905,0.6309908863153462,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,40,621000,621,-3.023122163749342,-0.3265352789213143,0.09748318582122541,1,1,-0.035983385400469636,0.06909693294847363,559,2.0866665780314024,-0.21160633294120734,0.011902722897523354,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,41,11000,11,-2.2146761024152557,-0.1456110032646265,0.06169207250856169,1,1,-1.0380467653306216,-0.0558511638950876,10,0.051057015835673604,0.3835641719574334,0.4687126773068805,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,43,231000,231,-1.7727431308147317,-0.2644794397854966,0.129823537006844,1,1,-1.7781343847945272,-0.20746811465264248,208,0.1044862275860378,0.7844394816508513,1.003041192988472,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,45,161000,161,-4.657688633814786,-0.5676991456541032,0.10864249116298205,1,1,-2.952652674795127,-0.2940104930612124,145,0.09055774432410169,0.5178984243889488,0.6339308843787645,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,46,191000,191,-0.31886326339713733,0.040947764708791023,-0.14733890301925814,0,0,0.32912129264073736,0.029571106211608522,172,0.08244140747398813,0.7221665559014003,-1.0321706211443489,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,47,21000,21,-2.576910200705022,-0.13274279300876657,0.04898885330214638,1,1,-1.5093582861561217,-0.11035481367656352,19,0.06813232151296614,0.831343165043058,0.5857240526826171,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,48,51000,51,-2.6233677886458864,-0.2348625891282481,0.08217062940571951,1,1,-2.3485752149108583,-0.27596982563644357,46,0.10514958645133216,1.1750267535616268,0.8952519829951603,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,50,21000,21,-0.44940026436933245,0.007365640269215046,-0.01666303920017538,0,0,-0.09531307475925033,-0.01864524252625599,19,0.1636145826859043,-2.5313810944833186,0.21208949419068163,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,51,111000,111,-3.6528110206473343,-0.6176056119513049,0.14462420533789436,1,1,-1.5921130931048113,-0.37441759330721514,100,0.19039499149151207,0.6062405944211791,0.435859693837286,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,55,241000,241,-0.18020797688012635,0.11728983044295926,-1.864165381287737,0,0,-0.3919046660915888,0.008439073568681899,217,-0.022007381452816468,0.07195059909977458,2.1747353967148872,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,57,571000,571,-2.2718764724289713,-0.20686708206966387,0.08345642763012892,1,1,-1.0790796885846525,-0.09953099219577724,514,0.08444772630931167,0.4811349935426629,0.47497287008345,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,58,211000,211,-1.6510582347472953,-0.29009397470554,0.1494442183837354,1,1,-1.6022345667713447,-0.22955941587780515,190,0.1253194507964346,0.7913277623598337,0.9704288637744971,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,59,211000,211,-0.4529575151779488,-0.18396619927851354,0.28883553101097287,1,1,-0.39439817249390585,-0.08118458447570776,190,0.17070548350619633,0.4413016347247533,0.8707178030570101,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,60,771000,771,-2.572164385753922,-0.5209911376056695,0.16843354098141228,1,1,0.0878236973845058,-0.11107772882166544,694,4.776708465447614,0.21320464169918094,-0.03414388981937636,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,61,541000,541,-1.3427756477483452,-0.0669569267884178,0.04749619041073786,1,1,0.3666546902994775,-0.062142439155424445,487,-0.2040720493903125,0.9280957495524397,-0.27305729807828155,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,62,51000,51,-2.7689945590931018,-0.3020662358730384,0.09835892417635086,1,1,-2.5938034276741657,-0.24210012165432548,46,0.08536965994899649,0.8014802480475929,0.9367311391625434,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,63,41000,41,-0.2702196501959513,0.08494590746842867,-0.45848864613997925,0,0,0.6350128841856764,0.05644577662720707,37,0.08163290132319556,0.6644908308053089,-2.3499878107502292,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,64,101000,101,-2.824334144307908,-0.39248064194345567,0.12200908912161006,1,1,0.8747522392445264,0.0653646009450386,91,0.06952816729871417,-0.16654222899089025,-0.30971981166161944,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,66,61000,61,-1.670053221695511,-0.09558944687837467,0.054138613990101704,1,1,-1.3299897923283148,-0.14903714607790342,55,0.10076702608169129,1.5591380737617835,0.7963756933315281,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,69,321000,321,-1.2376842366141876,-0.06357036340329492,0.04885313250953414,1,1,-0.4491268778693694,-0.0459721766066432,289,0.09285450293436287,0.723169951302503,0.362876786003191,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,70,311000,311,-0.9074260524738698,-0.17234710765453087,0.15961418010615888,1,1,-0.8795222511610133,-0.09680385662550961,280,0.09915115026984007,0.5616796123991391,0.9692495038722068,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,74,111000,111,-2.425065634491439,-0.25643184652755835,0.09563009040385581,1,1,-1.6584456354196417,-0.15525250056932238,100,0.08559996698936181,0.6054337738141959,0.6838765977430689,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,75,161000,161,-3.216187933090609,-0.2946862599904563,0.08393529468278844,1,1,0.7883830536788352,0.13205470882475812,145,0.1434694600812215,-0.44811966743557996,-0.24512965973391837,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,76,41000,41,-4.65932767726144,-0.9007422121389936,0.16200195861856775,1,1,-0.4749057213075758,-0.19476336404512118,37,0.2908352323633761,0.21622542101431705,0.10192580436555725,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,77,561000,561,-0.3164144973712091,-0.19902263980165813,0.3861239818560259,1,1,0.9272811120937285,0.07929812930975882,505,0.07877981787026757,-0.3984377324548891,-2.93058984274626,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,78,211000,211,-0.027347480139855662,-0.09817805719814032,0.7821361236939497,1,1,0.023885760529223282,0.04830837005998784,190,0.6691453954181583,-0.4920485436220558,-0.8734172365084804,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,79,201000,201,-1.6658026819109724,-0.19155985418157861,0.10313541403961717,1,1,-1.9747794024107792,-0.19120151671048635,181,0.0882747927382742,0.9981293707252846,1.1854821845678358,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,80,151000,151,-3.663209406157792,-0.29711342614628933,0.0750225268815854,1,1,-1.0304918190651136,-0.002790836323130444,136,0.002700941807720386,0.009393167987488803,0.2813084661043058,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,82,591000,591,-3.8805864262679393,-0.48427648722253025,0.11094884233953334,1,1,-0.32706081815219845,0.03725399290953901,532,-0.12854767267246278,-0.07692711476289453,0.08428128695660603,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,83,231000,231,-3.545078634673885,-0.13775936175726589,0.037405762048388067,1,1,-0.30642706453886015,0.008080910482025291,208,-0.02708568678410341,-0.05865961034476902,0.0864373110209017,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,85,91000,91,-1.1522466299781318,-0.11624397739674208,0.0916396043619965,1,1,-1.1470871119784949,-0.10641804945319633,82,0.08489637915144356,0.9154715094614343,0.995522210379791,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,89,71000,71,-1.4686447691550573,-0.1942053320470336,0.11679064270834794,1,1,-0.657757469814765,-0.17898441508191984,64,0.2139063650483083,0.9216246186205254,0.4478669611802635,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,90,559000,559,-1.4100070222083616,-0.10329817875700797,0.06825997736022572,1,1,-0.079878575634064,0.03240771483000422,504,-0.6826864792650371,-0.31372977936269386,0.05665118994156333,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,91,741000,741,-0.16581816898304602,-0.20027756262524044,0.5470633643976286,1,1,-0.16469460453872464,-0.0614839802694469,667,0.27183820396432845,0.3069938512508053,0.9932241174099791,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,93,121000,121,-1.9921763019121954,-0.2284995951480946,0.10289641791068216,1,1,0.16133688958446502,0.006258584864438116,109,0.037343400142622864,-0.027389916644630453,-0.08098524685270345,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,94,291000,291,-6.980063525048527,-1.2781646200012915,0.15477468017972526,1,1,11.281916214147559,0.866770691664181,262,0.07134686228925133,-0.6781369771159095,-1.6163056645059868,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,95,91000,91,-0.9994016104769399,-0.15567395326170796,0.13477382618833705,1,1,-1.0392568050013142,-0.09225058463429159,82,0.0815289281177388,0.5925884369314273,1.0398790577347123,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,97,320000,320,-1.1970927076535283,-0.17707043488586738,0.12885692346445027,1,1,-0.960947559872485,-0.10395669140178893,289,0.09762069338853087,0.5870923142465613,0.8027344530032923,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,99,911000,911,-0.21068586545351842,-0.1097776020092347,0.3425588660023906,1,1,0.30341125903574595,0.029526905230375308,820,0.08868585340902557,-0.2689702151436269,-1.4401120757798753,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,0,101000,101,-1.3584344471049388,-0.19319212593836532,0.12450942081988535,1,1,-1.3137880688439254,-0.1542163874025695,91,0.10505171612140854,0.798254000537111,0.9671339472021174,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,1,331000,331,-4.027516377714505,-0.28250897423426125,0.06554694025326917,1,1,-2.5031141324823754,-0.13186118000519834,298,0.05004266240381339,0.4667504116023472,0.6215031542349226,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,2,91000,91,-0.7595528304901649,-0.067741237040706,0.08188289956301205,1,1,-0.32333320325635206,-0.057437969031510716,82,0.15084642223935915,0.8479025707339237,0.42568889256550374,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,3,27000,27,-0.6647701361338108,-0.15162707769385708,0.1857270886349005,1,1,-0.6614961013916698,-0.06498310751980396,25,0.08944936995123638,0.42857191807790573,0.9950749370885068,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,4,131000,131,-1.1256511846523019,-0.5889185079373078,0.34347889763981043,1,1,-0.703152080263374,-0.45797745512943244,118,0.3944240854871547,0.7776584518178966,0.6246624974508137,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,5,401000,401,-0.45803023092556394,0.05900762674698967,-0.1478804111071914,0,0,-0.7648456784517095,-0.06207389908636285,361,0.07506642819023703,-1.0519640003913495,1.6698585089157731,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,6,81000,81,-1.290585740896681,-0.008982240372829131,0.006911712586250888,1,1,0.10288067373113718,-0.01748068678032607,73,-0.20469191395069694,1.946138831154458,-0.07971626407375083,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,7,321000,321,-3.601742505979381,-0.4139078951575925,0.1030736876498015,1,1,-1.2508977021860352,-0.20768669147799912,289,0.14238921819002884,0.5017703066498016,0.34730347883264157,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,8,51000,51,-1.499481242304995,-0.05655411291895751,0.036345005098433615,1,1,-0.8005200569672581,-0.0912976216619148,46,0.10237251834057585,1.6143409727378273,0.5338646689148994,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,9,1261000,1261,-1.2187113092363546,-0.5342060100789112,0.30475254262852836,1,1,1.699174137899103,-0.015212459611008755,1135,-0.00903373265980355,0.028476766123918407,-1.3942384262962217,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,11,81000,81,-0.17561850979466342,0.014499571222123642,-0.08999296637989936,0,0,0.4629560155058888,0.02036594955323706,73,0.04213743844798291,1.4045897800179374,-2.636145905389961,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,12,4000,4,-0.4626243654423625,-0.051862351088320935,0.1008040624217514,1,1,-0.4626243654423625,-0.051862351088320935,4,0.1008040624217514,1.0,1.0,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,13,381000,381,-1.7816614031049451,-0.5843664446121579,0.24698206539538092,1,1,-0.3628396910055549,-0.22609855357577113,343,0.3839087640445285,0.38691228023168234,0.2036524394440073,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,14,461000,461,-1.0815646067197604,-0.1212155688345522,0.1007794868074616,1,1,-1.0965756273834104,-0.12950562738841853,415,0.105625648287494,1.0683910378309693,1.0138789865814641,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,15,81000,81,-1.5882336224965456,-0.1933259006839183,0.10851498261410335,1,1,-1.4492557916722868,-0.14593376559398674,73,0.09148365153798901,0.7548588423885519,0.9124953477525558,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,16,71000,71,-0.8016482055745158,0.007296892876809624,-0.00918597698545818,0,0,-0.3017555869275949,-0.006394957388039413,64,0.02075270515014618,-0.8763945827358015,0.3764189638662464,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,18,81000,81,-2.5532025832829,-0.26913904327758686,0.09536019337445677,1,1,-1.9886763786018058,-0.16852298340203742,73,0.07812119100827788,0.6261558388175764,0.7788948638947294,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,19,141000,141,-1.9999820745345858,-0.23564682169617512,0.1054051600842485,1,1,-1.8464351814178288,-0.1980121673575752,127,0.09685363992189958,0.8402921199288521,0.9232258653355737,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,20,81000,81,-0.517148319054364,0.04519485691923508,-0.09576125729594705,0,0,0.06871312316399969,0.03511772278623271,73,0.3382205207406779,0.7770291838513707,-0.13286927682496516,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,21,671000,671,-0.7915273017330469,-0.14371206268664505,0.15366340228398873,1,1,0.22236818573973233,0.0016744487709614841,604,0.007473795220353744,-0.011651414221313576,-0.2809355852323196,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,22,81000,81,-0.36659026240806636,0.06115416609052149,-0.2002191843983722,0,0,0.27334386599151395,0.017126718745186897,73,0.058961972898947876,0.28005808663690424,-0.7456386435252442,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,23,4000,4,-0.5564244882447404,-0.06673263185527034,0.10708797140047183,1,1,-0.5564244882447404,-0.06673263185527034,4,0.10708797140047183,1.0,1.0,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,24,51000,51,-0.3705329211450987,-0.016764954859965542,0.04328697857291199,1,1,-0.12232637479198306,-0.02618125180339337,46,0.17629567183594386,1.5616655113050022,0.3301363193692598,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,25,81000,81,-1.5839350212463295,-0.22683901348436564,0.12527185012242675,1,1,-1.4070834950246347,-0.17048223171849752,73,0.10806664269415658,0.751556044526034,0.8883467289696404,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,26,81000,81,-0.1971960336038734,0.052592736372773174,-0.36370357647323354,0,0,0.5307894000806925,0.06715547049490583,73,0.11231047175011322,1.276896300259282,-2.6916839572287756,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,28,211000,211,-1.940564667271333,-0.07670829125696388,0.03802573713818405,1,1,-0.30590649610292087,0.005027421854742947,190,-0.01670911101845559,-0.06553948435510924,0.15763787791368072,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,29,421000,421,-0.7315211743990258,-0.1407541325256476,0.16136434381238612,1,1,-0.8956409650811666,-0.11336541468414829,379,0.11235351624884272,0.8054144674117567,1.2243541218297227,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,32,80000,80,-5.750642636512117,0.19606980303787758,-0.03529880855216747,0,0,-1.4488197646908016,0.5612616104220214,73,-0.6323660119875975,2.862560178701228,0.25194049713538463,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,33,102000,102,-4.236536979831911,-0.22867975249759454,0.05121358406679002,1,1,-1.1329840297241285,0.021490825642502265,92,-0.019335094055081613,-0.09397782448067117,0.26743163935962644,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,34,591000,591,-1.1986609333308635,-0.16204105936252766,0.11908636882480159,1,1,-0.20604818797333418,-0.01397731637160722,532,0.06352589175159672,0.08625786838591543,0.17189864309731298,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,37,41000,41,-1.2189628673115465,-0.02843941644682424,0.022798913243238156,1,1,-0.6428699822444104,-0.0513731183387336,37,0.07399874524583921,1.8064055018425074,0.5273909480624922,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,38,71000,71,-1.5008110572638031,-0.1609297921892079,0.09684409710586374,1,1,-1.3703166803714613,-0.15308572739570536,64,0.10048935633499578,0.9512578455064422,0.9130507626121491,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,39,341000,341,-9.849319920673132,-2.210442911353752,0.18329074478011464,1,1,-1.5600041286834925,-1.2793540949457807,307,0.45057861466684107,0.5787772615046908,0.15838698927924327,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,40,81000,81,-3.2848127889526744,-0.5865017782447808,0.15149938556126288,1,1,-1.0756267314091394,-0.24879075632595563,73,0.18784919304517503,0.4241943768192992,0.3274545006116135,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,42,151000,151,-6.812392064674299,-0.4841328511168186,0.06635115437885503,1,1,-0.7578675491063689,0.17140547170168208,136,-0.29227034160540294,-0.3540463558840854,0.11124837530069588,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,43,31000,31,-0.2608470981833797,0.052133004571272235,-0.24978190820290638,0,0,0.15744072149165,0.01391532400760323,28,0.08120707948797683,0.26691966292829467,-0.6035747477664737,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,44,401000,401,0.03929405497067506,-0.0826128275374387,1.9070906824544576,0,0,0.5295512515930811,0.0648335717291742,361,0.10907676169588812,-0.7847881940585165,13.476625204201559,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,45,121000,121,-1.8194718632306355,-0.20263828899657454,0.10021130093896365,1,1,-1.7186076599025646,-0.17648970754042814,109,0.0931296251962828,0.8709593256751766,0.9445640213699279,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,46,661000,661,-1.9708663566621745,-0.014112134058074766,0.007109464472309813,1,1,-0.16121041722961776,-0.09929471525340663,595,0.3811622224367387,7.03612329962183,0.08179672694938127,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,48,491000,491,-0.44525722148048796,-0.1942130591428377,0.3037092809903971,1,1,-0.03683595862712408,-0.05267984853335195,442,0.5884977212897402,0.27124771509112344,0.0827296152651806,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,49,551000,551,-1.8456943441149463,-0.1600860281316301,0.07981234154381796,1,1,1.6751856817667725,0.2508079544965134,496,0.13022262886762082,-1.5667073349479792,-0.9076181476679246,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,50,1441000,1441,-2.6750845165165913,-0.39430371621222093,0.1284632918077192,1,1,0.5578319213381249,-0.05990219106118164,1297,-0.12030249936645614,0.15191891072348215,-0.20852870924037778,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,51,249000,249,-2.410114747515003,-0.26015524403624646,0.09742656917067534,1,1,-1.8200085268038402,-0.1741271153129776,225,0.08731959433217788,0.6693200283470631,0.7551543048646943,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,54,141000,141,-0.9547397888606833,-0.15255357533596747,0.13777159718341322,1,1,-1.0298152809685255,-0.11816862283944918,127,0.10293578372263959,0.7746040863297199,1.0786345064736766,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,55,351000,351,-2.7809169964434055,-0.3007706065239155,0.09759931741111819,1,1,-1.5449928176577639,-0.08958384042995703,316,0.05480553021891338,0.2978477234371433,0.555569554802858,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,1,56,31000,31,-0.5697883108670627,-0.029935679127254256,0.04991576062771464,1,1,-0.19008316258185687,-0.02243093156267284,28,0.1055503243348071,0.7493042488637284,0.3336031276117301,0.09758305318051957,0.09758305318051957,0.09758305318051957
