env,checkpoint,layer,seed,branch,pool,first_auc,all_auc,first_end_ce,all_end_ce,first_end_acc,all_end_acc
RL,10,1,0,C5,0,2.147912861406803,2.2327187064290044,1.8547587394714355,2.1012109518051147,0.3016666769981384,0.18416666984558105
RL,10,1,0,D5,0,2.147912861406803,2.2327187064290044,1.8547587394714355,2.1012109518051147,0.3016666769981384,0.18416666984558105
RL,10,1,0,C10,0,2.147912861406803,2.2327187064290044,1.8547587394714355,2.1012109518051147,0.3016666769981384,0.18416666984558105
RL,10,1,0,D10,0,2.147912861406803,2.2327187064290044,1.8547587394714355,2.1012109518051147,0.3016666769981384,0.18416666984558105
RL,10,1,0,RB20,0,2.147912861406803,2.2327187064290044,1.8547587394714355,2.1012109518051147,0.3016666769981384,0.18416666984558105
RL,10,1,0,RC20,0,2.147912861406803,2.2327187064290044,1.8547587394714355,2.1012109518051147,0.3016666769981384,0.18416666984558105
RL,10,1,0,RD20,0,2.147912861406803,2.2327187064290044,1.8547587394714355,2.1012109518051147,0.3016666769981384,0.18416666984558105
RL,10,1,1,A,0,2.2719362422823908,2.280136675834656,2.2030885219573975,2.2258932113647463,0.14750000834465027,0.1305000051856041
RL,10,1,1,B20,0,2.2719362422823908,2.280136675834656,2.2030885219573975,2.2258932113647463,0.14750000834465027,0.1305000051856041
RL,10,1,1,C20,0,2.2719362422823908,2.280136675834656,2.2030885219573975,2.2258932113647463,0.14750000834465027,0.1305000051856041
RL,10,1,1,D20,0,2.2719362422823908,2.280136675834656,2.2030885219573975,2.2258932113647463,0.14750000834465027,0.1305000051856041
RL,10,1,1,C5,0,2.2719362422823908,2.280136675834656,2.2030885219573975,2.2258932113647463,0.14750000834465027,0.1305000051856041
RL,10,1,1,D5,0,2.2719362422823908,2.280136675834656,2.2030885219573975,2.2258932113647463,0.14750000834465027,0.1305000051856041
RL,10,1,1,C10,0,2.2719362422823908,2.280136675834656,2.2030885219573975,2.2258932113647463,0.14750000834465027,0.1305000051856041
RL,10,1,1,D10,0,2.2719362422823908,2.280136675834656,2.2030885219573975,2.2258932113647463,0.14750000834465027,0.1305000051856041
RL,10,1,1,RB20,0,2.2719362422823908,2.280136675834656,2.2030885219573975,2.2258932113647463,0.14750000834465027,0.1305000051856041
RL,10,1,1,RC20,0,2.2719362422823908,2.280136675834656,2.2030885219573975,2.2258932113647463,0.14750000834465027,0.1305000051856041
RL,10,1,1,RD20,0,2.2719362422823908,2.280136675834656,2.2030885219573975,2.2258932113647463,0.14750000834465027,0.1305000051856041
RL,10,1,2,A,0,2.1063399255275725,2.1905139195919037,1.8029649257659912,2.016257095336914,0.29333335161209106,0.2135000079870224
RL,10,1,2,B20,0,2.1063399255275725,2.1905139195919037,1.8029649257659912,2.016257095336914,0.29333335161209106,0.2135000079870224
RL,10,1,2,C20,0,2.1063399255275725,2.1905139195919037,1.8029649257659912,2.016257095336914,0.29333335161209106,0.2135000079870224
RL,10,1,2,D20,0,2.1063399255275725,2.1905139195919037,1.8029649257659912,2.016257095336914,0.29333335161209106,0.2135000079870224
RL,10,1,2,C5,0,2.1063399255275725,2.1905139195919037,1.8029649257659912,2.016257095336914,0.29333335161209106,0.2135000079870224
RL,10,1,2,D5,0,2.1063399255275725,2.1905139195919037,1.8029649257659912,2.016257095336914,0.29333335161209106,0.2135000079870224
RL,10,1,2,C10,0,2.1063399255275725,2.1905139195919037,1.8029649257659912,2.016257095336914,0.29333335161209106,0.2135000079870224
RL,10,1,2,D10,0,2.1063399255275725,2.1905139195919037,1.8029649257659912,2.016257095336914,0.29333335161209106,0.2135000079870224
RL,10,1,2,RB20,0,2.1063399255275725,2.1905139195919037,1.8029649257659912,2.016257095336914,0.29333335161209106,0.2135000079870224
RL,10,1,2,RC20,0,2.1063399255275725,2.1905139195919037,1.8029649257659912,2.016257095336914,0.29333335161209106,0.2135000079870224
RL,10,1,2,RD20,0,2.1063399255275725,2.1905139195919037,1.8029649257659912,2.016257095336914,0.29333335161209106,0.2135000079870224
RL,10,2,0,A,6,2.147912861406803,2.2327187064290044,1.8547587394714355,2.1012109518051147,0.3016666769981384,0.18416666984558105
RL,10,2,0,B20,6,2.138337941467762,2.239912803769111,1.8253777027130127,2.110511302947998,0.29500001668930054,0.1745000049471855
RL,10,2,0,C20,6,2.1929266512393952,2.222773876786232,1.880828857421875,2.069505977630615,0.2849999964237213,0.19333333671092987
RL,10,2,0,D20,6,2.2032434329390527,2.2312322813272476,1.853350043296814,2.0929258108139037,0.2591666877269745,0.18266667425632477
RL,10,2,0,C5,6,2.165154641866684,2.229671517908573,1.8797093629837036,2.104159140586853,0.2958333492279053,0.18533333837985994
RL,10,2,0,D5,6,2.1752058982849123,2.2318899592757226,1.8493257761001587,2.100283312797546,0.2566666603088379,0.17766666710376738
RL,10,2,0,C10,6,2.1929266512393952,2.222773876786232,1.880828857421875,2.069505977630615,0.2849999964237213,0.19333333671092987
RL,10,2,0,D10,6,2.2032434329390527,2.2312322813272476,1.853350043296814,2.0929258108139037,0.2591666877269745,0.18266667425632477
RL,10,2,0,RB20,6,2.139720317721367,2.218212588727474,1.824412226676941,2.0624140977859495,0.30250000953674316,0.19883334040641784
RL,10,2,0,RC20,6,2.339830507338047,2.287675082087517,1.9726760387420654,2.1734675407409667,0.2600000202655792,0.1591666743159294
RL,10,2,0,RD20,6,2.3475795492529867,2.2836180871725085,2.02408504486084,2.167613649368286,0.22583334147930145,0.15500000715255738
RL,10,2,1,A,13,2.2719362422823908,2.280136675834656,2.2030885219573975,2.2258932113647463,0.14750000834465027,0.1305000051856041
RL,10,2,1,B20,13,2.2657418236136437,2.2886912843585017,2.1842875480651855,2.24497127532959,0.14500001072883606,0.12383333891630173
RL,10,2,1,C20,13,2.312860058248043,2.283548330068588,2.0923664569854736,2.2054667472839355,0.18833333253860474,0.1376666694879532
RL,10,2,1,D20,13,2.3315814197063447,2.2824179193377496,2.118056297302246,2.2045010566711425,0.17750000953674316,0.1370000034570694
RL,10,2,1,C5,13,2.3021509021520616,2.3019723674654964,2.169557809829712,2.2605947494506835,0.1574999988079071,0.1208333358168602
RL,10,2,1,D5,13,2.3047705993056296,2.297178592085838,2.1847152709960938,2.257643985748291,0.1508333384990692,0.1191666692495346
RL,10,2,1,C10,13,2.3219107165932655,2.2912703660130505,2.1517012119293213,2.2238361835479736,0.16166667640209198,0.13516666889190673
RL,10,2,1,D10,13,2.3117386981844903,2.283951787054539,2.096630096435547,2.212604522705078,0.1850000023841858,0.1380000054836273
RL,10,2,1,RB20,13,2.26981408149004,2.275887514054775,2.200652599334717,2.2146435260772703,0.14916667342185974,0.1381666675209999
RL,10,2,1,RC20,13,2.4378333732485773,2.311359490156174,2.122222661972046,2.2223746299743654,0.17416666448116302,0.13116666972637175
RL,10,2,1,RD20,13,2.4552912041544914,2.3171646282076837,2.1168298721313477,2.2311461925506593,0.16083334386348724,0.12466666996479034
RL,10,2,2,A,5,2.1063399255275725,2.1905139195919037,1.8029649257659912,2.016257095336914,0.29333335161209106,0.2135000079870224
RL,10,2,2,B20,5,2.11940611153841,2.1863821724057195,1.85384202003479,2.0047598361968992,0.273333340883255,0.2113333374261856
RL,10,2,2,C20,5,2.170828993618488,2.216001516282558,1.8543893098831177,2.052015447616577,0.2849999964237213,0.19800000190734862
RL,10,2,2,D20,5,2.1748041212558746,2.240868917405605,1.90314781665802,2.137402606010437,0.2566666603088379,0.16966666430234909
RL,10,2,2,C5,5,2.170828993618488,2.216001516282558,1.8543893098831177,2.052015447616577,0.2849999964237213,0.19800000190734862
RL,10,2,2,D5,5,2.1748041212558746,2.240868917405605,1.90314781665802,2.137402606010437,0.2566666603088379,0.16966666430234909
RL,10,2,2,C10,5,2.170828993618488,2.216001516282558,1.8543893098831177,2.052015447616577,0.2849999964237213,0.19800000190734862
RL,10,2,2,D10,5,2.1748041212558746,2.240868917405605,1.90314781665802,2.137402606010437,0.2566666603088379,0.16966666430234909
RL,10,2,2,RB20,5,2.1133581683039666,2.20687499076128,1.8359270095825195,2.0599799156188965,0.26500001549720764,0.19066667258739473
RL,10,2,2,RC20,5,2.214609219133854,2.230061616897583,1.8783631324768066,2.0684062242507935,0.25083333253860474,0.18899999856948851
RL,10,2,2,RD20,5,2.263688199222088,2.2515231773257254,2.003342628479004,2.152489519119263,0.20416666567325592,0.1545000046491623
RL,20,1,0,A,3,2.3057534962892534,2.2816281405091288,2.2990379333496094,2.236554193496704,0.11083333939313889,0.13333333730697633
RL,20,1,0,B20,3,2.3062514543533323,2.295378730595112,2.3010294437408447,2.2521403789520265,0.11083333939313889,0.1245000034570694
RL,20,1,0,C20,3,2.270684303343296,2.274862498641014,2.2161858081817627,2.229195547103882,0.1366666704416275,0.13050000369548798
RL,20,1,0,D20,3,2.2701991528272627,2.294298292398453,2.2036943435668945,2.261883354187012,0.14249999821186066,0.12166666835546494
RL,20,1,0,C5,3,2.270684303343296,2.274862498641014,2.2161858081817627,2.229195547103882,0.1366666704416275,0.13050000369548798
RL,20,1,0,D5,3,2.2701991528272627,2.294298292398453,2.2036943435668945,2.261883354187012,0.14249999821186066,0.12166666835546494
RL,20,1,0,C10,3,2.270684303343296,2.274862498641014,2.2161858081817627,2.229195547103882,0.1366666704416275,0.13050000369548798
RL,20,1,0,D10,3,2.2701991528272627,2.294298292398453,2.2036943435668945,2.261883354187012,0.14249999821186066,0.12166666835546494
RL,20,1,0,RB20,3,2.3058413818478583,2.293312927782535,2.2993886470794678,2.263868474960327,0.11083333939313889,0.11950000226497651
RL,20,1,0,RC20,3,2.2982622608542442,2.3096368980407713,2.2842533588409424,2.300521898269653,0.11500000208616257,0.10650000274181366
RL,20,1,0,RD20,3,2.294099989533424,2.3007741594314575,2.2803475856781006,2.2796850204467773,0.12250000238418579,0.11533333659172058
RL,20,1,1,A,1,2.2910610169172285,2.2999981123209,2.2710375785827637,2.2895318984985353,0.1366666704416275,0.12183333486318589
RL,20,1,1,B20,1,2.286826564371586,2.2980027475953104,2.2420170307159424,2.27972207069397,0.14249999821186066,0.12433333396911621
RL,20,1,1,C20,1,2.287738446891308,2.29501484721899,2.2548627853393555,2.2793776035308837,0.14166666567325592,0.12466666847467422
RL,20,1,1,D20,1,2.2809598088264464,2.2893556994199753,2.243009090423584,2.2681529045104982,0.14249999821186066,0.1275000050663948
RL,20,1,1,C5,1,2.287738446891308,2.29501484721899,2.2548627853393555,2.2793776035308837,0.14166666567325592,0.12466666847467422
RL,20,1,1,D5,1,2.2809598088264464,2.2893556994199753,2.243009090423584,2.2681529045104982,0.14249999821186066,0.1275000050663948
RL,20,1,1,C10,1,2.287738446891308,2.29501484721899,2.2548627853393555,2.2793776035308837,0.14166666567325592,0.12466666847467422
RL,20,1,1,D10,1,2.2809598088264464,2.2893556994199753,2.243009090423584,2.2681529045104982,0.14249999821186066,0.1275000050663948
RL,20,1,1,RB20,1,2.2844349443912506,2.294313575923443,2.247205972671509,2.27156982421875,0.14083333313465118,0.12700000107288362
RL,20,1,1,RC20,1,2.2658017441630363,2.2950945162773135,2.1957452297210693,2.2704604625701905,0.16166667640209198,0.1291666716337204
RL,20,1,1,RD20,1,2.276577092707157,2.2901906818151474,2.2215349674224854,2.261599826812744,0.15416666865348816,0.1318333327770233
RL,20,1,2,A,4,2.3037026926875113,2.30478117197752,2.290235757827759,2.291921615600586,0.1158333346247673,0.11600000262260438
RL,20,1,2,B20,4,2.304412205517292,2.300766472816467,2.290837049484253,2.2851083755493162,0.11416666954755783,0.11850000321865081
RL,20,1,2,C20,4,2.2590708091855047,2.2896702349185944,2.192509651184082,2.2577943801879883,0.13583333790302277,0.1235000029206276
RL,20,1,2,D20,4,2.228734830021858,2.263881631195545,2.0973541736602783,2.1886425495147703,0.16583333909511566,0.1456666737794876
RL,20,1,2,C5,4,2.2590708091855047,2.2896702349185944,2.192509651184082,2.2577943801879883,0.13583333790302277,0.1235000029206276
RL,20,1,2,D5,4,2.228734830021858,2.263881631195545,2.0973541736602783,2.1886425495147703,0.16583333909511566,0.1456666737794876
RL,20,1,2,C10,4,2.2590708091855047,2.2896702349185944,2.192509651184082,2.2577943801879883,0.13583333790302277,0.1235000029206276
RL,20,1,2,D10,4,2.228734830021858,2.263881631195545,2.0973541736602783,2.1886425495147703,0.16583333909511566,0.1456666737794876
RL,20,1,2,RB20,4,2.3044264689087868,2.2994852808117865,2.2904155254364014,2.2737245082855226,0.11416666954755783,0.12200000137090683
RL,20,1,2,RC20,4,2.2873119935393333,2.3067166483402253,2.2635385990142822,2.296288585662842,0.12166666984558105,0.11400000303983689
RL,20,1,2,RD20,4,2.2855698704719543,2.2955444732308385,2.2581288814544678,2.271188831329346,0.12250000238418579,0.12166666835546494
RL,20,2,0,A,100,2.3057534962892534,2.2816281405091288,2.2990379333496094,2.236554193496704,0.11083333939313889,0.13333333730697633
RL,20,2,0,B20,100,2.302272716164589,2.297078121602535,2.2898120880126953,2.2707136154174803,0.12250000238418579,0.11833333671092987
