arm,cond,seed,slot,lr,task,hard,n_classes,online_acc,train_acc,test_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,m_l1,m_l2
CH,raw,9,9,0.0001,12,0,1,0.9100961538,0.9660000205,0.8799999952,0.9660000205,0,0,-1.247080326,7.219679356,-14.27096462,0.3180000186,14.45878794,0,0,-0.812528193,15.57629395,-8.215486526,0.530000031,11.05778595,1.737359524,1.305693865,1.149577379,5.080663204,8.734514236
CH,raw,9,9,0.0001,13,1,5,0.6154246795,0.6732000113,0.6160000563,0.6732000113,0,0,-0.1915354878,7.916278839,-3.408638954,0.4855999947,17.74124557,0,0,0.7139464021,31.63651085,-3.544434786,0.6200000048,16.9225706,1.654142737,1.365058422,1.114862561,4.518988609,13.07739639
CH,raw,9,9,0.0001,14,0,1,0.8582532051,0.8940000534,0.8399999738,0.8940000534,0,0,-1.564257741,6.753811836,-8.436470985,0.3100000024,14.36185228,0,0,0.2031614184,21.96449089,-2.957718849,0.6140000224,11.86385872,1.754843116,1.437351704,1.184011698,3.60018611,10.8491888
CH,raw,9,9,0.0001,15,1,5,0.456650641,0.5399999619,0.4600000083,0.5399999619,0,0,-0.2545521557,6.747197628,-2.307884932,0.4379999936,12.97993573,0,0,0.6231210828,42.99652481,-1.486199737,0.6123999953,11.39130354,1.557530403,1.524000287,1.179858088,4.187449932,16.83720398
CH,raw,9,9,0.0001,16,0,1,0.9409455128,0.9780000448,0.9499999881,0.9780000448,0,0,-1.969362855,7.133247375,-40.7982254,0.1440000087,11.56474559,0.009999999776,0,-1.05278492,23.68514824,-21.84698868,0.4620000124,9.314090657,1.841930985,1.499942422,1.240382075,7.801300526,13.53609562
CH,raw,9,9,0.0001,17,1,5,0.4837740385,0.5284000039,0.5080000162,0.5284000039,0,0,-0.2947855294,8.128587723,-1.770351768,0.4407999814,13.52231977,0,0,0.1166598573,34.93967056,-7.449624062,0.5963999629,13.67525209,1.693471909,1.554290295,1.26842773,4.54665041,15.18462753
CH,raw,9,9,0.0001,18,0,1,0.9243589744,0.986000061,0.9099999666,0.986000061,0,0,-0.5280938745,8.63745594,-5.017974854,0.4080000222,13.80546933,0,0,-0.8534613252,26.87945747,-5.218914032,0.5940000415,13.35781016,1.924040675,1.589505196,1.314522386,4.315889359,10.24529743
CH,raw,9,9,0.0001,19,1,5,0.4737580128,0.5491999984,0.5660000443,0.5491999984,0,0,-0.7517291903,4.926186562,-7.20587635,0.3267999887,10.95866568,0,0,0.717340529,54.50199127,-2.838151455,0.5807999969,8.605318479,1.387808084,1.656166196,1.331975341,5.182725906,22.23314857
CH,raw,9,9,0.0001,20,0,1,0.8737580128,0.8660000563,0.8100000024,0.8660000563,0,0,-1.935666323,5.774366856,-24.19573212,0.2320000082,17.01904459,0,0,1.13474071,21.15947533,-9.487742424,0.574000001,14.97322635,1.749638557,1.594640851,1.353782535,5.105905533,10.79708481
CH,raw,9,9,0.0001,21,1,5,0.5729166667,0.6895999908,0.6480000019,0.6895999908,0,0,-0.282371372,10.62977028,-11.63702583,0.4779999852,16.43971254,0,0,0.2056410164,46.43289566,-3.477957726,0.6275999546,14.36406838,1.971338391,1.684641957,1.365174294,5.179944992,19.71177864
CH,raw,9,9,0.0001,22,0,1,0.9207532051,0.9580000639,0.8700000048,0.9580000639,0,0,-0.9238416553,4.911985397,-11.88629913,0.4280000329,9.175839234,0,0,1.518080235,53.67267609,-8.376155853,0.5800000429,8.765333811,1.6081568,1.708796263,1.3951689,5.914559364,27.06469154
CH,raw,9,9,0.0001,23,1,5,0.4305689103,0.5044000149,0.4660000205,0.5044000149,0,0,0.5201449394,14.42091751,-2.277709246,0.5911999941,15.83170714,0,0,-0.488832891,34.75611115,-8.992788315,0.5899999738,13.79046478,2.301229,1.697068214,1.42403841,6.285808563,17.04915428
CH,raw,9,9,0.0001,24,0,1,0.9494791667,1,0.9899999499,1,0,0,-1.284243226,2.866677284,-17.84527779,0.1940000057,9.294966582,0,0,-0.7496058345,36.2048645,-9.54371357,0.5200000405,6.049243959,1.585115314,1.745227933,1.448689938,6.190636635,20.26945877
CH,raw,9,9,0.0001,25,1,5,0.4341746795,0.4599999785,0.3820000291,0.4599999785,0,0,-0.2788234651,8.930849075,-4.456982136,0.4315999746,18.00495697,0,0,0.03931776807,34.26631165,-11.34374523,0.5927999616,14.04967499,1.955054402,1.741120815,1.468143702,5.706900597,17.34594536
CH,raw,9,9,0.0001,26,0,1,0.8085737179,0.8400000334,0.719999969,0.8400000334,0,0,-2.577966452,2.090072393,-63.55485916,0.1280000061,6.212238722,0,0,1.458903909,37.49719238,-5.841047287,0.5960000157,8.163901485,1.468582988,1.872113109,1.512551069,3.61253047,16.70770073
CH,raw,9,9,0.0001,27,1,5,0.3377003205,0.3967999816,0.3560000062,0.3967999816,0,0,-0.9689042568,11.09569645,-13.62461185,0.4483999908,12.12167323,0,0,-1.710894108,45.47996902,-9.732042313,0.6031999588,10.65246805,1.890840292,1.917274237,1.524074316,6.229246616,24.37602425
CH,raw,9,9,0.0001,28,0,1,0.952724359,0.9980000257,1,0.9980000257,0,0,-1.259481311,6.31090641,-35.23994064,0.1620000005,10.26848074,0,0,-0.05765930563,46.52161407,-15.14467144,0.5420000553,7.132826287,1.7993325,1.915806651,1.567785144,6.616887093,20.90736008
CH,raw,9,9,0.0001,29,1,5,0.5946314103,0.6811999679,0.6160000563,0.6811999679,0,0,-0.3157430589,6.330726624,-2.611370325,0.4667999744,14.78001346,0,0,-0.005801660009,48.34838867,-3.710224628,0.6315999627,13.24437105,1.752939701,1.971147656,1.572299957,4.949537277,22.49119568
CH,raw,9,9,0.0001,30,0,1,0.8742788462,0.8720000386,0.8499999642,0.8720000386,0,0,-3.547659397,7.900944233,-18.59384537,0.228000015,13.47299673,0,0,0.189311564,27.53287315,-13.28431892,0.6480000019,15.94835033,1.998480439,2.006616354,1.577229857,4.268636703,14.32999134
