arm,cond,seed,slot,lr,task,hard,n_classes,online_acc,train_acc,test_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,alpha_med_l1,alpha_min_l1,alpha_max_l1,alpha_clip_frac_l1,two_alpha_W_med_l1,alpha_med_l2,alpha_min_l2,alpha_max_l2,alpha_clip_frac_l2,two_alpha_W_med_l2
KKT1,std,5,5,0.0001,24,0,1,0.9750400641,1,0.9799999595,1,0,0,-5.292429447,20.11669159,-52.90822601,0.8487040401,50.65430237,0,0,-10.45501232,25.09111786,-52.18856812,0.7324021459,48.34430065,3.523044825,1.053978562,0.770724535,0.02979201451,0.009848279878,0.06746821105,0,1.200000048,0.02426728234,0.009729047306,0.05111421645,0,1.200000048
KKT1,std,5,5,0.0001,25,1,5,0.9324599359,1,0.658000052,1,0,0,-1.786400557,21.73927498,-16.36750603,0.9480425715,62.10085316,0,0,-7.528796673,27.21806335,-74.36733246,0.8587247729,67.39631708,3.737612247,1.074514389,0.749114871,0.02792566828,0.01223030686,0.05505824834,0,1.200000048,0.02221139148,0.01020992082,0.04080037028,0,1.200000048
KKT1,std,5,5,0.0001,26,0,1,0.9760016026,1,1,1,0,0,0.9932632446,20.14174271,-11.62144947,1.030617476,58.68696675,0,0,-13.40918446,26.79671478,-66.79150391,0.7370613217,63.44856032,3.659317493,1.079667926,0.7475649118,0.02947284095,0.01064104866,0.06702824682,0,1.200000048,0.02182654664,0.0107676629,0.04305716231,0,1.200000048
KKT1,std,5,5,0.0001,27,1,5,0.9592748397,1,0.7580000162,1,0,0,-2.393497944,21.61608696,-54.35682297,0.9281659722,62.36167478,0,0,-5.802480221,28.01335526,-50.7714119,0.8793384433,65.96307001,3.790849924,1.09755218,0.741210103,0.0276706554,0.01014635526,0.05731749907,0,1.200000048,0.02167782001,0.009537560865,0.03651611507,0,1.200000048
KKT1,std,5,5,0.0001,28,0,1,0.9745592949,1,0.969999969,1,0,0,-2.94130826,18.74249268,-22.99632454,0.8905431628,51.75143401,0,0,-12.62484646,25.67554283,-54.34473038,0.7319786549,54.34623305,3.779254913,1.099429011,0.7472037673,0.03222613782,0.01316381712,0.06831999868,0,1.200000048,0.02328237332,0.01083356794,0.04418039322,0,1.200000048
KKT1,std,5,5,0.0001,29,1,5,0.9161057692,1,0.5580000281,1,0,0,-0.008640746586,21.30822182,-10.29094315,1.013122916,62.86864349,0,0,-10.52918339,28.77334785,-60.65410995,0.8570887446,66.61738511,3.964940548,1.125078678,0.7415679693,0.02842717245,0.008989495225,0.05319168791,0,1.200000048,0.02116516605,0.008208765648,0.04193470255,0,1.200000048
KKT1,std,5,5,0.0001,30,0,1,0.9772836538,1,1,1,0,0,-3.154236555,19.30643654,-23.3735714,0.9030313492,64.59914998,0,0,-4.736464977,24.99017906,-39.58989334,0.9204612374,64.39748236,3.927104473,1.127325654,0.7416940928,0.03139502183,0.01081798971,0.06131112948,0,1.200000048,0.02436635084,0.01142223645,0.04754959419,0,1.200000048
KKT1,std,6,6,0.0001,1,1,5,0.9583253205,1,0.6700000167,1,0,0,1.160416961,7.642851353,-15.70770264,1.09812963,38.69519455,0,0,2.370341778,6.837771416,-23.1120224,1.219605207,35.77711135,1.023493052,0.6669491529,0.64354527,0.07971151918,0.03285821527,0.3179114759,0,1.200000048,0.08870260417,0.03301626071,0.2100875676,0,1.200000048
KKT1,std,6,6,0.0001,2,0,1,0.9754407051,1,0.969999969,1,0,0,-0.5566670299,5.621701241,-8.617175102,0.9284070134,40.74495917,0,0,-0.05637553707,5.593815804,-7.835124016,1.003362775,38.02932763,0.9938189387,0.6627684832,0.677631557,0.1075769365,0.03027209826,0.2663927972,0,1.200000048,0.1093457639,0.03873516619,0.283297807,0,1.200000048
KKT1,std,6,6,0.0001,3,1,5,0.9250360577,1,0.5580000281,1,0,0,-0.3303562403,9.335788727,-7.413485527,0.9789895415,41.32203022,0,0,0.6178037524,11.26099396,-13.87291336,1.037854433,42.26806151,1.427597761,0.7329832911,0.8174228072,0.06140187383,0.01244330592,0.1662677526,0,1.200000048,0.05276208371,0.01555991825,0.1628078073,0,1.200000048
KKT1,std,6,6,0.0001,4,0,1,0.9680288462,1,0.9599999785,1,0,0,-4.415992737,10.16235352,-37.79901505,0.7136099935,30.68390531,0,0,-2.500757694,10.07991028,-31.5749588,0.8458710313,33.44279471,1.407067537,0.7351088524,0.8175880909,0.05971502885,0.01241462957,0.1438975036,0,1.200000048,0.0591721423,0.01763793454,0.1473501921,0,1.200000048
KKT1,std,6,6,0.0001,5,1,5,0.9273677885,1,0.5320000052,1,0,0,0.8955566287,12.85459042,-6.315988064,1.09613049,49.70738813,0,0,-0.3924854696,12.83189964,-22.2357235,0.9928475618,48.59313475,1.739239812,0.7738083005,0.8775750995,0.04717241973,0.0130316643,0.1125350967,0,1.200000048,0.04690824449,0.01384736411,0.1293688416,0,1.200000048
KKT1,std,6,6,0.0001,6,0,1,0.9788461538,1,0.9599999785,1,0,0,-0.1331463009,11.29953384,-5.858089447,1.030874372,45.1967881,0,0,-1.376549602,10.69546127,-20.94621277,0.9530699253,43.34073404,1.728238821,0.7792516947,0.8850585222,0.05351871252,0.01517433766,0.1353386641,0,1.200000048,0.05707306787,0.01157593913,0.1360157579,0,1.200000048
KKT1,std,6,6,0.0001,7,1,5,0.9292908654,1,0.5580000281,1,0,0,-0.4585337341,14.46025562,-6.421931267,0.9974460602,52.32439438,0,0,-4.201215267,14.75885677,-28.57248306,0.8780332804,56.21613214,2.038598537,0.8284938931,0.8548249006,0.04226468131,0.01571973041,0.119289428,0,1.200000048,0.04165017605,0.01878789812,0.09333447367,0,1.200000048
KKT1,std,6,6,0.0001,8,0,1,0.9661057692,1,0.9599999785,1,0,0,-1.838310599,13.56172085,-13.06541824,0.9324489236,47.06302192,0,0,-5.900216103,12.96270943,-30.60114288,0.7283711433,50.72822477,1.976075649,0.8220860958,0.8331879973,0.04429327697,0.01140538789,0.1014634147,0,1.200000048,0.04591634125,0.01785482652,0.1125634834,0,1.200000048
KKT1,std,6,6,0.0001,9,1,5,0.9116546474,1,0.5160000324,1,0,0,0.3023231328,15.03957653,-6.138563156,1.033906817,55.44017214,0,0,-6.490080357,16.21565819,-36.44678497,0.8206230402,60.51484949,2.304820538,0.8678352833,0.8046331406,0.03987897187,0.01296144165,0.08214609325,0,1.200000048,0.03760423139,0.01767844334,0.06936904788,0,1.200000048
KKT1,std,6,6,0.0001,10,0,1,0.9791666667,1,0.9899999499,1,0,0,-5.579206467,12.32832527,-22.76774597,0.7158954144,52.02081334,0,0,-4.6956954,12.44800282,-24.83678246,0.7402441502,51.99316043,2.279732704,0.8687766194,0.8016438484,0.04877429828,0.01905041188,0.09214289486,0,1.200000048,0.04877741262,0.0190915782,0.09415218234,0,1.200000048
KKT1,std,6,6,0.0001,11,1,5,0.9408814103,1,0.6660000086,1,0,0,0.1989105195,14.84797001,-11.51180744,1.02305758,59.01011048,0,0,-4.249062061,17.21951866,-39.39467621,0.8733551502,61.53343658,2.555562496,0.905921042,0.7871968746,0.04078823701,0.01856231317,0.08649265021,0,1.200000048,0.0348229669,0.0150656784,0.06819917262,0,1.200000048
KKT1,std,6,6,0.0001,12,0,1,0.9752804487,1,0.9499999881,1,0,0,-2.384959698,13.68211079,-22.47449493,0.8969804049,60.23216348,0,0,-3.868956566,13.88558102,-23.07879066,0.8115007877,61.25642788,2.520078182,0.9054462314,0.7786273956,0.04415011778,0.0159875527,0.08719145507,0,1.200000048,0.04354467615,0.02325085551,0.09837266803,0,1.200000048
KKT1,std,6,6,0.0001,13,1,5,0.9466105769,1,0.7220000625,1,0,0,-0.6956660748,15.97248459,-16.01582336,0.9674988985,63.52511649,0,0,-3.556227207,16.89925194,-29.99646759,0.9033330083,66.53284723,2.712535143,0.9382730126,0.7798392177,0.03788102791,0.01499979664,0.06685390323,0,1.200000048,0.03602369875,0.01741562039,0.06048520654,0,1.200000048
KKT1,std,6,6,0.0001,14,0,1,0.9758413462,1,0.9499999881,1,0,0,-5.743789673,12.89582443,-29.41286087,0.7201167941,54.94804095,0,0,-3.400774479,11.50365448,-25.173769,0.8509522676,54.96770899,2.702553272,0.9336000681,0.78714782,0.04672090709,0.01641830802,0.1142362878,0,1.200000048,0.05131999776,0.02451188304,0.08879494667,0,1.200000048
KKT1,std,6,6,0.0001,15,1,5,0.9558573718,1,0.7540000081,1,0,0,-0.1791867167,18.05718231,-7.821818352,0.9950330853,59.11556237,0,0,-5.898235798,21.13604736,-35.41534424,0.8703246117,62.40185667,2.865276814,0.9612567425,0.7907309532,0.03361697495,0.01376992371,0.07939448208,0,1.200000048,0.02902679704,0.01157499291,0.05912629887,0,1.200000048
