arm,E_k1,E_k1_lo,E_k1_hi,E_k2,floor_k1,nbar_neffT2_k1,nbar_neffT2_k2,neffT2_start,zero2_start,probe_zero2_mean_k1,zero2_end_k1,effbar2_first_k1,effbar2_last_k1,dmean2_move_k1,zarm2_move_k1,step_w2_k1,memo_k1,resp_ee_hash_match,reset
R2_5,0.9157072916666665,0.9124033201836796,0.9190112631496534,0.9071281250000001,0,0.6430003858599683,0.490727337294974,0.7529477706204363,0.0,0.00038564814814814815,0.0005466666666666667,-0.1144941491318269,-0.29668099585598834,0.0,-0.18218684672416147,0.10989236159208908,0.9956666648387908,20.0,False
R2_7,0.9146947916666667,0.9080223829015961,0.9213672004317373,0.8995927083333332,0,0.5392360105633094,0.35312045521671626,0.7529477707092814,0.0,0.0069518518518518506,0.007457500000000001,-0.11449414817920225,-1.555713766529822,0.0,-1.4412196183506196,0.09731748230733502,0.9832499980926513,20.0,False
R2_10,0.896584375,0.8865677499746604,0.9066010000253396,0.87533125,0,0.42566054423269895,0.24660367031319766,0.7529477710275494,0.0,0.07307481481481481,0.07686249999999999,-0.11449414735907695,-4.333937321128446,0.0,-4.219443173769369,0.0977970659716675,1.0,20.0,False
R2_15,0.8593635416666666,0.8432493548879573,0.875477728445376,0.8235458333333334,0,0.3409819237132303,0.18088263135994403,0.752947769856445,0.0,0.24554083333333337,0.2723375,-0.11449415149641737,-9.836904013891626,0.0,-9.722409862395208,0.10621451984934538,1.0,20.0,False
R2_20,0.821025,0.7908828831098356,0.8511671168901644,0.7614552083333334,0,0.27923592600228353,0.13205095192577326,0.7529477694146316,0.0,0.349495,0.374235,-0.11449415236258034,-13.297210895169266,0.0,-13.182716742806685,0.10723385705440099,1.0,20.0,False
R2_10r,0.9112416666666666,0.9040907546425848,0.9183925786907484,0.8994895833333334,0,0.719759962735324,0.44108968980921653,0.7529477710275494,0.0,1.9259259259259263e-05,2.5e-05,-0.11449414735907695,0.10417760663666371,0.0,0.21867175399574065,0.06539131331330357,1.0,20.0,True
N2r,0.7238895833333333,0.7132840913524853,0.7344950753141813,0.7476822916666667,0,0.4980108535287993,0.30939170227171997,0.7529477706142454,0.0,0.00019277777777777777,0.00021166666666666664,-0.11449414883627532,-0.9120350601219341,0.0,-0.7975409112856586,0.1361581140596627,0.9999166667461395,20.0,True
N10r,0.16865520833333333,0.15314869090268982,0.18416172576397685,0.13129895833333335,2,0.004257449548110902,0.002501492734152988,0.007439163101679544,0.9391808333333334,0.9630862037037037,0.9435991666666668,-50.8704138484359,-54.269491171020206,0.0,-3.3990773225843105,0.1252716923128749,0.2692499980330467,20.0,True
N2,0.7788239583333334,0.7701019154881943,0.7875460011784725,0.74580625,0,0.4854987159864706,0.27913431011584705,0.7529477706142454,0.0,0.000689537037037037,0.0004816666666666666,-0.11449414883627532,-1.2413210425723573,0.0,-1.1268268937360821,0.15517540825289872,0.9999166667461395,20.0,False
N5,0.55516875,0.4875587683408007,0.6227787316591993,0.35155833333333336,0,0.07456454709344236,0.03286881647820629,0.19850540687123264,0.14020916666666666,0.4269181481481482,0.3831191666666666,-8.286619950654543,-14.675292174644369,0.0,-6.388672223989826,0.17158869007729055,0.9276666700839996,20.0,False
N7,0.2693416666666667,0.2199153702280582,0.3187679631052752,0.195340625,0,0.01693137138043703,0.008841774325267398,0.04914649650148284,0.6450275,0.8339378703703704,0.7863358333333333,-23.771737058036194,-31.631500676660817,0.0,-7.859763618624615,0.15123192742089486,0.5113333344459534,20.0,False
N10,0.13672499999999999,0.12013804180506674,0.15331195819493323,0.12295937500000001,7,0.0027898816214352124,0.001705530332813523,0.007439163101679544,0.9391808333333334,0.9771575925925926,0.9680983333333334,-50.8704138484359,-59.775007018347914,0.0,-8.90459316991202,0.08889970595570276,0.19600000083446503,20.0,False
N15,0.11051354166666667,0.10465322920008888,0.11637385413324447,0.10729166666666665,10,0.0007539206582971,0.0005534998660160106,0.0013837017397792526,0.9924425000000001,0.9960700000000001,0.9938016666666668,-85.52362092533238,-90.04372889245299,0.0,-4.520107967120611,0.0512533625251572,0.12791666835546495,20.0,False
N20,0.10546979166666667,0.10261355114473734,0.108326032188596,0.10378229166666667,10,0.0002932127359472286,0.0002526259472955746,0.0005479877170137518,0.9977833333333332,0.9988832407407408,0.9984491666666667,-107.9436830240249,-110.88328510786809,0.0,-2.939602083843185,0.029095208702984703,0.11174999922513962,20.0,False
