seed,unit,n_exposure,n_strict_dead,n_dead_0_05,first_t0,last_t0
6,37,5,4,4,250001,320001
6,38,22,3,3,320001,600001
6,39,6,1,2,200001,330001
6,40,2,2,2,670001,710001
6,41,24,6,6,200001,630001
6,42,4,2,3,400001,570001
6,44,1,1,1,440001,440001
6,45,1,1,1,470001,470001
6,46,20,3,5,200001,710001
6,47,30,1,1,200001,490001
6,48,1,1,1,780001,780001
6,49,1,1,1,480001,480001
6,50,6,0,3,710001,790001
6,51,4,1,3,420001,470001
6,52,8,1,1,420001,530001
6,53,11,6,6,210001,690001
6,54,2,1,2,460001,510001
6,55,1,1,1,440001,440001
6,56,28,0,4,200001,800001
6,57,11,0,3,200001,530001
6,61,15,4,4,200001,510001
6,64,2,1,1,200001,410001
6,65,7,2,3,470001,620001
6,66,5,3,3,200001,700001
6,68,4,3,3,310001,690001
6,69,9,2,3,200001,710001
6,70,3,3,3,200001,650001
6,71,3,1,2,200001,370001
6,73,36,1,2,200001,710001
6,74,2,0,1,200001,210001
6,75,10,5,6,200001,690001
6,76,12,5,6,320001,710001
6,78,8,3,4,200001,710001
6,79,1,1,1,480001,480001
6,80,3,1,1,680001,700001
6,81,2,2,2,480001,700001
6,82,1,1,1,680001,680001
6,83,4,3,3,260001,420001
6,85,13,1,4,200001,650001
6,86,5,4,4,220001,770001
6,88,6,0,1,440001,490001
6,89,3,1,2,200001,490001
6,91,3,3,3,600001,620001
6,92,1,1,1,200001,200001
6,93,16,0,5,320001,520001
6,94,3,2,2,430001,560001
6,95,4,3,3,440001,580001
6,96,3,1,2,480001,780001
6,97,1,1,1,550001,550001
6,98,1,0,1,200001,200001
6,99,5,1,1,200001,800001
7,0,3,1,1,280001,300001
7,2,1,0,1,210001,210001
7,4,26,0,8,280001,800001
7,5,14,6,7,200001,580001
7,6,1,0,0,790001,790001
7,7,14,5,5,260001,590001
7,8,31,8,10,220001,760001
7,9,7,3,3,500001,650001
7,10,5,2,4,390001,570001
7,11,6,1,1,400001,570001
7,12,5,2,3,540001,800001
7,13,1,0,1,800001,800001
7,14,4,1,3,500001,570001
7,15,4,3,3,280001,340001
7,17,6,1,1,500001,800001
7,18,6,1,1,220001,790001
7,19,13,3,5,200001,630001
7,21,10,3,3,500001,800001
7,22,6,2,2,330001,570001
7,23,4,4,4,460001,780001
7,24,10,2,3,400001,800001
7,25,11,3,4,200001,490001
7,26,48,0,0,330001,800001
7,27,18,6,8,200001,780001
7,28,3,0,0,780001,800001
7,29,13,1,3,230001,620001
7,30,7,4,4,480001,580001
7,31,4,3,3,410001,700001
7,32,31,2,6,200001,640001
7,33,26,2,4,200001,770001
7,34,7,0,4,450001,570001
7,36,13,4,4,360001,800001
7,37,7,1,1,200001,260001
7,38,6,3,6,200001,780001
7,39,20,6,8,200001,800001
7,40,4,1,2,400001,500001
7,41,7,1,3,220001,560001
7,43,2,2,2,580001,760001
7,44,7,3,4,380001,680001
7,46,19,2,6,230001,740001
7,47,3,2,3,300001,560001
7,48,5,1,2,440001,550001
7,49,8,3,4,280001,630001
7,51,2,2,2,520001,530001
7,53,34,1,5,450001,800001
7,55,16,2,4,330001,790001
7,57,4,0,1,500001,580001
7,58,31,0,3,500001,800001
7,59,4,0,2,400001,580001
7,60,23,0,3,210001,660001
7,62,10,1,2,230001,800001
7,63,30,1,2,200001,590001
7,64,4,1,2,200001,230001
7,65,2,2,2,200001,220001
7,66,4,1,2,490001,530001
7,67,21,0,2,430001,640001
7,68,1,0,1,560001,560001
7,69,1,1,1,770001,770001
7,70,15,3,4,200001,770001
7,71,1,0,1,720001,720001
7,72,5,3,3,280001,460001
7,74,24,4,6,490001,780001
7,75,43,2,6,200001,720001
7,76,18,1,5,450001,640001
7,79,6,3,6,240001,690001
7,80,54,2,2,260001,790001
7,81,4,1,2,360001,410001
7,82,52,0,0,270001,800001
7,83,9,3,4,450001,640001
7,84,17,5,7,200001,450001
7,85,9,1,2,230001,800001
7,86,1,0,0,760001,760001
7,88,19,9,11,200001,780001
7,89,1,1,1,250001,250001
7,90,15,4,8,210001,570001
7,91,6,2,2,400001,780001
7,92,22,3,6,220001,800001
7,94,19,7,8,200001,550001
7,95,27,0,2,520001,800001
7,96,6,2,4,280001,500001
7,97,9,1,2,200001,560001
7,98,20,2,9,200001,790001
7,99,23,2,4,260001,780001
8,0,6,4,5,260001,800001
8,1,1,1,1,310001,310001
8,2,9,2,3,260001,640001
8,3,3,1,1,310001,800001
8,4,1,1,1,200001,200001
8,5,3,1,2,610001,630001
8,6,1,1,1,220001,220001
8,7,5,3,3,310001,700001
8,8,17,1,3,520001,800001
8,9,3,2,2,200001,380001
8,10,5,2,2,410001,580001
8,11,2,0,1,270001,280001
8,12,3,2,3,290001,530001
8,13,7,3,3,320001,700001
8,14,3,3,3,440001,760001
8,16,26,3,9,290001,800001
8,17,2,2,2,280001,290001
8,18,7,3,3,200001,470001
8,19,13,7,7,200001,800001
8,20,5,4,4,230001,760001
8,21,20,6,8,250001,700001
8,22,4,2,2,290001,700001
8,23,2,2,2,200001,350001
8,24,8,5,6,200001,600001
8,25,18,4,5,220001,720001
8,26,11,0,2,320001,470001
8,27,1,1,1,300001,300001
8,28,39,4,7,200001,800001
8,29,29,8,9,200001,760001
8,30,3,3,3,200001,760001
8,31,4,3,3,350001,760001
8,32,3,1,2,600001,620001
8,33,8,2,2,210001,280001
8,36,12,3,4,200001,760001
8,37,3,2,2,300001,380001
8,38,3,2,2,260001,560001
8,39,23,2,4,220001,800001
8,40,17,2,4,290001,620001
8,41,6,3,3,660001,740001
8,42,1,1,1,330001,330001
8,43,20,4,5,210001,790001
8,44,4,2,3,400001,460001
8,45,3,0,2,200001,280001
8,46,6,1,2,230001,460001
8,47,6,5,5,200001,790001
8,49,25,5,7,200001,760001
8,50,8,2,4,210001,620001
8,51,1,0,1,200001,200001
8,52,16,4,5,290001,610001
8,53,5,3,4,200001,370001
8,54,14,2,6,400001,660001
8,55,10,6,6,200001,530001
8,57,3,1,1,760001,780001
8,59,4,1,3,200001,480001
8,61,4,2,3,210001,290001
8,62,4,0,0,310001,340001
8,63,1,0,1,680001,680001
8,65,1,0,1,200001,200001
8,66,6,2,3,340001,430001
8,67,3,0,1,200001,800001
8,68,18,2,5,250001,800001
8,70,15,6,10,210001,800001
8,71,5,1,2,430001,700001
8,73,20,1,7,410001,700001
8,74,4,4,4,660001,760001
8,75,7,5,6,210001,700001
8,76,15,3,5,200001,440001
8,77,3,0,2,200001,260001
8,78,1,1,1,760001,760001
8,79,1,0,0,250001,250001
8,80,24,3,5,200001,680001
8,81,2,2,2,330001,440001
8,82,1,0,1,280001,280001
8,83,3,1,2,530001,700001
8,84,15,5,6,330001,800001
8,85,8,2,3,280001,510001
8,86,6,2,3,200001,370001
8,87,1,1,1,300001,300001
8,88,5,3,3,620001,770001
8,89,1,1,1,310001,310001
8,90,28,0,1,530001,800001
8,91,17,2,5,210001,470001
8,93,5,4,5,280001,330001
8,94,2,2,2,290001,490001
8,95,4,1,2,460001,520001
8,96,4,2,2,200001,760001
8,97,3,3,3,430001,800001
8,98,9,3,3,300001,800001
8,99,40,2,5,280001,800001
9,1,2,0,2,200001,210001
9,2,3,1,3,200001,790001
9,3,1,1,1,790001,790001
9,4,5,2,3,200001,640001
9,5,2,0,1,380001,390001
9,6,1,1,1,200001,200001
9,7,15,2,3,220001,580001
9,8,38,1,5,200001,780001
9,9,22,1,5,200001,790001
9,10,9,1,1,650001,800001
9,11,6,2,2,380001,780001
9,12,5,3,4,720001,780001
9,13,7,0,2,560001,630001
9,14,8,5,6,640001,790001
9,15,2,1,2,210001,790001
9,16,3,2,2,200001,220001
9,17,10,4,4,390001,790001
9,18,4,1,1,210001,800001
9,19,11,6,6,210001,780001
9,20,22,3,3,200001,800001
9,22,5,2,3,380001,440001
9,23,20,5,7,200001,800001
9,24,8,5,5,200001,430001
9,25,12,5,5,390001,800001
9,26,3,1,1,570001,590001
9,27,1,0,0,790001,790001
9,28,1,1,1,210001,210001
9,29,9,3,3,200001,780001
9,30,6,1,2,200001,790001
9,31,14,5,7,200001,780001
9,33,10,3,3,270001,770001
9,34,7,2,3,220001,470001
9,35,1,1,1,380001,380001
9,36,38,4,9,200001,800001
9,37,11,4,5,210001,790001
9,38,4,1,1,200001,800001
9,39,22,3,5,200001,780001
9,40,3,2,2,610001,780001
9,41,7,4,4,200001,780001
9,42,1,0,0,790001,790001
9,43,10,6,6,240001,780001
9,44,20,1,3,380001,800001
9,45,7,1,2,510001,660001
9,46,5,2,2,200001,780001
9,47,18,3,3,200001,490001
9,48,19,3,3,210001,560001
9,49,11,1,3,380001,790001
9,50,20,7,9,200001,800001
9,51,10,0,1,700001,800001
9,53,14,1,6,220001,790001
9,54,27,1,9,410001,790001
9,55,3,0,1,770001,800001
9,56,9,3,4,200001,800001
9,57,3,1,2,590001,800001
9,58,3,1,1,780001,800001
9,59,9,0,1,200001,800001
9,60,12,3,3,210001,800001
9,61,9,2,4,200001,790001
9,62,11,2,3,200001,640001
9,63,2,1,2,200001,220001
9,64,6,3,3,200001,800001
9,65,7,2,2,210001,610001
9,66,4,3,3,380001,510001
9,67,14,5,5,230001,660001
9,68,5,0,1,400001,440001
9,69,8,5,5,230001,800001
9,70,5,0,1,200001,250001
9,71,5,1,4,560001,650001
9,72,6,3,3,200001,800001
9,73,11,8,8,200001,780001
9,75,5,3,4,370001,800001
9,76,13,3,5,370001,780001
9,77,2,0,0,200001,210001
9,78,10,0,3,200001,790001
9,79,19,1,4,200001,800001
9,80,1,1,1,200001,200001
9,81,3,1,2,390001,790001
9,82,6,5,6,200001,780001
9,83,5,2,4,200001,290001
9,84,33,1,6,200001,800001
9,85,19,7,8,290001,780001
9,86,9,0,3,200001,640001
9,87,7,1,2,200001,260001
9,89,35,2,3,200001,800001
9,90,19,6,6,210001,780001
9,92,24,3,7,370001,780001
9,93,8,6,6,260001,790001
9,95,1,1,1,230001,230001
9,96,9,2,3,200001,340001
9,97,21,0,7,210001,800001
9,98,2,1,2,650001,770001
9,99,16,1,5,200001,800001
10,0,5,3,3,220001,530001
10,2,11,0,1,200001,300001
10,3,8,0,0,730001,800001
10,4,18,7,9,200001,780001
10,5,7,3,3,200001,740001
10,6,5,2,2,450001,680001
10,7,2,1,1,450001,460001
10,9,19,0,3,200001,760001
10,10,3,1,1,220001,240001
