act,reg,lam,seed,task,tensor,ndim,numel,sq_norm,norm,norm0,norm_ratio,cos_w0,dist_w0,pen_l2,pen_l2init,pen_shell,pen_angular,reg_loss
R,none,0,8,23,b1,1,100,3.281480457,1.811485704,0.2046886733,8.849955766,0.1753761781,1.786986914,0.003281480457,0.003193322231,0.002581796699,0.0006115255324,0
R,none,0,8,23,W2,2,10000,1261.41789,35.51644534,5.794315006,6.129533052,0.2982082094,34.23818585,1.26141789,1.172253371,0.8834050319,0.2888483387,0
R,none,0,8,23,b2,1,100,167.9734385,12.96045672,0.5863603814,22.10322719,0.1565576868,12.88168223,0.1679734385,0.1659377372,0.1531182603,0.01281947693,0
R,none,0,8,23,W3,2,1000,1880.128952,43.36045378,1.830950648,23.68193475,0.430398951,42.60448162,1.880128952,1.815141854,1.72469963,0.09044222398,0
R,none,0,8,23,b3,1,10,0.1478424847,0.384502906,0.1899511938,2.024219477,0.1410628465,0.4041266966,0.0001478424847,0.0001633183869,3.785036874e-05,0.0001254680181,0
R,none,0,8,24,W1,2,78400,2529.393178,50.29307286,5.794016178,8.680174738,0.1371886262,49.82981615,2.529393178,2.483010578,1.980166046,0.5028445321,0
R,none,0,8,24,b1,1,100,3.281480457,1.811485704,0.2046886733,8.849955766,0.1753761781,1.786986914,0.003281480457,0.003193322231,0.002581796699,0.0006115255324,0
R,none,0,8,24,W2,2,10000,1261.41789,35.51644534,5.794315006,6.129533052,0.2982082094,34.23818585,1.26141789,1.172253371,0.8834050319,0.2888483387,0
R,none,0,8,24,b2,1,100,167.9734385,12.96045672,0.5863603814,22.10322719,0.1565576868,12.88168223,0.1679734385,0.1659377372,0.1531182603,0.01281947693,0
R,none,0,8,24,W3,2,1000,1880.128952,43.36045378,1.830950648,23.68193475,0.430398951,42.60448162,1.880128952,1.815141854,1.72469963,0.09044222398,0
R,none,0,8,24,b3,1,10,0.1355823043,0.3682150246,0.1899511938,1.938471758,0.2703380496,0.365851493,0.0001355823043,0.0001338473149,3.177799338e-05,0.0001020693216,0
R,none,0,8,25,W1,2,78400,2529.393178,50.29307286,5.794016178,8.680174738,0.1371886262,49.82981615,2.529393178,2.483010578,1.980166046,0.5028445321,0
R,none,0,8,25,b1,1,100,3.281480457,1.811485704,0.2046886733,8.849955766,0.1753761781,1.786986914,0.003281480457,0.003193322231,0.002581796699,0.0006115255324,0
R,none,0,8,25,W2,2,10000,1261.41789,35.51644534,5.794315006,6.129533052,0.2982082094,34.23818585,1.26141789,1.172253371,0.8834050319,0.2888483387,0
R,none,0,8,25,b2,1,100,167.9734385,12.96045672,0.5863603814,22.10322719,0.1565576868,12.88168223,0.1679734385,0.1659377372,0.1531182603,0.01281947693,0
R,none,0,8,25,W3,2,1000,1880.128952,43.36045378,1.830950648,23.68193475,0.430398951,42.60448162,1.880128952,1.815141854,1.72469963,0.09044222398,0
R,none,0,8,25,b3,1,10,0.1224628583,0.3499469364,0.1899511938,1.842299222,0.2433460819,0.3552358439,0.0001224628583,0.0001261925048,2.559863766e-05,0.0001005938671,0
