a,seed,feature,threshold,ba
0.6,8.0,qcov,0.13674665987491608,0.5292119640678926
0.6,9.0,qcov,0.13674665987491608,0.5341407617295253
0.6,5.0,qcov_v2,0.007642293814569712,0.5321287279565308
0.6,6.0,qcov_v2,0.007642293814569712,0.5289282123116221
0.6,7.0,qcov_v2,0.007642293814569712,0.5316056000566469
0.6,8.0,qcov_v2,0.007642293814569712,0.5304411146682045
0.6,9.0,qcov_v2,0.007642293814569712,0.5359426975508662
0.65,5.0,q,0.00611254945397377,0.519251883328683
0.65,6.0,q,0.00611254945397377,0.5235050229649449
0.65,7.0,q,0.00611254945397377,0.502362946018364
0.65,8.0,q,0.00611254945397377,0.5179587970671474
0.65,9.0,q,0.00611254945397377,0.5166886621493855
0.65,5.0,qabs,0.19222860038280487,0.5235893258336335
0.65,6.0,qabs,0.19222860038280487,0.5262867558948998
0.65,7.0,qabs,0.19222860038280487,0.5203470635214897
0.65,8.0,qabs,0.19222860038280487,0.5218334176731554
0.65,9.0,qabs,0.19222860038280487,0.5272781504659854
0.65,5.0,q_integral,0.0022082929499447346,0.5279242356892224
0.65,6.0,q_integral,0.0022082929499447346,0.5292216941898267
0.65,7.0,q_integral,0.0022082929499447346,0.5160725295665305
0.65,8.0,q_integral,0.0022082929499447346,0.5248984459771255
0.65,9.0,q_integral,0.0022082929499447346,0.5247440738823106
0.65,5.0,q_uniform,0.009387095458805561,0.5245395057338043
0.65,6.0,q_uniform,0.009387095458805561,0.5281628607921144
0.65,7.0,q_uniform,0.009387095458805561,0.5111802314392029
0.65,8.0,q_uniform,0.009387095458805561,0.5226074001161305
0.65,9.0,q_uniform,0.009387095458805561,0.5218101391202558
0.65,5.0,qcov,0.1455782949924469,0.5222536399520191
0.65,6.0,qcov,0.1455782949924469,0.5266244632349417
0.65,7.0,qcov,0.1455782949924469,0.5223122286152188
0.65,8.0,qcov,0.1455782949924469,0.5244545776028438
0.65,9.0,qcov,0.1455782949924469,0.5281175431092702
0.65,5.0,qcov_v2,0.00653288047760725,0.5243554041213606
0.65,6.0,qcov_v2,0.00653288047760725,0.5255950585190219
0.65,7.0,qcov_v2,0.00653288047760725,0.5247622242802049
0.65,8.0,qcov_v2,0.00653288047760725,0.5222892107902949
0.65,9.0,qcov_v2,0.00653288047760725,0.5285556706136599
0.8,5.0,q,0.006105559878051281,0.5192087433317578
0.8,6.0,q,0.006105559878051281,0.5190075105006475
0.8,7.0,q,0.006105559878051281,0.5209055018938327
0.8,8.0,q,0.006105559878051281,0.516799488075288
0.8,9.0,q,0.006105559878051281,0.5138699392516751
0.8,5.0,qabs,0.19223250448703766,0.5144279202793481
0.8,6.0,qabs,0.19223250448703766,0.5144334022382866
0.8,7.0,qabs,0.19223250448703766,0.5218169206283217
0.8,8.0,qabs,0.19223250448703766,0.5185355815918404
0.8,9.0,qabs,0.19223250448703766,0.5188990592848227
0.8,5.0,q_integral,0.0007070760475471616,0.5219003436233514
0.8,6.0,q_integral,0.0007070760475471616,0.5258401860612985
0.8,7.0,q_integral,0.0007070760475471616,0.5242956322896006
0.8,8.0,q_integral,0.0007070760475471616,0.5169167044796411
0.8,9.0,q_integral,0.0007070760475471616,0.518363358932663
0.8,5.0,q_uniform,0.0052154893055558205,0.518523523791467
0.8,6.0,q_uniform,0.0052154893055558205,0.5205279023675411
0.8,7.0,q_uniform,0.0052154893055558205,0.5195543519924581
0.8,8.0,q_uniform,0.0052154893055558205,0.5152083457545287
0.8,9.0,q_uniform,0.0052154893055558205,0.5141801761989335
0.8,5.0,qcov,0.136513352394104,0.5110652519306521
0.8,6.0,qcov,0.136513352394104,0.5111639504270884
0.8,7.0,qcov,0.136513352394104,0.5138148288280355
0.8,8.0,qcov,0.136513352394104,0.5136555404767384
0.8,9.0,qcov,0.136513352394104,0.5116588251481214
0.8,5.0,qcov_v2,0.0060752201825380325,0.5047175977043417
0.8,6.0,qcov_v2,0.0060752201825380325,0.5061519241375317
0.8,7.0,qcov_v2,0.0060752201825380325,0.5059456398157809
0.8,8.0,qcov_v2,0.0060752201825380325,0.5059670547957986
0.8,9.0,qcov_v2,0.0060752201825380325,0.5078630402516536
