feature,a,seed,phase,n,ba
q,0.45,8,1.0,2000,0.5633995845471195
q,0.45,8,2.0,2000,0.5516290726817042
q,0.45,8,3.0,2000,0.5495171304667872
q,0.45,8,4.0,2000,0.5654289442209417
q,0.45,8,5.0,2000,0.5464346304413015
q,0.45,8,6.0,2000,0.5373344231801402
q,0.45,8,7.0,2000,0.5388223191783876
q,0.45,8,8.0,1999,0.5545858334797854
q,0.45,8,9.0,1998,0.5482941176470588
q,0.45,9,0.0,2000,0.46910393296391406
q,0.45,9,1.0,2000,0.553836560403986
q,0.45,9,2.0,2000,0.578593207338866
q,0.45,9,3.0,2000,0.5549158706866284
q,0.45,9,4.0,2000,0.5638367240479917
q,0.45,9,5.0,2000,0.5578234807771807
q,0.45,9,6.0,2000,0.5613700207775565
q,0.45,9,7.0,1999,0.5624391947645769
q,0.45,9,8.0,2000,0.5552
q,0.45,9,9.0,2000,0.5662604415527204
q,0.55,5,0.0,2000,0.40872446784536276
q,0.55,5,1.0,2000,0.5370428751576293
q,0.55,5,2.0,2000,0.5342514156795006
q,0.55,5,3.0,1999,0.5382974535985708
q,0.55,5,4.0,2000,0.5214979306670833
q,0.55,5,5.0,2000,0.5362394816113906
q,0.55,5,6.0,1999,0.5271709194046234
q,0.55,5,7.0,1999,0.5161117953919722
q,0.55,5,8.0,2000,0.5354346271034591
q,0.55,5,9.0,2000,0.5235929063926661
q,0.55,6,0.0,2000,0.4101829218697158
q,0.55,6,1.0,1999,0.5374395895069708
q,0.55,6,2.0,2000,0.5135135977655025
q,0.55,6,3.0,2000,0.5062895152792413
q,0.55,6,4.0,2000,0.4888152637322073
q,0.55,6,5.0,2000,0.49161664665866345
q,0.55,6,6.0,2000,0.49496581876947565
q,0.55,6,7.0,2000,0.49282064834390416
q,0.55,6,8.0,2000,0.4846089812611406
q,0.55,6,9.0,2000,0.49594416262091845
q,0.55,7,0.0,2000,0.46715687107425846
q,0.55,7,1.0,2000,0.49410143900956316
q,0.55,7,2.0,2000,0.49546142595342757
q,0.55,7,3.0,2000,0.508796992481203
q,0.55,7,4.0,2000,0.503494503208462
q,0.55,7,5.0,2000,0.4891617571721312
q,0.55,7,6.0,2000,0.49148593697051846
q,0.55,7,7.0,2000,0.47752471977854954
q,0.55,7,8.0,1999,0.49120002047816513
q,0.55,7,9.0,1999,0.5034988685556867
q,0.55,8,0.0,2000,0.4503323769457636
q,0.55,8,1.0,2000,0.5063796391622082
q,0.55,8,2.0,2000,0.5067953727112541
q,0.55,8,3.0,2000,0.5263381290332962
q,0.55,8,4.0,2000,0.5064612092220624
q,0.55,8,5.0,2000,0.511746302275246
q,0.55,8,6.0,2000,0.498424309226183
q,0.55,8,7.0,2000,0.49871369711586777
q,0.55,8,8.0,2000,0.5121087828983852
q,0.55,8,9.0,2000,0.4947419134519978
q,0.55,9,0.0,2000,0.4595028996679616
q,0.55,9,1.0,2000,0.5141761244220261
q,0.55,9,2.0,2000,0.5166396103896104
q,0.55,9,3.0,2000,0.5082765380112714
q,0.55,9,4.0,2000,0.5039150156600627
q,0.55,9,5.0,2000,0.5041918699969135
q,0.55,9,6.0,2000,0.5028999058921158
q,0.55,9,7.0,2000,0.49879504015191745
q,0.55,9,8.0,2000,0.5001136833402232
q,0.55,9,9.0,2000,0.5105940297158631
q,0.6,5,0.0,2000,0.4511716255090414
q,0.6,5,1.0,2000,0.5448131203733383
q,0.6,5,2.0,2000,0.5592472148075742
q,0.6,5,3.0,2000,0.5450401240187591
q,0.6,5,4.0,2000,0.5486137777436448
q,0.6,5,5.0,2000,0.5523019437387371
q,0.6,5,6.0,2000,0.5302579365079365
q,0.6,5,7.0,2000,0.5398345398345399
q,0.6,5,8.0,1999,0.5310522912195278
q,0.6,5,9.0,2000,0.5288428415690312
q,0.6,6,0.0,2000,0.4380962659184114
q,0.6,6,1.0,2000,0.5393601324045167
q,0.6,6,2.0,2000,0.5185942528589419
q,0.6,6,3.0,1999,0.5135120562029505
q,0.6,6,4.0,2000,0.52718646442822
q,0.6,6,5.0,2000,0.5206516676618183
q,0.6,6,6.0,2000,0.5157746546662174
q,0.6,6,7.0,2000,0.5183393974326644
q,0.6,6,8.0,2000,0.5218635713149944
q,0.6,6,9.0,1999,0.523023863536164
q,0.6,7,0.0,2000,0.4439111356663354
q,0.6,7,1.0,2000,0.5066098845061882
q,0.6,7,2.0,2000,0.511593405153207
q,0.6,7,3.0,2000,0.5276429454167784
q,0.6,7,4.0,2000,0.5210636714119851
q,0.6,7,5.0,2000,0.5061966663847712
q,0.6,7,6.0,2000,0.5121045116360631
q,0.6,7,7.0,2000,0.5138086303939963
q,0.6,7,8.0,1998,0.5069201725133072
q,0.6,7,9.0,2000,0.5118295739348371
q,0.6,8,0.0,2000,0.40557122491837455
q,0.6,8,1.0,2000,0.5176294764586287
q,0.6,8,2.0,2000,0.5158674456542358
q,0.6,8,3.0,2000,0.507321594068582
q,0.6,8,4.0,2000,0.5109412665608553
q,0.6,8,5.0,2000,0.49911013099476764
q,0.6,8,6.0,2000,0.4943375814029177
q,0.6,8,7.0,2000,0.4995657064175383
q,0.6,8,8.0,2000,0.4881919085143187
q,0.6,8,9.0,2000,0.48634913420715165
q,0.6,9,0.0,2000,0.43363636363636365
q,0.6,9,1.0,2000,0.479819420310587
q,0.6,9,2.0,2000,0.5000517762323512
q,0.6,9,3.0,2000,0.5118845911797454
q,0.6,9,4.0,1999,0.5044078099952757
q,0.6,9,5.0,2000,0.49128802767667734
q,0.6,9,6.0,2000,0.4858303522585329
q,0.6,9,7.0,2000,0.5069423558897244
q,0.6,9,8.0,2000,0.4945960485133021
q,0.6,9,9.0,2000,0.5040347314386638
q,0.65,5,0.0,2000,0.43741525787350893
q,0.65,5,1.0,2000,0.5286099971167204
q,0.65,5,2.0,2000,0.5300178323756688
q,0.65,5,3.0,2000,0.544720022408393
q,0.65,5,4.0,2000,0.5357445306986591
q,0.65,5,5.0,2000,0.5478085573670626
q,0.65,5,6.0,2000,0.5416506625696178
q,0.65,5,7.0,1999,0.5281566566566567
q,0.65,5,8.0,2000,0.5427926485655737
q,0.65,5,9.0,2000,0.5353829393732107
q,0.65,6,0.0,2000,0.4540328646680837
q,0.65,6,1.0,2000,0.5457717676952262
q,0.65,6,2.0,2000,0.5234558124802027
q,0.65,6,3.0,2000,0.536560927660914
q,0.65,6,4.0,2000,0.5387212276214834
q,0.65,6,5.0,2000,0.5385903792040735
q,0.65,6,6.0,2000,0.5243693439399555
q,0.65,6,7.0,2000,0.5409373745483741
q,0.65,6,8.0,2000,0.5286253123198155
q,0.65,6,9.0,2000,0.5255147108106026
q,0.65,7,0.0,2000,0.45822087331740735
q,0.65,7,1.0,2000,0.4974043296726739
q,0.65,7,2.0,2000,0.5050812454393259
q,0.65,7,3.0,2000,0.5071015375882736
q,0.65,7,4.0,2000,0.5300505050505051
q,0.65,7,5.0,2000,0.522650667660242
q,0.65,7,6.0,2000,0.5173166605134116
q,0.65,7,7.0,2000,0.5181146918777172
q,0.65,7,8.0,2000,0.5269629439753921
q,0.65,7,9.0,2000,0.5157544625375196
q,0.65,8,0.0,2000,0.4218012379777086
q,0.65,8,1.0,2000,0.48812711291413113
q,0.65,8,2.0,2000,0.5106407760528462
q,0.65,8,3.0,2000,0.505225738862275
q,0.65,8,4.0,2000,0.5207710524305467
q,0.65,8,5.0,2000,0.5117497252419725
q,0.65,8,6.0,2000,0.5127373958499577
q,0.65,8,7.0,2000,0.5111873906690231
q,0.65,8,8.0,2000,0.5073596568361178
q,0.65,8,9.0,2000,0.48800087536490266
q,0.65,9,0.0,2000,0.4603680279258314
q,0.65,9,1.0,2000,0.5067662825680711
q,0.65,9,2.0,2000,0.5059823360349665
q,0.65,9,3.0,2000,0.5171189791516895
q,0.65,9,4.0,2000,0.533038169479553
q,0.65,9,5.0,1999,0.5144814915213397
q,0.65,9,6.0,2000,0.5334141566912838
q,0.65,9,7.0,2000,0.5379535774424671
q,0.65,9,8.0,1999,0.5369642983816212
q,0.65,9,9.0,2000,0.5173759426251121
q,0.8,5,0.0,2000,0.4626165121683393
q,0.8,5,1.0,2000,0.5621687618331448
q,0.8,5,2.0,2000,0.5162859206504906
q,0.8,5,3.0,2000,0.4967743438553686
q,0.8,5,4.0,2000,0.5184623677649755
q,0.8,5,5.0,2000,0.5246912173556355
q,0.8,5,6.0,2000,0.5307829278637992
q,0.8,5,7.0,2000,0.5116453904273677
q,0.8,5,8.0,2000,0.515215195579225
q,0.8,5,9.0,2000,0.4958600891440659
q,0.8,6,0.0,2000,0.46960555680934823
q,0.8,6,1.0,2000,0.5485537866876311
q,0.8,6,2.0,2000,0.5589084317937701
q,0.8,6,3.0,2000,0.5560095054135109
q,0.8,6,4.0,2000,0.5317033673350139
q,0.8,6,5.0,2000,0.541868409110779
q,0.8,6,6.0,2000,0.5126793943383805
q,0.8,6,7.0,2000,0.4949526864994491
q,0.8,6,8.0,2000,0.5291633545310016
q,0.8,6,9.0,2000,0.49689471130519164
q,0.8,7,0.0,2000,0.4780938810272537
q,0.8,7,1.0,2000,0.5626494323158888
q,0.8,7,2.0,2000,0.5948400624600633
q,0.8,7,3.0,2000,0.5222392547100758
q,0.8,7,4.0,2000,0.5286990151993438
q,0.8,7,5.0,2000,0.5166555372919663
q,0.8,7,6.0,2000,0.5196243150788605
q,0.8,7,7.0,2000,0.49261256302153056
q,0.8,7,8.0,2000,0.5355229414234115
q,0.8,7,9.0,2000,0.4823591496205458
q,0.8,8,0.0,2000,0.4982065738292927
q,0.8,8,1.0,2000,0.5127216513041176
q,0.8,8,2.0,2000,0.5203588331238803
q,0.8,8,3.0,2000,0.5161291527525643
q,0.8,8,4.0,2000,0.4937786232870354
q,0.8,8,5.0,2000,0.5472608001763426
q,0.8,8,6.0,2000,0.5140975755761749
q,0.8,8,7.0,2000,0.5309893358673846
q,0.8,8,8.0,2000,0.5557781436015266
q,0.8,8,9.0,2000,0.5774081985555894
q,0.8,9,0.0,2000,0.4970089431097973
q,0.8,9,1.0,2000,0.526157392519634
q,0.8,9,2.0,2000,0.5266003986435763
q,0.8,9,3.0,2000,0.5402175484587239
q,0.8,9,4.0,2000,0.5498099656627611
q,0.8,9,5.0,2000,0.5538525557978976
q,0.8,9,6.0,2000,0.5227641855000346
q,0.8,9,7.0,2000,0.5557978503513848
q,0.8,9,8.0,2000,0.5348925738592989
q,0.8,9,9.0,2000,0.5351918158567774
qabs_mean,0.35,5,0.0,2000,0.48939609465925255
qabs_mean,0.35,5,1.0,2000,0.4899500160057159
qabs_mean,0.35,5,2.0,2000,0.4930057419451455
qabs_mean,0.35,5,3.0,2000,0.4949263779415183
qabs_mean,0.35,5,4.0,1997,0.4948328526604051
qabs_mean,0.35,5,5.0,1998,0.4902966996563005
qabs_mean,0.35,5,6.0,1996,0.5014362539626257
qabs_mean,0.35,5,7.0,1984,0.497681086094949
qabs_mean,0.35,5,8.0,1970,0.48648156592081826
qabs_mean,0.35,5,9.0,1965,0.5047049938087922
qabs_mean,0.35,6,0.0,2000,0.5005756429301177
qabs_mean,0.35,6,1.0,2000,0.4941152912317589
qabs_mean,0.35,6,2.0,2000,0.49670795434305504
qabs_mean,0.35,6,3.0,2000,0.4850110914205693
qabs_mean,0.35,6,4.0,1999,0.4865518825182266
qabs_mean,0.35,6,5.0,1998,0.5037943024857768
qabs_mean,0.35,6,6.0,1995,0.49469924465041204
qabs_mean,0.35,6,7.0,1988,0.5013982503943784
qabs_mean,0.35,6,8.0,1982,0.4952535919280991
qabs_mean,0.35,6,9.0,1973,0.49792488616612807
qabs_mean,0.35,7,0.0,2000,0.5257831243875241
qabs_mean,0.35,7,1.0,2000,0.4915674915674916
qabs_mean,0.35,7,2.0,2000,0.49078610295155406
qabs_mean,0.35,7,3.0,1999,0.5023576480305612
qabs_mean,0.35,7,4.0,1999,0.49381696489665644
qabs_mean,0.35,7,5.0,1999,0.49529029244655254
qabs_mean,0.35,7,6.0,1998,0.4981952887537994
qabs_mean,0.35,7,7.0,1995,0.49563641394576646
qabs_mean,0.35,7,8.0,1994,0.49700858849848994
qabs_mean,0.35,7,9.0,1978,0.4924277997602903
qabs_mean,0.35,8,0.0,2000,0.5126675978121431
qabs_mean,0.35,8,1.0,2000,0.47350235023502346
qabs_mean,0.35,8,2.0,2000,0.4756997195945843
qabs_mean,0.35,8,3.0,2000,0.4755698048380975
qabs_mean,0.35,8,4.0,1999,0.47306379495334216
qabs_mean,0.35,8,5.0,1996,0.48583319280026727
qabs_mean,0.35,8,6.0,1993,0.48376872169975615
qabs_mean,0.35,8,7.0,1982,0.48319693886578785
qabs_mean,0.35,8,8.0,1977,0.48975731280739676
qabs_mean,0.35,8,9.0,1959,0.49109696652298274
qabs_mean,0.35,9,0.0,2000,0.5023230216660873
qabs_mean,0.35,9,1.0,2000,0.4949947906189105
qabs_mean,0.35,9,2.0,2000,0.4877028986385244
qabs_mean,0.35,9,3.0,2000,0.4942923026109224
qabs_mean,0.35,9,4.0,1999,0.4839997675229571
qabs_mean,0.35,9,5.0,2000,0.48741681230171535
qabs_mean,0.35,9,6.0,1998,0.4839612100949278
qabs_mean,0.35,9,7.0,1995,0.49467039271808355
qabs_mean,0.35,9,8.0,1990,0.4954140162773256
qabs_mean,0.35,9,9.0,1981,0.4849436523659511
qabs_mean,0.4,5,0.0,2000,0.5135398923507013
qabs_mean,0.4,5,1.0,2000,0.48803255628021436
qabs_mean,0.4,5,2.0,1999,0.49221662291157453
qabs_mean,0.4,5,3.0,2000,0.488960597826087
qabs_mean,0.4,5,4.0,1998,0.4865664713649117
qabs_mean,0.4,5,5.0,1998,0.48376829258249676
qabs_mean,0.4,5,6.0,1999,0.49144634766958356
qabs_mean,0.4,5,7.0,1994,0.4907974812826551
qabs_mean,0.4,5,8.0,1997,0.49496998387924557
qabs_mean,0.4,5,9.0,1987,0.4987602805999033
qabs_mean,0.4,6,0.0,1999,0.5047458975186272
qabs_mean,0.4,6,1.0,2000,0.47799331245537513
qabs_mean,0.4,6,2.0,1999,0.46802669208770253
qabs_mean,0.4,6,3.0,1999,0.48698064608085684
qabs_mean,0.4,6,4.0,2000,0.4836617405582923
qabs_mean,0.4,6,5.0,1998,0.49906679841277307
qabs_mean,0.4,6,6.0,1999,0.5020188141332428
qabs_mean,0.4,6,7.0,2000,0.49426666666666663
qabs_mean,0.4,6,8.0,1996,0.512781870420947
qabs_mean,0.4,6,9.0,1995,0.4986567805716742
qabs_mean,0.4,7,0.0,2000,0.5364608709459835
qabs_mean,0.4,7,1.0,2000,0.4709653092006033
qabs_mean,0.4,7,2.0,2000,0.4854269583627382
qabs_mean,0.4,7,3.0,2000,0.4752792659295566
qabs_mean,0.4,7,4.0,1998,0.4949487228222694
qabs_mean,0.4,7,5.0,1999,0.4693046491675215
qabs_mean,0.4,7,6.0,1996,0.47942518868565986
qabs_mean,0.4,7,7.0,1997,0.4716029816814585
qabs_mean,0.4,7,8.0,1996,0.4856331668605049
qabs_mean,0.4,7,9.0,1993,0.47224591527080084
qabs_mean,0.4,8,0.0,2000,0.515430471658587
qabs_mean,0.4,8,1.0,2000,0.4922406928939372
qabs_mean,0.4,8,2.0,2000,0.48962585034013606
qabs_mean,0.4,8,3.0,2000,0.4731613285883749
qabs_mean,0.4,8,4.0,1999,0.4884565919706978
qabs_mean,0.4,8,5.0,1998,0.4771104403367993
qabs_mean,0.4,8,6.0,1998,0.4748126009557141
qabs_mean,0.4,8,7.0,1996,0.4726900839729279
qabs_mean,0.4,8,8.0,1995,0.48933786111328587
qabs_mean,0.4,8,9.0,1995,0.49138527339371185
qabs_mean,0.4,9,0.0,2000,0.5017194109303232
qabs_mean,0.4,9,1.0,1999,0.4920392268231228
qabs_mean,0.4,9,2.0,2000,0.47930702983777146
qabs_mean,0.4,9,3.0,2000,0.48588039531662086
qabs_mean,0.4,9,4.0,2000,0.4886172264607179
qabs_mean,0.4,9,5.0,1999,0.5002065126239337
qabs_mean,0.4,9,6.0,2000,0.49253025964138186
qabs_mean,0.4,9,7.0,2000,0.49982700713912
qabs_mean,0.4,9,8.0,1998,0.5003777018558896
qabs_mean,0.4,9,9.0,1996,0.4922339310866055
qabs_mean,0.45,5,0.0,2000,0.5123643453921086
qabs_mean,0.45,5,1.0,2000,0.4888201160541586
qabs_mean,0.45,5,2.0,1999,0.4950377529447297
qabs_mean,0.45,5,3.0,2000,0.5061060061060061
qabs_mean,0.45,5,4.0,2000,0.5008048969933073
qabs_mean,0.45,5,5.0,2000,0.49851999223602483
qabs_mean,0.45,5,6.0,2000,0.5048890906414094
qabs_mean,0.45,5,7.0,1998,0.49775753645544824
qabs_mean,0.45,5,8.0,2000,0.5011236001470595
qabs_mean,0.45,5,9.0,2000,0.5049701452746592
qabs_mean,0.45,6,0.0,2000,0.5060874069444385
qabs_mean,0.45,6,1.0,2000,0.49252168648720374
qabs_mean,0.45,6,2.0,2000,0.4832518248763274
qabs_mean,0.45,6,3.0,2000,0.49237149237149236
qabs_mean,0.45,6,4.0,2000,0.486066129396701
qabs_mean,0.45,6,5.0,2000,0.5018330655136699
qabs_mean,0.45,6,6.0,2000,0.491743997801817
qabs_mean,0.45,6,7.0,2000,0.49720463853367786
qabs_mean,0.45,6,8.0,1999,0.4958372564755543
qabs_mean,0.45,6,9.0,1999,0.5011730280332372
qabs_mean,0.45,7,0.0,2000,0.5537435371315018
qabs_mean,0.45,7,1.0,1999,0.4383955573062887
qabs_mean,0.45,7,2.0,2000,0.45776942355889727
qabs_mean,0.45,7,3.0,2000,0.4775337978041802
qabs_mean,0.45,7,4.0,2000,0.4589448671604439
qabs_mean,0.45,7,5.0,2000,0.45845480529306737
qabs_mean,0.45,7,6.0,2000,0.4728776112512572
qabs_mean,0.45,7,7.0,1999,0.46632503892967236
qabs_mean,0.45,7,8.0,1998,0.482455409928889
qabs_mean,0.45,7,9.0,1999,0.48771376285732315
qabs_mean,0.45,8,0.0,2000,0.5040676593223196
qabs_mean,0.45,8,1.0,2000,0.4813466163534381
qabs_mean,0.45,8,2.0,2000,0.4827067669172932
qabs_mean,0.45,8,3.0,2000,0.47560448704613467
qabs_mean,0.45,8,4.0,2000,0.4928579770376008
qabs_mean,0.45,8,5.0,2000,0.4933720562440694
qabs_mean,0.45,8,6.0,2000,0.4826474673353246
qabs_mean,0.45,8,7.0,2000,0.4980425279473576
qabs_mean,0.45,8,8.0,1999,0.4936947143347309
qabs_mean,0.45,8,9.0,1998,0.5044449197860963
qabs_mean,0.45,9,0.0,2000,0.476868495742668
qabs_mean,0.45,9,1.0,2000,0.46293767528443536
qabs_mean,0.45,9,2.0,2000,0.4474705272347451
qabs_mean,0.45,9,3.0,2000,0.47367839305559306
qabs_mean,0.45,9,4.0,2000,0.46824465310380803
qabs_mean,0.45,9,5.0,2000,0.4704836709384043
qabs_mean,0.45,9,6.0,2000,0.4732353756184594
qabs_mean,0.45,9,7.0,1999,0.47134688476708825
qabs_mean,0.45,9,8.0,2000,0.478
qabs_mean,0.45,9,9.0,2000,0.47528126535522464
qabs_mean,0.55,5,0.0,2000,0.4115337731249104
qabs_mean,0.55,5,1.0,2000,0.46635140815468684
qabs_mean,0.55,5,2.0,2000,0.4793970949039629
qabs_mean,0.55,5,3.0,1999,0.4884543958983054
qabs_mean,0.55,5,4.0,2000,0.5129171836243818
qabs_mean,0.55,5,5.0,2000,0.5181189904747994
qabs_mean,0.55,5,6.0,1999,0.523664638946253
qabs_mean,0.55,5,7.0,1999,0.5117273664042248
qabs_mean,0.55,5,8.0,2000,0.5254105589058852
qabs_mean,0.55,5,9.0,2000,0.5328022119499246
qabs_mean,0.55,6,0.0,2000,0.3948052985840286
qabs_mean,0.55,6,1.0,1999,0.49113979435572086
qabs_mean,0.55,6,2.0,2000,0.49179000877007034
qabs_mean,0.55,6,3.0,2000,0.5015394494204426
qabs_mean,0.55,6,4.0,2000,0.5164064433167423
qabs_mean,0.55,6,5.0,2000,0.5195878351340537
qabs_mean,0.55,6,6.0,2000,0.5328971842986348
qabs_mean,0.55,6,7.0,2000,0.5322089819975655
qabs_mean,0.55,6,8.0,2000,0.545089280777262
qabs_mean,0.55,6,9.0,2000,0.5511560145445153
qabs_mean,0.55,7,0.0,2000,0.42094568954287237
qabs_mean,0.55,7,1.0,2000,0.43080435602479084
qabs_mean,0.55,7,2.0,2000,0.46067523106815167
qabs_mean,0.55,7,3.0,2000,0.4781453634085213
qabs_mean,0.55,7,4.0,2000,0.498911843305436
qabs_mean,0.55,7,5.0,2000,0.49289991034836067
qabs_mean,0.55,7,6.0,2000,0.4998406512723693
qabs_mean,0.55,7,7.0,2000,0.508764904832261
qabs_mean,0.55,7,8.0,1999,0.5087938360722879
qabs_mean,0.55,7,9.0,1999,0.515432326511872
qabs_mean,0.55,8,0.0,2000,0.4094324558510759
qabs_mean,0.55,8,1.0,2000,0.4658212519619922
qabs_mean,0.55,8,2.0,2000,0.47598764013381345
qabs_mean,0.55,8,3.0,2000,0.5023837686477092
qabs_mean,0.55,8,4.0,2000,0.4911334792735819
qabs_mean,0.55,8,5.0,2000,0.49956391452724735
qabs_mean,0.55,8,6.0,2000,0.49650041333700745
qabs_mean,0.55,8,7.0,2000,0.5035574314139282
qabs_mean,0.55,8,8.0,2000,0.516599640977822
qabs_mean,0.55,8,9.0,2000,0.5163789139977739
qabs_mean,0.55,9,0.0,2000,0.4122995299061324
qabs_mean,0.55,9,1.0,2000,0.4317780580075662
qabs_mean,0.55,9,2.0,2000,0.4480113636363636
