target,feature,a,seed,slope,intercept,r2,spearman,ba
dsigma2,q_uniform,0.550000011920929,8.0,0.028157072,-0.0008816814,0.001102447509765625,0.05389237867433857,0.5206711684406846
dsigma2,q_uniform,0.550000011920929,9.0,0.028157072,-0.0008816814,0.0012128949165344238,0.05207239575558505,0.5221660846094318
dsigma2,q_uniform,0.6000000238418579,5.0,0.028157072,-0.0008816814,0.0018230080604553223,0.058280317240917555,0.5222173826007523
dsigma2,q_uniform,0.6000000238418579,6.0,0.028157072,-0.0008816814,0.0020638108253479004,0.06861667475128144,0.5284665768513181
dsigma2,q_uniform,0.6000000238418579,7.0,0.028157072,-0.0008816814,0.0008405447006225586,0.05557138062917987,0.5211927342778339
dsigma2,q_uniform,0.6000000238418579,8.0,0.028157072,-0.0008816814,0.0008762478828430176,0.055841963068201966,0.5257510353626895
dsigma2,q_uniform,0.6000000238418579,9.0,0.028157072,-0.0008816814,0.0014172792434692383,0.05659383862023213,0.5260388840129071
dsigma2,q_uniform,0.6499999761581421,5.0,0.028157072,-0.0008816814,0.0021909475326538086,0.05734523897119404,0.527254645423533
dsigma2,q_uniform,0.6499999761581421,6.0,0.028157072,-0.0008816814,0.001984834671020508,0.07171535724816759,0.5297704774283774
dsigma2,q_uniform,0.6499999761581421,7.0,0.028157072,-0.0008816814,0.0002511143684387207,0.02575560586123323,0.5125661371926993
dsigma2,q_uniform,0.6499999761581421,8.0,0.028157072,-0.0008816814,0.001207888126373291,0.052331440532707295,0.5247853685911329
dsigma2,q_uniform,0.6499999761581421,9.0,0.028157072,-0.0008816814,0.0012526512145996094,0.044145547723175006,0.5232498818153167
dsigma2,q_uniform,0.800000011920929,5.0,0.028157072,-0.0008816814,0.0010189414024353027,0.052667066947086866,0.5185280172631774
dsigma2,q_uniform,0.800000011920929,6.0,0.028157072,-0.0008816814,0.00047957897186279297,0.05604599178747918,0.5205120175594983
dsigma2,q_uniform,0.800000011920929,7.0,0.028157072,-0.0008816814,0.0035366415977478027,0.05509254779243903,0.5195739354209353
dsigma2,q_uniform,0.800000011920929,8.0,0.028157072,-0.0008816814,0.001375734806060791,0.03159072925048712,0.5152896647297196
dsigma2,q_uniform,0.800000011920929,9.0,0.028157072,-0.0008816814,-4.744529724121094e-05,0.033346188524738835,0.5141396507533011
dsigma2,qcov,0.3499999940395355,5.0,0.08721185,-0.017124627,-0.01657998561859131,0.1401605276148395,0.5173973511270356
dsigma2,qcov,0.3499999940395355,6.0,0.08721185,-0.017124627,-0.020024418830871582,0.15370642593432587,0.5230648792930048
dsigma2,qcov,0.3499999940395355,7.0,0.08721185,-0.017124627,-0.0014338493347167969,0.17515309296979178,0.5334711902164793
dsigma2,qcov,0.3499999940395355,8.0,0.08721185,-0.017124627,-0.008573055267333984,0.16056496719668958,0.5227957995595083
dsigma2,qcov,0.3499999940395355,9.0,0.08721185,-0.017124627,-0.011210799217224121,0.15300602949106554,0.5215834193251478
dsigma2,qcov,0.4000000059604645,5.0,0.08721185,-0.017124627,-0.009778857231140137,0.17056933672970737,0.5228541943325395
dsigma2,qcov,0.4000000059604645,6.0,0.08721185,-0.017124627,-0.009647607803344727,0.1809643336375523,0.5312088693550773
