a,c,seed,aux,window,median_width_ratio,median_weight_ratio
0.55,0.0,4,0,initial_to_final,1.2149790858049192,0.7943425103541129
0.55,0.0,4,0,late_100tasks,0.8714586639856696,0.8035663243389899
0.55,0.0,5,0,initial_to_final,1.2357752553141956,0.8082474599073177
0.55,0.0,5,0,late_100tasks,1.007100477162661,0.809989771100015
0.55,0.0,6,0,initial_to_final,1.4809702568149783,0.8783489557261024
0.55,0.0,6,0,late_100tasks,0.7869285753112784,0.7774946635384095
0.55,0.0,7,0,initial_to_final,1.3611597301649205,0.7853710107388795
0.55,0.0,7,0,late_100tasks,0.9178014614350087,0.8175165709236973
0.55,0.0,8,0,initial_to_final,1.7264184817407413,0.9023529988901353
0.55,0.0,8,0,late_100tasks,1.1414025894820665,0.8203325500084706
0.55,0.0,9,0,initial_to_final,1.219667494114848,0.744317159024751
0.55,0.0,9,0,late_100tasks,1.158969967540626,0.7821770235665431
0.65,0.0,0,0,initial_to_final,0.45465105706720454,0.43767573926290215
0.65,0.0,0,0,late_100tasks,0.7999255803765752,0.7619037158258436
0.65,0.0,1,0,initial_to_final,0.3150167124680325,0.36068302217336035
0.65,0.0,1,0,late_100tasks,0.6394367302475603,0.731247695290324
0.65,0.0,2,0,initial_to_final,0.11934940119062243,0.2829584368530319
0.65,0.0,2,0,late_100tasks,0.6411571945936005,0.7097048711727523
0.65,0.0,3,0,initial_to_final,0.5030764921222105,0.38510730178928043
0.65,0.0,3,0,late_100tasks,1.047178609556216,0.7629716730755873
0.65,0.0,4,0,initial_to_final,0.48019066497770935,0.4254192242476734
0.65,0.0,4,0,late_100tasks,1.2177280117164315,0.7805195184596574
0.65,0.0,5,0,initial_to_final,0.39156001950814623,0.37661733942919906
0.65,0.0,5,0,late_100tasks,0.9060185027563139,0.7704900646598696
0.65,0.0,6,0,initial_to_final,0.6961425623586157,0.5098821688683791
0.65,0.0,6,0,late_100tasks,1.1026035523494824,0.7967600836890456
0.65,0.0,7,0,initial_to_final,0.37735006558866213,0.39087360050785497
0.65,0.0,7,0,late_100tasks,0.602974959005266,0.7611564862298575
0.65,0.0,8,0,initial_to_final,0.4971974573699798,0.4584349225661869
0.65,0.0,8,0,late_100tasks,0.9844137392037379,0.7698548833291452
0.65,0.0,9,0,initial_to_final,0.49328795539552184,0.4188048223962916
0.65,0.0,9,0,late_100tasks,1.497873184142501,0.7651636653593652
0.6,0.0,0,0,initial_to_final,0.4977732703345049,0.48049613212770004
0.6,0.0,0,0,late_100tasks,0.7891508893282941,0.7576842023576975
0.6,0.0,1,0,initial_to_final,0.8110738123262473,0.552357310580633
0.6,0.0,1,0,late_100tasks,0.9514519209198817,0.7953647849492298
0.6,0.0,2,0,initial_to_final,0.8668022882312914,0.5946389501659668
0.6,0.0,2,0,late_100tasks,0.9349395477602903,0.7638428941052819
0.6,0.0,3,0,initial_to_final,0.9895834472316147,0.5861677946209847
0.6,0.0,3,0,late_100tasks,1.0757032310982704,0.8099394072497397
0.6,0.0,4,0,initial_to_final,0.7729604067874839,0.5328154246253034
0.6,0.0,4,0,late_100tasks,1.0851251522094332,0.7862447362701193
0.6,0.0,5,0,initial_to_final,1.0640610473058585,0.7056466110130393
0.6,0.0,5,0,late_100tasks,1.0094398085066563,0.79805512815265
0.6,0.0,6,0,initial_to_final,0.9178115086247144,0.6352778689320777
0.6,0.0,6,0,late_100tasks,0.9851866345417433,0.7733167744191765
0.6,0.0,7,0,initial_to_final,0.5529058340886364,0.5203959735498445
0.6,0.0,7,0,late_100tasks,0.8387244976388741,0.7721774166820509
0.6,0.0,8,0,initial_to_final,0.8063219454300953,0.61377859094793
0.6,0.0,8,0,late_100tasks,0.8242593348788402,0.7776719200392446
0.6,0.0,9,0,initial_to_final,0.7901117259528292,0.5467268152896547
0.6,0.0,9,0,late_100tasks,1.1519572806847371,0.7926758458343344
0.8,0.0,0,0,initial_to_final,0.12895582343922563,0.23903763989078458
0.8,0.0,0,0,late_100tasks,0.64796408193144,0.7690807415439427
0.8,0.0,1,0,initial_to_final,0.33352329050101615,0.26392250334769385
0.8,0.0,1,0,late_100tasks,0.8339246090934476,0.777922756268887
0.8,0.0,2,0,initial_to_final,0.26599447117239416,0.2508306666157103
0.8,0.0,2,0,late_100tasks,0.8564937725632527,0.767579403281718
0.8,0.0,3,0,initial_to_final,0.23969800589940826,0.22397286547978035
0.8,0.0,3,0,late_100tasks,0.7876407882921234,0.7499644151038098
0.8,0.0,4,0,initial_to_final,0.3260415542424707,0.2606676513363059
0.8,0.0,4,0,late_100tasks,0.9310729656580794,0.8028805002336642
0.8,0.0,5,0,initial_to_final,0.2222586740993474,0.2580661595084308
0.8,0.0,5,0,late_100tasks,0.6421296791684932,0.7539388845028092
0.8,0.0,6,0,initial_to_final,0.2393933603828584,0.24325040699352052
0.8,0.0,6,0,late_100tasks,0.9660559522732888,0.7825047316537114
0.8,0.0,7,0,initial_to_final,0.2766823555153735,0.26361133522143765
0.8,0.0,7,0,late_100tasks,0.8751036423206822,0.762294744211542
0.8,0.0,8,0,initial_to_final,0.34208961631264717,0.30687067617657965
0.8,0.0,8,0,late_100tasks,1.3243302804560995,0.9055828990454277
0.8,0.0,9,0,initial_to_final,0.2673144728214237,0.26085781818183046
0.8,0.0,9,0,late_100tasks,0.8438967004391001,0.7613196046683017
0.1,0.0,0,1,initial_to_final,4.8960947477316505,2.824036570974662
0.1,0.0,0,1,late_100tasks,0.996004756973143,0.9886369634263557
0.1,0.0,1,1,initial_to_final,5.331132814897823,2.9253027627992045
0.1,0.0,1,1,late_100tasks,0.9839555598656369,0.9806719347996262
0.1,0.0,2,1,initial_to_final,4.84325290226654,2.721341960228942
0.1,0.0,2,1,late_100tasks,0.9780874284013936,0.9804524017688176
0.1,0.0,3,1,initial_to_final,5.14068234132727,2.8022533994558563
0.1,0.0,3,1,late_100tasks,0.9811546255151725,0.9775044157149257
0.1,0.0,4,1,initial_to_final,5.421798217566783,2.9841492473473714
0.1,0.0,4,1,late_100tasks,1.0130262799803273,1.0212861092777912
0.1,0.0,5,1,initial_to_final,4.843917081921394,2.764158612009588
0.1,0.0,5,1,late_100tasks,0.9532683343682443,0.9726063778478431
0.1,0.0,6,1,initial_to_final,5.137107515592511,2.817331253881518
0.1,0.0,6,1,late_100tasks,1.0077046054869476,0.9873912088654112
0.1,0.0,7,1,initial_to_final,5.550578379999312,2.92802161016691
0.1,0.0,7,1,late_100tasks,1.0237675493122667,0.9968998399837706
0.1,0.0,8,1,initial_to_final,5.306692528035509,2.9085524421489755
0.1,0.0,8,1,late_100tasks,0.9893709787872003,0.9815915227302756
0.1,0.0,9,1,initial_to_final,5.040068599644037,2.8691130291444207
0.1,0.0,9,1,late_100tasks,0.9791978054243281,0.9815699979132388
0.1,-0.5,0,1,initial_to_final,3.3646406741007606,1.9901145222411947
0.1,-0.5,0,1,late_100tasks,0.9841422500702443,0.9825808427551652
0.1,-0.5,1,1,initial_to_final,3.611015683311568,2.0421817223268004
0.1,-0.5,1,1,late_100tasks,0.9812372638845861,0.9654659947350492
0.1,-0.5,2,1,initial_to_final,3.3941865525362376,2.0012861218562
0.1,-0.5,2,1,late_100tasks,0.943768795053255,0.9459537583567527
0.1,-0.5,3,1,initial_to_final,3.516719472436683,2.0721929965800605
0.1,-0.5,3,1,late_100tasks,0.9720757964929481,0.958922803543873
0.1,-0.5,4,1,initial_to_final,3.6485590507568877,2.1379824185692664
0.1,-0.5,4,1,late_100tasks,0.9848989972063822,0.9681069677217612
0.1,-0.5,5,1,initial_to_final,3.162651615040927,1.8934398317934078
0.1,-0.5,5,1,late_100tasks,0.9710472989370843,0.9806841380847816
0.1,-0.5,6,1,initial_to_final,3.248382639897512,1.936683222699461
0.1,-0.5,6,1,late_100tasks,0.9453759428270274,0.9553508335001454
0.1,-0.5,7,1,initial_to_final,3.7062330691667835,2.1135848069774843
0.1,-0.5,7,1,late_100tasks,1.0000426771314606,0.9720244946258954
0.1,-0.5,8,1,initial_to_final,3.534928032535408,1.9921782470272709
0.1,-0.5,8,1,late_100tasks,0.95714601054238,0.9504124964105689
0.1,-0.5,9,1,initial_to_final,3.3482347508539627,1.9531842466613485
0.1,-0.5,9,1,late_100tasks,0.9552448518683176,0.9645837841433916
0.1,0.5,0,1,initial_to_final,1.6835709362858398,1.433515206339297
0.1,0.5,0,1,late_100tasks,1.0139844718691846,0.9570988636110075
0.1,0.5,1,1,initial_to_final,1.665140302089576,1.5582473197679754
0.1,0.5,1,1,late_100tasks,0.997697748891828,0.9502317686802496
0.1,0.5,2,1,initial_to_final,1.5056492730774673,1.5340522514706707
0.1,0.5,2,1,late_100tasks,0.9414776655936687,0.9529331551421057
0.1,0.5,3,1,initial_to_final,1.4526333739399928,1.5677538243716342
0.1,0.5,3,1,late_100tasks,0.9867076588773636,0.9740059880806629
0.1,0.5,4,1,initial_to_final,1.7527764967046977,1.5782572683761278
0.1,0.5,4,1,late_100tasks,0.9076706345965477,0.9412006449879968
0.1,0.5,5,1,initial_to_final,1.55788104929306,1.5495568342083308
0.1,0.5,5,1,late_100tasks,0.9675356920761116,0.9802248668798523
0.1,0.5,6,1,initial_to_final,1.6014733769841087,1.540736404129839
0.1,0.5,6,1,late_100tasks,0.9805388773088712,0.9826709436109125
0.1,0.5,7,1,initial_to_final,1.7343641711529816,1.5261672842899978
0.1,0.5,7,1,late_100tasks,0.9836624720999466,0.9611190701055585
0.1,0.5,8,1,initial_to_final,1.8392272596202361,1.5742567141884845
0.1,0.5,8,1,late_100tasks,1.0393611013650363,1.0169431070248898
0.1,0.5,9,1,initial_to_final,1.8123071182984978,1.578758193295681
0.1,0.5,9,1,late_100tasks,1.0249362452799426,1.0310653282859503
