arm,scope,bin_index,cos_lo,cos_hi,n,valid,p_median,ci_lo,ci_hi,bootstrap_finite,outside_scope_n
std,w_q3,21,0.44999999999999984,0.4999999999999999,0,False,,,,0,9660
std,w_q3,22,0.4999999999999999,0.5499999999999999,0,False,,,,0,9660
std,w_q3,23,0.5499999999999999,0.6,0,False,,,,0,9660
std,w_q4,0,-0.6,-0.5499999999999999,7980,True,0.0,0.0,0.0,9724,4410
std,w_q4,1,-0.5499999999999999,-0.5,28533,True,0.0,0.0,0.0,10000,4410
std,w_q4,2,-0.5,-0.44999999999999996,107625,True,0.0,0.0,0.0,10000,4410
std,w_q4,3,-0.44999999999999996,-0.4,379686,True,0.0,0.0,0.0,10000,4410
std,w_q4,4,-0.4,-0.35,819214,True,0.0,0.0,0.0,10000,4410
std,w_q4,5,-0.35,-0.3,1188825,True,0.0,0.0,0.0,10000,4410
std,w_q4,6,-0.3,-0.25,1091204,True,0.0,0.0,0.0,10000,4410
std,w_q4,7,-0.25,-0.2,663843,True,0.0,0.0,0.0,10000,4410
std,w_q4,8,-0.2,-0.15000000000000002,332231,True,0.03125,0.03125,0.03125,10000,4410
std,w_q4,9,-0.15000000000000002,-0.10000000000000003,192668,True,0.125,0.09375,0.125,10000,4410
std,w_q4,10,-0.10000000000000003,-0.050000000000000044,145862,True,0.21875,0.21875,0.25,10000,4410
std,w_q4,11,-0.050000000000000044,0.0,100555,True,0.375,0.34375,0.375,10000,4410
std,w_q4,12,0.0,0.04999999999999993,65958,True,0.5,0.5,0.5,10000,4410
std,w_q4,13,0.04999999999999993,0.09999999999999998,43482,True,0.625,0.59375,0.65625,10000,4410
std,w_q4,14,0.09999999999999998,0.1499999999999999,26105,True,0.75,0.6875,0.75,10000,4410
std,w_q4,15,0.1499999999999999,0.19999999999999996,14797,True,0.8125,0.78125,0.84375,10000,4410
std,w_q4,16,0.19999999999999996,0.25,5916,True,0.90625,0.875,0.9375,10000,4410
