task,N,N2,D2,cos,arm,kind,param,seed,gw2,g2,e2,xi,R,graw,phi2_batch,alive,addgap,S2,rho,phi2_probe,phi2_probe_fwd,sigma,zbar,posfrac,acc
70,5.6340843714363515,31.78131253287072,0.8427698470316257,-0.04325468039140282,LIN,linear,0.0,2,0.004050890095585113,1.0,5.027036885100352e-05,1.0,80.5820643089297,0.07932560542549838,1.0,1.0,1.687538997430238e-14,0.02550941788601959,33.03759618495664,1.0,1.0,1.9823524955424539,0.1325372010934963,0.52037109375,0.890999972820282
71,5.667830347472123,32.16374902863794,0.7594527292535221,-0.039315711720911355,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
72,5.702374142158089,32.55872659540327,0.792058989583887,-0.041517656335137175,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
73,5.734597480772475,32.92797374689645,0.8157305942793133,-0.04428746061215138,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
74,5.767903284321803,33.310908068111914,0.7767514650561125,-0.04010988801922724,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
75,5.806510394141417,33.758335069423,0.8373268443822002,-0.03748284236772928,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
76,5.836315962032752,34.10507537495647,0.7619368134432964,-0.041898431182172395,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
77,5.872562535333526,34.530000873199235,0.8255942066956868,-0.039044478405232085,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
78,5.904882883316875,34.91116040536274,0.8469378807514087,-0.04377742382505474,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
79,5.939782401468864,35.32431037244925,0.7920516335816563,-0.03813012262434003,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
80,5.974768050139989,35.740597767147904,0.8037624659439558,-0.037712966097028004,LIN,linear,0.0,2,0.0036662806283978056,1.0,4.609878156141833e-05,1.0,79.5309659868808,0.07634256640668947,1.0,1.0,8.881784197001252e-16,0.024444529964654103,32.88107675239275,1.0,1.0,2.096079037506726,0.13554293363022826,0.5104296875,0.8970000147819519
81,6.003388081530695,36.08685998460359,0.7842720247285975,-0.04252150081678897,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
82,6.034906078610266,36.4653644983694,0.8384958874590286,-0.04255078746570099,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
83,6.067002514172304,36.85630593216991,0.8216450954161865,-0.04073767827651044,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
84,6.098258344691754,37.23833260238789,0.7833837662704827,-0.038244284400118546,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
85,6.12787458220781,37.60261529131926,0.7918229603316028,-0.04090272412556221,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
86,6.1591617197529,37.98792403329111,0.7453526618568403,-0.03603517309843901,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
87,6.191243327639357,38.38484873616398,0.8718674018446415,-0.04278397439017697,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
88,6.222274859452605,38.77251461868745,0.7622976081147473,-0.03696916582007577,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
89,6.2515232382899795,39.137679647260505,0.7332583560046143,-0.0355804058740321,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
90,6.284667612156286,39.55500324802476,0.8357006054045872,-0.03814412040135851,LIN,linear,0.0,2,0.003433095690479446,1.0,4.369318229762016e-05,1.0,78.57280037637477,0.07413562240137195,1.0,1.0,4.440892098500626e-15,0.026504233259464608,31.53083498863942,1.0,1.0,2.180473746381084,0.019795660570692267,0.4882421875,0.8970000147819519
91,6.316167324500056,39.95310678990037,0.8679973524097799,-0.04186134394415068,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
92,6.350933235580175,40.390550040107804,0.9409659193128717,-0.04257122690892943,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
93,6.3788016027389105,40.74700553981297,0.7945673678564279,-0.03936896414012513,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
94,6.41354732112628,41.19081430076196,0.8186503477668782,-0.033248397439816474,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
95,6.442258745194026,41.558934358971385,0.794505238304547,-0.03869021207510255,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
96,6.469030909994742,41.904491172651426,0.7314457328711572,-0.036516608592590545,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
97,6.499261855381045,42.29660697963995,0.789697037189838,-0.036096543070219124,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
98,6.528306238629732,42.674891373245934,0.9149331546451387,-0.044688504886673336,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
99,6.559024241387164,43.0767356198188,0.7842000816477968,-0.034638320622970696,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
100,6.585314551863304,43.42358553293846,0.7971692866620327,-0.04010501822971398,LIN,linear,0.0,2,0.0034317626711643356,1.0,4.264857210716376e-05,1.0,80.46606255752967,0.07452084085808867,1.0,1.0,5.329070518200751e-15,0.025982233546708887,30.681322497888498,1.0,1.0,2.2501611067825977,0.16711492325984895,0.5166796875,0.8881999850273132
101,6.61614878111483,43.83115306386637,0.853360348464098,-0.037825372712256354,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
102,6.647001371408798,44.24098898996724,0.8524856295003168,-0.037113277366845186,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
103,6.6765916922136626,44.635545027386286,0.8451667966731735,-0.038328767654316975,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
104,6.700651538130644,44.957934864546225,0.826349774313243,-0.04247907915566344,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
105,6.7268443246069385,45.30998395377341,0.7579290832002791,-0.036610999845266654,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
106,6.755349183523859,45.69188636421021,0.8565335528546939,-0.038862614271473035,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
107,6.786529083278815,46.1156844604351,0.8519869463486942,-0.03674944936772777,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
108,6.812041629652064,46.46135942599865,0.8788711888552118,-0.0430477749306333,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
109,6.837584091530048,46.81347559757513,0.7804556585726223,-0.036536488509427346,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
