task,N,N2,D2,cos,arm,kind,param,seed,gw2,g2,e2,xi,R,graw,phi2_batch,alive,addgap,S2,rho,phi2_probe,phi2_probe_fwd,sigma,zbar,posfrac,acc
20,3.5614421134319896,12.860697944639922,0.811719833127573,-0.03714401671089907,BL001,bwd,0.01,1,6.215227654926061e-05,0.003206195431697014,0.0004796779301980939,0.5247042953363135,77.019854391497,0.058230812315703394,0.16411859649626284,1.0,7.105427357601002e-15,0.02318537555638798,35.00999287906423,0.17449662109005928,0.18266992212104377,2.415318213962484,-1.965589747685417,0.1744140625,0.9178000092506409
21,3.636208731765996,13.382996596182046,0.75227585066707,-0.03864846059248648,BL001,bwd,0.01,1,,,,,,,,,,,,,,,,,
22,3.7242306711681907,13.995788557850949,0.7948326047016294,-0.027823701886328604,BL001,bwd,0.01,1,,,,,,,,,,,,,,,,,
23,3.7927828414738087,14.506122349953644,0.6945854983038146,-0.029097016290165402,BL001,bwd,0.01,1,,,,,,,,,,,,,,,,,
24,3.86716750241928,15.066621560526007,0.7881319908977725,-0.03367001606681053,BL001,bwd,0.01,1,,,,,,,,,,,,,,,,,
25,3.9324138242851387,15.569459553949553,0.760134623514676,-0.03768493673146522,BL001,bwd,0.01,1,,,,,,,,,,,,,,,,,
26,3.9986031169965197,16.087487443679255,0.7394210246830337,-0.03411627138651754,BL001,bwd,0.01,1,,,,,,,,,,,,,,,,,
27,4.074470588584209,16.68492340478656,0.7849650499500191,-0.026564712019796585,BL001,bwd,0.01,1,,,,,,,,,,,,,,,,,
28,4.136516753233115,17.199336235617693,0.7139901679987622,-0.02887430351738799,BL001,bwd,0.01,1,,,,,,,,,,,,,,,,,
29,4.203979401409303,17.7574194605129,0.7098037561167668,-0.021906641873274416,BL001,bwd,0.01,1,,,,,,,,,,,,,,,,,
30,4.2619374963200904,18.249843528169414,0.7090716867201078,-0.03160366783948156,BL001,bwd,0.01,1,8.821759646923482e-05,0.004018088181489296,0.000566597689737319,0.5045801501928787,76.79462011142847,0.06431375193254335,0.16161184719625196,1.0,1.4210854715202004e-14,0.02091173583856021,33.907834920744094,0.17615661132444174,0.18431347680804905,2.5820186513422954,-2.1905904150699222,0.17607421875,0.9189000129699707
31,4.31832315252135,18.736755574539202,0.7683218143659785,-0.04031024381893612,BL001,bwd,0.01,1,,,,,,,,,,,,,,,,,
32,4.373758296357889,19.21557779615905,0.7088555644967065,-0.03222984398704162,BL001,bwd,0.01,1,,,,,,,,,,,,,,,,,
33,4.4261827303374695,19.677834348572183,0.7175646320718255,-0.03505208153095988,BL001,bwd,0.01,1,,,,,,,,,,,,,,,,,
