alpha,arm,scope,boundary_offset,bin_index,cos_lo,cos_hi,n,valid,p_hat_median,ci_lo,ci_hi,bootstrap_finite,outside_cos_range_n
0,alpha_0,bulk,NA,21,0.050000000000000044,0.10000000000000009,12316,True,0.65625,0.65625,0.6875,10000,0
0,alpha_0,bulk,NA,22,0.10000000000000009,0.15000000000000013,7579,True,0.78125,0.78125,0.8125,10000,0
0,alpha_0,bulk,NA,23,0.15000000000000013,0.20000000000000018,4204,True,0.875,0.875,0.90625,10000,0
0,alpha_0,bulk,NA,24,0.20000000000000018,0.25,1979,True,0.9375,0.9375,0.96875,10000,0
0,alpha_0,bulk,NA,25,0.25,0.30000000000000004,612,False,0.96875,0.96875,1,10000,0
0,alpha_0,bulk,NA,26,0.30000000000000004,0.35000000000000009,288,False,1,0.96875,1,10000,0
0,alpha_0,bulk,NA,27,0.35000000000000009,0.40000000000000013,75,False,1,1,1,10000,0
0,alpha_0,bulk,NA,28,0.40000000000000013,0.45000000000000018,37,False,1,1,1,10000,0
0,alpha_0,bulk,NA,29,0.45000000000000018,0.5,8,False,1,1,1,9991,0
0,alpha_0,bulk,NA,30,0.5,0.55000000000000004,7,False,1,1,1,9946,0
0,alpha_0,bulk,NA,31,0.55000000000000004,0.60000000000000009,3,False,1,1,1,8895,0
0,alpha_0,bulk,NA,32,0.60000000000000009,0.65000000000000013,0,False,NA,NA,NA,0,0
0,alpha_0,bulk,NA,33,0.65000000000000013,0.70000000000000018,1,False,1,1,1,6586,0
0,alpha_0,bulk,NA,34,0.70000000000000018,0.75,0,False,NA,NA,NA,0,0
0,alpha_0,bulk,NA,35,0.75,0.80000000000000004,0,False,NA,NA,NA,0,0
0,alpha_0,bulk,NA,36,0.80000000000000004,0.85000000000000009,0,False,NA,NA,NA,0,0
0,alpha_0,bulk,NA,37,0.85000000000000009,0.90000000000000013,0,False,NA,NA,NA,0,0
0,alpha_0,bulk,NA,38,0.90000000000000013,0.95000000000000018,0,False,NA,NA,NA,0,0
0,alpha_0,bulk,NA,39,0.95000000000000018,1,0,False,NA,NA,NA,0,0
0,alpha_0,boundary,NA,0,-1,-0.94999999999999996,0,False,NA,NA,NA,0,0
0,alpha_0,boundary,NA,1,-0.94999999999999996,-0.90000000000000002,0,False,NA,NA,NA,0,0
0,alpha_0,boundary,NA,2,-0.90000000000000002,-0.84999999999999998,0,False,NA,NA,NA,0,0
0,alpha_0,boundary,NA,3,-0.84999999999999998,-0.80000000000000004,1005,True,0,0,0,9718,0
0,alpha_0,boundary,NA,4,-0.80000000000000004,-0.75,2814,True,0,0,0,9994,0
0,alpha_0,boundary,NA,5,-0.75,-0.69999999999999996,8141,True,0,0,0,10000,0
0,alpha_0,boundary,NA,6,-0.69999999999999996,-0.64999999999999991,16179,True,0,0,0,10000,0
0,alpha_0,boundary,NA,7,-0.64999999999999991,-0.59999999999999998,47032,True,0,0,0,10000,0
0,alpha_0,boundary,NA,8,-0.59999999999999998,-0.55000000000000004,144312,True,0,0,0,10000,0
0,alpha_0,boundary,NA,9,-0.55000000000000004,-0.5,368191,True,0,0,0,10000,0
0,alpha_0,boundary,NA,10,-0.5,-0.44999999999999996,833173,True,0,0,0,10000,0
0,alpha_0,boundary,NA,11,-0.44999999999999996,-0.39999999999999991,1722489,True,0,0,0,10000,0
0,alpha_0,boundary,NA,12,-0.39999999999999991,-0.34999999999999998,2750010,True,0,0,0,10000,0
0,alpha_0,boundary,NA,13,-0.34999999999999998,-0.29999999999999993,3515895,True,0,0,0,10000,0
0,alpha_0,boundary,NA,14,-0.29999999999999993,-0.25,3400091,True,0,0,0,10000,0
0,alpha_0,boundary,NA,15,-0.25,-0.19999999999999996,2479219,True,0,0,0,10000,0
0,alpha_0,boundary,NA,16,-0.19999999999999996,-0.14999999999999991,1542301,True,0,0,0,10000,0
0,alpha_0,boundary,NA,17,-0.14999999999999991,-0.099999999999999978,967961,True,0.0625,0.0625,0.0625,10000,0
0,alpha_0,boundary,NA,18,-0.099999999999999978,-0.049999999999999933,690249,True,0.1875,0.1875,0.1875,10000,0
0,alpha_0,boundary,NA,19,-0.049999999999999933,0,487894,True,0.3125,0.3125,0.34375,10000,0
0,alpha_0,boundary,NA,20,0,0.050000000000000044,347920,True,0.5,0.5,0.5,10000,0
0,alpha_0,boundary,NA,21,0.050000000000000044,0.10000000000000009,254030,True,0.65625,0.65625,0.6875,10000,0
0,alpha_0,boundary,NA,22,0.10000000000000009,0.15000000000000013,162292,True,0.78125,0.78125,0.8125,10000,0
0,alpha_0,boundary,NA,23,0.15000000000000013,0.20000000000000018,92079,True,0.875,0.875,0.90625,10000,0
0,alpha_0,boundary,NA,24,0.20000000000000018,0.25,44206,True,0.9375,0.9375,0.96875,10000,0
0,alpha_0,boundary,NA,25,0.25,0.30000000000000004,14578,True,0.96875,0.96875,1,10000,0
0,alpha_0,boundary,NA,26,0.30000000000000004,0.35000000000000009,5356,True,1,0.96875,1,10000,0
0,alpha_0,boundary,NA,27,0.35000000000000009,0.40000000000000013,905,False,1,1,1,10000,0
0,alpha_0,boundary,NA,28,0.40000000000000013,0.45000000000000018,481,False,1,1,1,9990,0
0,alpha_0,boundary,NA,29,0.45000000000000018,0.5,181,False,1,1,1,8948,0
0,alpha_0,boundary,NA,30,0.5,0.55000000000000004,15,False,1,1,1,8948,0
0,alpha_0,boundary,NA,31,0.55000000000000004,0.60000000000000009,1,False,1,1,1,6469,0
0,alpha_0,boundary,NA,32,0.60000000000000009,0.65000000000000013,0,False,NA,NA,NA,0,0
0,alpha_0,boundary,NA,33,0.65000000000000013,0.70000000000000018,0,False,NA,NA,NA,0,0
0,alpha_0,boundary,NA,34,0.70000000000000018,0.75,0,False,NA,NA,NA,0,0
0,alpha_0,boundary,NA,35,0.75,0.80000000000000004,0,False,NA,NA,NA,0,0
0,alpha_0,boundary,NA,36,0.80000000000000004,0.85000000000000009,0,False,NA,NA,NA,0,0
0,alpha_0,boundary,NA,37,0.85000000000000009,0.90000000000000013,0,False,NA,NA,NA,0,0
0,alpha_0,boundary,NA,38,0.90000000000000013,0.95000000000000018,0,False,NA,NA,NA,0,0
0,alpha_0,boundary,NA,39,0.95000000000000018,1,0,False,NA,NA,NA,0,0
0,alpha_0,all_recorded,NA,0,-1,-0.94999999999999996,0,False,NA,NA,NA,0,0
0,alpha_0,all_recorded,NA,1,-0.94999999999999996,-0.90000000000000002,0,False,NA,NA,NA,0,0
0,alpha_0,all_recorded,NA,2,-0.90000000000000002,-0.84999999999999998,0,False,NA,NA,NA,0,0
0,alpha_0,all_recorded,NA,3,-0.84999999999999998,-0.80000000000000004,1050,True,0,0,0,9718,0
0,alpha_0,all_recorded,NA,4,-0.80000000000000004,-0.75,2940,True,0,0,0,9994,0
0,alpha_0,all_recorded,NA,5,-0.75,-0.69999999999999996,8511,True,0,0,0,10000,0
0,alpha_0,all_recorded,NA,6,-0.69999999999999996,-0.64999999999999991,17220,True,0,0,0,10000,0
0,alpha_0,all_recorded,NA,7,-0.64999999999999991,-0.59999999999999998,49560,True,0,0,0,10000,0
0,alpha_0,all_recorded,NA,8,-0.59999999999999998,-0.55000000000000004,152040,True,0,0,0,10000,0
0,alpha_0,all_recorded,NA,9,-0.55000000000000004,-0.5,388521,True,0,0,0,10000,0
0,alpha_0,all_recorded,NA,10,-0.5,-0.44999999999999996,877193,True,0,0,0,10000,0
0,alpha_0,all_recorded,NA,11,-0.44999999999999996,-0.39999999999999991,1815640,True,0,0,0,10000,0
0,alpha_0,all_recorded,NA,12,-0.39999999999999991,-0.34999999999999998,2895929,True,0,0,0,10000,0
0,alpha_0,all_recorded,NA,13,-0.34999999999999998,-0.29999999999999993,3699829,True,0,0,0,10000,0
0,alpha_0,all_recorded,NA,14,-0.29999999999999993,-0.25,3569794,True,0,0,0,10000,0
0,alpha_0,all_recorded,NA,15,-0.25,-0.19999999999999996,2598009,True,0,0,0,10000,0
0,alpha_0,all_recorded,NA,16,-0.19999999999999996,-0.14999999999999991,1613746,True,0,0,0,10000,0
0,alpha_0,all_recorded,NA,17,-0.14999999999999991,-0.099999999999999978,1011221,True,0.0625,0.0625,0.0625,10000,0
0,alpha_0,all_recorded,NA,18,-0.099999999999999978,-0.049999999999999933,721681,True,0.1875,0.1875,0.1875,10000,0
0,alpha_0,all_recorded,NA,19,-0.049999999999999933,0,511160,True,0.3125,0.3125,0.34375,10000,0
0,alpha_0,all_recorded,NA,20,0,0.050000000000000044,365013,True,0.5,0.5,0.5,10000,0
0,alpha_0,all_recorded,NA,21,0.050000000000000044,0.10000000000000009,266481,True,0.65625,0.65625,0.6875,10000,0
0,alpha_0,all_recorded,NA,22,0.10000000000000009,0.15000000000000013,170107,True,0.78125,0.78125,0.8125,10000,0
0,alpha_0,all_recorded,NA,23,0.15000000000000013,0.20000000000000018,96514,True,0.875,0.875,0.90625,10000,0
0,alpha_0,all_recorded,NA,24,0.20000000000000018,0.25,46289,True,0.9375,0.9375,0.96875,10000,0
0,alpha_0,all_recorded,NA,25,0.25,0.30000000000000004,15194,True,0.96875,0.96875,1,10000,0
0,alpha_0,all_recorded,NA,26,0.30000000000000004,0.35000000000000009,5644,True,1,0.96875,1,10000,0
0,alpha_0,all_recorded,NA,27,0.35000000000000009,0.40000000000000013,980,False,1,1,1,10000,0
0,alpha_0,all_recorded,NA,28,0.40000000000000013,0.45000000000000018,518,False,1,1,1,10000,0
0,alpha_0,all_recorded,NA,29,0.45000000000000018,0.5,189,False,1,1,1,9998,0
0,alpha_0,all_recorded,NA,30,0.5,0.55000000000000004,22,False,1,1,1,9992,0
0,alpha_0,all_recorded,NA,31,0.55000000000000004,0.60000000000000009,4,False,1,1,1,9705,0
0,alpha_0,all_recorded,NA,32,0.60000000000000009,0.65000000000000013,0,False,NA,NA,NA,0,0
0,alpha_0,all_recorded,NA,33,0.65000000000000013,0.70000000000000018,1,False,1,1,1,6586,0
0,alpha_0,all_recorded,NA,34,0.70000000000000018,0.75,0,False,NA,NA,NA,0,0
0,alpha_0,all_recorded,NA,35,0.75,0.80000000000000004,0,False,NA,NA,NA,0,0
0,alpha_0,all_recorded,NA,36,0.80000000000000004,0.85000000000000009,0,False,NA,NA,NA,0,0
0,alpha_0,all_recorded,NA,37,0.85000000000000009,0.90000000000000013,0,False,NA,NA,NA,0,0
0,alpha_0,all_recorded,NA,38,0.90000000000000013,0.95000000000000018,0,False,NA,NA,NA,0,0
0,alpha_0,all_recorded,NA,39,0.95000000000000018,1,0,False,NA,NA,NA,0,0
0,alpha_0,bulk_t_lt_500k,NA,0,-1,-0.94999999999999996,0,False,NA,NA,NA,0,0
0,alpha_0,bulk_t_lt_500k,NA,1,-0.94999999999999996,-0.90000000000000002,0,False,NA,NA,NA,0,0
0,alpha_0,bulk_t_lt_500k,NA,2,-0.90000000000000002,-0.84999999999999998,0,False,NA,NA,NA,0,0
0,alpha_0,bulk_t_lt_500k,NA,3,-0.84999999999999998,-0.80000000000000004,0,False,NA,NA,NA,0,0
0,alpha_0,bulk_t_lt_500k,NA,4,-0.80000000000000004,-0.75,36,False,0,0,0,9704,0
0,alpha_0,bulk_t_lt_500k,NA,5,-0.75,-0.69999999999999996,136,False,0,0,0,9948,0
0,alpha_0,bulk_t_lt_500k,NA,6,-0.69999999999999996,-0.64999999999999991,225,False,0,0,0,9999,0
0,alpha_0,bulk_t_lt_500k,NA,7,-0.64999999999999991,-0.59999999999999998,756,False,0,0,0,10000,0
0,alpha_0,bulk_t_lt_500k,NA,8,-0.59999999999999998,-0.55000000000000004,2223,True,0,0,0,10000,0
0,alpha_0,bulk_t_lt_500k,NA,9,-0.55000000000000004,-0.5,4949,True,0,0,0,10000,0
0,alpha_0,bulk_t_lt_500k,NA,10,-0.5,-0.44999999999999996,10448,True,0,0,0,10000,0
0,alpha_0,bulk_t_lt_500k,NA,11,-0.44999999999999996,-0.39999999999999991,24392,True,0,0,0,10000,0
0,alpha_0,bulk_t_lt_500k,NA,12,-0.39999999999999991,-0.34999999999999998,43688,True,0,0,0,10000,0
0,alpha_0,bulk_t_lt_500k,NA,13,-0.34999999999999998,-0.29999999999999993,66839,True,0,0,0,10000,0
0,alpha_0,bulk_t_lt_500k,NA,14,-0.29999999999999993,-0.25,77778,True,0,0,0,10000,0
0,alpha_0,bulk_t_lt_500k,NA,15,-0.25,-0.19999999999999996,65100,True,0,0,0,10000,0
0,alpha_0,bulk_t_lt_500k,NA,16,-0.19999999999999996,-0.14999999999999991,45258,True,0,0,0,10000,0
0,alpha_0,bulk_t_lt_500k,NA,17,-0.14999999999999991,-0.099999999999999978,30013,True,0.0625,0.0625,0.0625,10000,0
0,alpha_0,bulk_t_lt_500k,NA,18,-0.099999999999999978,-0.049999999999999933,23842,True,0.1875,0.1875,0.1875,10000,0
0,alpha_0,bulk_t_lt_500k,NA,19,-0.049999999999999933,0,18424,True,0.34375,0.3125,0.34375,10000,0
0,alpha_0,bulk_t_lt_500k,NA,20,0,0.050000000000000044,13718,True,0.5,0.5,0.5,10000,0
0,alpha_0,bulk_t_lt_500k,NA,21,0.050000000000000044,0.10000000000000009,10745,True,0.6875,0.65625,0.6875,10000,0
0,alpha_0,bulk_t_lt_500k,NA,22,0.10000000000000009,0.15000000000000013,6510,True,0.8125,0.78125,0.8125,10000,0
0,alpha_0,bulk_t_lt_500k,NA,23,0.15000000000000013,0.20000000000000018,3514,True,0.875,0.875,0.90625,10000,0
0,alpha_0,bulk_t_lt_500k,NA,24,0.20000000000000018,0.25,1608,True,0.9375,0.9375,0.96875,10000,0
0,alpha_0,bulk_t_lt_500k,NA,25,0.25,0.30000000000000004,435,False,0.96875,0.96875,1,10000,0
0,alpha_0,bulk_t_lt_500k,NA,26,0.30000000000000004,0.35000000000000009,238,False,1,0.96875,1,10000,0
0,alpha_0,bulk_t_lt_500k,NA,27,0.35000000000000009,0.40000000000000013,69,False,1,1,1,10000,0
0,alpha_0,bulk_t_lt_500k,NA,28,0.40000000000000013,0.45000000000000018,37,False,1,1,1,10000,0
0,alpha_0,bulk_t_lt_500k,NA,29,0.45000000000000018,0.5,8,False,1,1,1,9991,0
0,alpha_0,bulk_t_lt_500k,NA,30,0.5,0.55000000000000004,7,False,1,1,1,9946,0
0,alpha_0,bulk_t_lt_500k,NA,31,0.55000000000000004,0.60000000000000009,3,False,1,1,1,8895,0
0,alpha_0,bulk_t_lt_500k,NA,32,0.60000000000000009,0.65000000000000013,0,False,NA,NA,NA,0,0
0,alpha_0,bulk_t_lt_500k,NA,33,0.65000000000000013,0.70000000000000018,1,False,1,1,1,6586,0
0,alpha_0,bulk_t_lt_500k,NA,34,0.70000000000000018,0.75,0,False,NA,NA,NA,0,0
0,alpha_0,bulk_t_lt_500k,NA,35,0.75,0.80000000000000004,0,False,NA,NA,NA,0,0
0,alpha_0,bulk_t_lt_500k,NA,36,0.80000000000000004,0.85000000000000009,0,False,NA,NA,NA,0,0
0,alpha_0,bulk_t_lt_500k,NA,37,0.85000000000000009,0.90000000000000013,0,False,NA,NA,NA,0,0
0,alpha_0,bulk_t_lt_500k,NA,38,0.90000000000000013,0.95000000000000018,0,False,NA,NA,NA,0,0
0,alpha_0,bulk_t_lt_500k,NA,39,0.95000000000000018,1,0,False,NA,NA,NA,0,0
0,alpha_0,bulk_t_ge_500k,NA,0,-1,-0.94999999999999996,0,False,NA,NA,NA,0,0
0,alpha_0,bulk_t_ge_500k,NA,1,-0.94999999999999996,-0.90000000000000002,0,False,NA,NA,NA,0,0
0,alpha_0,bulk_t_ge_500k,NA,2,-0.90000000000000002,-0.84999999999999998,0,False,NA,NA,NA,0,0
0,alpha_0,bulk_t_ge_500k,NA,3,-0.84999999999999998,-0.80000000000000004,45,False,0,0,0,9718,0
0,alpha_0,bulk_t_ge_500k,NA,4,-0.80000000000000004,-0.75,90,False,0,0,0,9718,0
0,alpha_0,bulk_t_ge_500k,NA,5,-0.75,-0.69999999999999996,234,False,0,0,0,10000,0
0,alpha_0,bulk_t_ge_500k,NA,6,-0.69999999999999996,-0.64999999999999991,513,False,0,0,0,10000,0
0,alpha_0,bulk_t_ge_500k,NA,7,-0.64999999999999991,-0.59999999999999998,1368,True,0,0,0,10000,0
0,alpha_0,bulk_t_ge_500k,NA,8,-0.59999999999999998,-0.55000000000000004,4293,True,0,0,0,10000,0
0,alpha_0,bulk_t_ge_500k,NA,9,-0.55000000000000004,-0.5,11745,True,0,0,0,10000,0
0,alpha_0,bulk_t_ge_500k,NA,10,-0.5,-0.44999999999999996,27209,True,0,0,0,10000,0
0,alpha_0,bulk_t_ge_500k,NA,11,-0.44999999999999996,-0.39999999999999991,53508,True,0,0,0,10000,0
0,alpha_0,bulk_t_ge_500k,NA,12,-0.39999999999999991,-0.34999999999999998,81021,True,0,0,0,10000,0
0,alpha_0,bulk_t_ge_500k,NA,13,-0.34999999999999998,-0.29999999999999993,93640,True,0,0,0,10000,0
0,alpha_0,bulk_t_ge_500k,NA,14,-0.29999999999999993,-0.25,78111,True,0,0,0,10000,0
0,alpha_0,bulk_t_ge_500k,NA,15,-0.25,-0.19999999999999996,47315,True,0,0,0,10000,0
0,alpha_0,bulk_t_ge_500k,NA,16,-0.19999999999999996,-0.14999999999999991,22320,True,0,0,0,10000,0
0,alpha_0,bulk_t_ge_500k,NA,17,-0.14999999999999991,-0.099999999999999978,11336,True,0.0625,0.03125,0.0625,10000,0
0,alpha_0,bulk_t_ge_500k,NA,18,-0.099999999999999978,-0.049999999999999933,6513,True,0.1875,0.1875,0.21875,10000,0
0,alpha_0,bulk_t_ge_500k,NA,19,-0.049999999999999933,0,4109,True,0.3125,0.3125,0.34375,10000,0
0,alpha_0,bulk_t_ge_500k,NA,20,0,0.050000000000000044,2696,True,0.5,0.46875,0.5,10000,0
0,alpha_0,bulk_t_ge_500k,NA,21,0.050000000000000044,0.10000000000000009,1571,True,0.625,0.59375,0.625,10000,0
0,alpha_0,bulk_t_ge_500k,NA,22,0.10000000000000009,0.15000000000000013,1069,True,0.75,0.71875,0.75,10000,0
0,alpha_0,bulk_t_ge_500k,NA,23,0.15000000000000013,0.20000000000000018,690,False,0.84375,0.8125,0.875,10000,0
0,alpha_0,bulk_t_ge_500k,NA,24,0.20000000000000018,0.25,371,False,0.90625,0.875,0.9375,10000,0
0,alpha_0,bulk_t_ge_500k,NA,25,0.25,0.30000000000000004,177,False,0.96875,0.9375,1,10000,0
0,alpha_0,bulk_t_ge_500k,NA,26,0.30000000000000004,0.35000000000000009,50,False,1,0.96875,1,10000,0
0,alpha_0,bulk_t_ge_500k,NA,27,0.35000000000000009,0.40000000000000013,6,False,1,1,1,6485,0
0,alpha_0,bulk_t_ge_500k,NA,28,0.40000000000000013,0.45000000000000018,0,False,NA,NA,NA,0,0
0,alpha_0,bulk_t_ge_500k,NA,29,0.45000000000000018,0.5,0,False,NA,NA,NA,0,0
0,alpha_0,bulk_t_ge_500k,NA,30,0.5,0.55000000000000004,0,False,NA,NA,NA,0,0
0,alpha_0,bulk_t_ge_500k,NA,31,0.55000000000000004,0.60000000000000009,0,False,NA,NA,NA,0,0
0,alpha_0,bulk_t_ge_500k,NA,32,0.60000000000000009,0.65000000000000013,0,False,NA,NA,NA,0,0
0,alpha_0,bulk_t_ge_500k,NA,33,0.65000000000000013,0.70000000000000018,0,False,NA,NA,NA,0,0
0,alpha_0,bulk_t_ge_500k,NA,34,0.70000000000000018,0.75,0,False,NA,NA,NA,0,0
0,alpha_0,bulk_t_ge_500k,NA,35,0.75,0.80000000000000004,0,False,NA,NA,NA,0,0
0,alpha_0,bulk_t_ge_500k,NA,36,0.80000000000000004,0.85000000000000009,0,False,NA,NA,NA,0,0
0,alpha_0,bulk_t_ge_500k,NA,37,0.85000000000000009,0.90000000000000013,0,False,NA,NA,NA,0,0
0,alpha_0,bulk_t_ge_500k,NA,38,0.90000000000000013,0.95000000000000018,0,False,NA,NA,NA,0,0
0,alpha_0,bulk_t_ge_500k,NA,39,0.95000000000000018,1,0,False,NA,NA,NA,0,0
0,alpha_0,phase_offset_5000,NA,0,-1,-0.94999999999999996,0,False,NA,NA,NA,0,0
0,alpha_0,phase_offset_5000,NA,1,-0.94999999999999996,-0.90000000000000002,0,False,NA,NA,NA,0,0
0,alpha_0,phase_offset_5000,NA,2,-0.90000000000000002,-0.84999999999999998,0,False,NA,NA,NA,0,0
0,alpha_0,phase_offset_5000,NA,3,-0.84999999999999998,-0.80000000000000004,5,False,0,0,0,9718,0
0,alpha_0,phase_offset_5000,NA,4,-0.80000000000000004,-0.75,14,False,0,0,0,9994,0
0,alpha_0,phase_offset_5000,NA,5,-0.75,-0.69999999999999996,41,False,0,0,0,10000,0
0,alpha_0,phase_offset_5000,NA,6,-0.69999999999999996,-0.64999999999999991,82,False,0,0,0,10000,0
0,alpha_0,phase_offset_5000,NA,7,-0.64999999999999991,-0.59999999999999998,236,False,0,0,0,10000,0
0,alpha_0,phase_offset_5000,NA,8,-0.59999999999999998,-0.55000000000000004,724,False,0,0,0,10000,0
0,alpha_0,phase_offset_5000,NA,9,-0.55000000000000004,-0.5,1854,True,0,0,0,10000,0
0,alpha_0,phase_offset_5000,NA,10,-0.5,-0.44999999999999996,4183,True,0,0,0,10000,0
0,alpha_0,phase_offset_5000,NA,11,-0.44999999999999996,-0.39999999999999991,8654,True,0,0,0,10000,0
0,alpha_0,phase_offset_5000,NA,12,-0.39999999999999991,-0.34999999999999998,13855,True,0,0,0,10000,0
0,alpha_0,phase_offset_5000,NA,13,-0.34999999999999998,-0.29999999999999993,17836,True,0,0,0,10000,0
0,alpha_0,phase_offset_5000,NA,14,-0.29999999999999993,-0.25,17321,True,0,0,0,10000,0
0,alpha_0,phase_offset_5000,NA,15,-0.25,-0.19999999999999996,12487,True,0,0,0,10000,0
0,alpha_0,phase_offset_5000,NA,16,-0.19999999999999996,-0.14999999999999991,7473,True,0,0,0,10000,0
0,alpha_0,phase_offset_5000,NA,17,-0.14999999999999991,-0.099999999999999978,4590,True,0.0625,0.0625,0.0625,10000,0
0,alpha_0,phase_offset_5000,NA,18,-0.099999999999999978,-0.049999999999999933,3391,True,0.1875,0.1875,0.1875,10000,0
0,alpha_0,phase_offset_5000,NA,19,-0.049999999999999933,0,2494,True,0.34375,0.3125,0.34375,10000,0
0,alpha_0,phase_offset_5000,NA,20,0,0.050000000000000044,1804,True,0.5,0.5,0.5,10000,0
0,alpha_0,phase_offset_5000,NA,21,0.050000000000000044,0.10000000000000009,1366,True,0.65625,0.65625,0.6875,10000,0
0,alpha_0,phase_offset_5000,NA,22,0.10000000000000009,0.15000000000000013,826,False,0.78125,0.78125,0.8125,10000,0
0,alpha_0,phase_offset_5000,NA,23,0.15000000000000013,0.20000000000000018,460,False,0.875,0.875,0.90625,10000,0
0,alpha_0,phase_offset_5000,NA,24,0.20000000000000018,0.25,214,False,0.9375,0.9375,0.96875,10000,0
0,alpha_0,phase_offset_5000,NA,25,0.25,0.30000000000000004,55,False,0.96875,0.9375,0.96875,10000,0
0,alpha_0,phase_offset_5000,NA,26,0.30000000000000004,0.35000000000000009,28,False,0.984375,0.96875,1,10000,0
0,alpha_0,phase_offset_5000,NA,27,0.35000000000000009,0.40000000000000013,5,False,1,1,1,9731,0
0,alpha_0,phase_offset_5000,NA,28,0.40000000000000013,0.45000000000000018,2,False,1,1,1,6533,0
0,alpha_0,phase_offset_5000,NA,29,0.45000000000000018,0.5,0,False,NA,NA,NA,0,0
0,alpha_0,phase_offset_5000,NA,30,0.5,0.55000000000000004,0,False,NA,NA,NA,0,0
0,alpha_0,phase_offset_5000,NA,31,0.55000000000000004,0.60000000000000009,0,False,NA,NA,NA,0,0
0,alpha_0,phase_offset_5000,NA,32,0.60000000000000009,0.65000000000000013,0,False,NA,NA,NA,0,0
0,alpha_0,phase_offset_5000,NA,33,0.65000000000000013,0.70000000000000018,0,False,NA,NA,NA,0,0
0,alpha_0,phase_offset_5000,NA,34,0.70000000000000018,0.75,0,False,NA,NA,NA,0,0
0,alpha_0,phase_offset_5000,NA,35,0.75,0.80000000000000004,0,False,NA,NA,NA,0,0
0,alpha_0,phase_offset_5000,NA,36,0.80000000000000004,0.85000000000000009,0,False,NA,NA,NA,0,0
0,alpha_0,phase_offset_5000,NA,37,0.85000000000000009,0.90000000000000013,0,False,NA,NA,NA,0,0
0,alpha_0,phase_offset_5000,NA,38,0.90000000000000013,0.95000000000000018,0,False,NA,NA,NA,0,0
0,alpha_0,phase_offset_5000,NA,39,0.95000000000000018,1,0,False,NA,NA,NA,0,0
9.9999999999999995e-07,alpha_1e-6,bulk,NA,0,-1,-0.94999999999999996,0,False,NA,NA,NA,0,0
9.9999999999999995e-07,alpha_1e-6,bulk,NA,1,-0.94999999999999996,-0.90000000000000002,0,False,NA,NA,NA,0,0
9.9999999999999995e-07,alpha_1e-6,bulk,NA,2,-0.90000000000000002,-0.84999999999999998,18,False,0,0,0,6586,0
9.9999999999999995e-07,alpha_1e-6,bulk,NA,3,-0.84999999999999998,-0.80000000000000004,27,False,0,0,0,9721,0
9.9999999999999995e-07,alpha_1e-6,bulk,NA,4,-0.80000000000000004,-0.75,72,False,0,0,0,9988,0
9.9999999999999995e-07,alpha_1e-6,bulk,NA,5,-0.75,-0.69999999999999996,262,False,0,0,0,10000,0
9.9999999999999995e-07,alpha_1e-6,bulk,NA,6,-0.69999999999999996,-0.64999999999999991,639,False,0,0,0,10000,0
